NAME,state,place,households_total,households_total_male,households_total_female,marital_status__male_15_over,marital_status__male_15_over_percent,marital_status__female_15_over,marital_status__female_15_over_percent,edu_high_school_over,edu_high_school_over.1,edu_bach_degree_over,edu_bach_degree_over_percent,employment_status_percent,employment_status,income_household,income_household_median,income_household_mean,income_family,income_family_median,income_family_mean,income_per_capita,income_nonfamily,income_nonfamily_median,income_nonfamily_mean,income_below_poverty_family,income_below_poverty_percent_family,income_below_poverty,income_below_poverty_percent,housing_occupancy,housing_occupancy_percent,housing_in_structure,housing_in_structure_percent,population_total,population_over_21,population_over_21_percent,population_15_to_19,population_15_to_19_percent,population_male_over_18,population_male_over_18_percent,population_female_over_18,population_female_over_18_percent,City,State
"Lafayette city, Louisiana",22,40735,51150.0,11704.0,16299.0,50261.0,50261.0,51153.0,51153.0,72634.0,89.3,31800.0,39.1,99438,99438,51150,57953,81543,27823,78272,100191,35249,23327,40637,57659,-888888888,13.3,-888888888,20.0,56725,56725,56725,56725,121763,89543,73.5,9976,8.2,47061,49.1,48790,50.9,Lafayette,Louisiana
"Lake Charles city, Louisiana",22,41155,28683.0,5408.0,9403.0,31796.0,31796.0,34488.0,34488.0,48696.0,88.4,15164.0,27.5,65697,65697,28683,45995,70738,17810,64198,90183,27763,10873,30594,37293,-888888888,21.3,-888888888,28.1,40810,40810,40810,40810,81102,59616,73.5,5313,6.6,30529,47.8,33356,52.2,Lake Charles,Louisiana
"Brockton city, Massachusetts",25,9000,37554.0,8045.0,13551.0,40164.0,40164.0,43837.0,43837.0,56880.0,82.9,17080.0,24.9,81857,81857,37554,68581,94605,26441,77768,111345,34202,11113,31108,42128,-888888888,9.3,-888888888,12.3,38391,38391,38391,38391,105455,74239,70.4,8071,7.7,38156,48.3,40772,51.7,Brockton,Massachusetts
"Cambridge city, Massachusetts",25,11000,52487.0,13284.0,18341.0,52480.0,52480.0,54313.0,54313.0,75147.0,94.6,64657.0,81.4,106121,106121,52487,104746,150366,18992,140521,203382,68387,33495,91997,119207,-888888888,9.6,-888888888,13.8,57581,57581,57581,57581,117097,93499,79.8,9348,8.0,51479,49.3,53013,50.7,Cambridge,Massachusetts
"Oceanside city, California",6,53322,59683.0,8821.0,14973.0,69602.0,69602.0,72436.0,72436.0,101607.0,84.0,40606.0,33.6,139608,139608,59683,78125,102303,39905,93008,112757,36242,19778,52033,72278,-888888888,5.2,-888888888,8.7,64694,64694,64694,64694,172990,130634,75.5,9457,5.5,66362,49.0,69158,51.0,Oceanside,California
"Germantown CDP, Maryland",24,32025,30985.0,3911.0,9452.0,32398.0,32398.0,35960.0,35960.0,50788.0,89.3,27491.0,48.3,67501,67501,30985,91931,118913,22497,104483,131053,43991,8488,65347,78040,-888888888,11.0,-888888888,13.1,31519,31519,31519,31519,85247,61553,72.2,6164,7.2,30988,47.8,33804,52.2,Germantow,Maryland
"Jackson city, Mississippi",28,36000,62140.0,14879.0,28593.0,54061.0,54061.0,66665.0,66665.0,84508.0,86.8,28275.0,29.0,118207,118207,62140,35070,50310,35312,44348,63236,21684,26828,22061,30960,-888888888,25.5,-888888888,32.2,74637,74637,74637,74637,149813,107349,71.7,10372,6.9,50790,44.3,63752,55.7,Jackson,Mississippi
"Las Vegas city, Nevada",32,40000,250350.0,57446.0,70000.0,266452.0,266452.0,265186.0,265186.0,389507.0,85.4,125771.0,27.6,523043,523043,250350,59746,84820,152708,75088,100540,33825,97642,36725,55282,-888888888,10.5,-888888888,14.8,269602,269602,269602,269602,646776,485562,75.1,38398,5.9,254137,50.0,253890,50.0,Las Vegas,Nevada
"Thousand Oaks city, California",6,78582,45081.0,6546.0,10562.0,50249.0,50249.0,53659.0,53659.0,82578.0,92.7,43024.0,48.3,102051,102051,45081,114791,159669,30872,147340,190669,58424,14209,61337,87657,-888888888,4.5,-888888888,6.9,46350,46350,46350,46350,125766,93621,74.4,8222,6.5,47703,48.1,51569,51.9,Thousand Oaks,California
"Melbourne city, Florida",12,43975,36651.0,9490.0,10706.0,36075.0,36075.0,35060.0,35060.0,58773.0,95.1,19781.0,32.0,70791,70791,36651,57132,72008,19888,67245,80460,32440,16763,44922,57451,-888888888,11.9,-888888888,15.0,40160,40160,40160,40160,85091,65453,76.9,4651,5.5,35057,51.0,33722,49.0,Melbourne,Florida
"Miami city, Florida",12,45000,192219.0,51920.0,63629.0,196272.0,196272.0,189601.0,189601.0,272472.0,79.9,122393.0,35.9,381863,381863,192219,48789,83158,98342,55218,95317,37223,93877,37494,66871,-888888888,17.4,-888888888,21.0,219775,219775,219775,219775,439906,361860,82.3,19179,4.4,189502,50.7,183966,49.3,Miami,Florida
"Miami Beach city, Florida",12,45025,40788.0,11569.0,12999.0,35997.0,35997.0,34471.0,34471.0,56748.0,90.0,32436.0,51.5,69484,69484,40788,55512,118101,16626,91008,169352,61675,24162,41701,82334,-888888888,6.0,-888888888,16.5,60872,60872,60872,60872,80673,65913,81.7,4006,5.0,34052,50.3,33683,49.7,Miami Beach,Florida
"Miami Gardens city, Florida",12,45060,34332.0,5695.0,12526.0,41056.0,41056.0,46628.0,46628.0,66282.0,86.5,15448.0,20.2,86370,86370,34332,54276,68784,25554,61734,77839,22915,8778,25702,36850,-888888888,11.4,-888888888,13.6,36204,36204,36204,36204,110881,80822,72.9,5762,5.2,38961,46.4,45048,53.6,Miami Gardens,Florida
"Miramar city, Florida",12,45975,42707.0,8073.0,10044.0,54609.0,54609.0,53981.0,53981.0,90415.0,93.7,29920.0,31.0,107068,107068,42707,79282,97454,31888,87414,107219,32637,10819,46653,58893,-888888888,4.3,-888888888,7.1,44987,44987,44987,44987,135066,101167,74.9,6549,4.8,52411,50.1,52249,49.9,Miramar,Florida
"New Britain city, Connecticut",9,50370,28450.0,5800.0,11887.0,27155.0,27155.0,32349.0,32349.0,40661.0,83.7,9817.0,20.2,58230,58230,28450,51586,67110,16868,67482,78231,26412,11582,35954,46828,-888888888,13.9,-888888888,19.9,30456,30456,30456,30456,73835,53087,71.9,5873,8.0,25630,45.4,30765,54.6,New Britain,Connecticut
"Colorado Springs city, Colorado",8,16000,197542.0,39864.0,48235.0,198538.0,198538.0,197588.0,197588.0,308365.0,93.6,141004.0,42.8,390552,390552,197542,74579,96874,126314,91259,111747,39808,71228,49663,64679,-888888888,6.9,-888888888,10.5,205380,205380,205380,205380,483969,359735,74.3,31577,6.5,189125,50.0,189097,50.0,Colorado Springs,Colorado
"New Haven city, Connecticut",9,52000,56373.0,15008.0,23829.0,54055.0,54055.0,60216.0,60216.0,72456.0,84.2,34112.0,39.6,112634,112634,56373,50569,68907,27817,60965,86444,29540,28556,33996,49372,-888888888,15.0,-888888888,23.3,61547,61547,61547,61547,135076,96312,71.3,13752,10.2,50274,46.8,57115,53.2,New Haven,Connecticut
"Bellflower city, California",6,4982,24327.0,3814.0,7415.0,28768.0,28768.0,32362.0,32362.0,41037.0,79.2,11490.0,22.2,59873,59873,24327,67909,83730,18276,72750,87036,26912,6051,54409,63013,-888888888,12.7,-888888888,13.2,24831,24831,24831,24831,77407,54677,70.6,5511,7.1,26780,46.5,30842,53.5,Bellflower,California
"Longmont city, Colorado",8,45970,43519.0,10103.0,11338.0,42399.0,42399.0,43070.0,43070.0,68851.0,92.4,34691.0,46.6,83965,83965,43519,72911,98117,24139,104050,123109,43412,19380,50789,63810,-888888888,5.5,-888888888,8.0,44891,44891,44891,44891,100427,78898,78.6,5926,5.9,40496,49.5,41251,50.5,Longmont,Colorado
"Clovis city, California",6,14218,38762.0,4649.0,7528.0,43420.0,43420.0,47061.0,47061.0,70524.0,93.8,27305.0,36.3,89132,89132,38762,84837,116206,29838,98276,126804,37499,8924,47977,63473,-888888888,7.0,-888888888,7.5,40037,40037,40037,40037,122985,81237,66.1,8152,6.6,40657,48.1,43947,51.9,Clovis,California
"Loveland city, Colorado",8,46465,35803.0,6150.0,9388.0,30879.0,30879.0,34381.0,34381.0,54644.0,96.0,22934.0,40.3,64956,64956,35803,66535,89627,21425,80530,103236,41134,14378,47921,67261,-888888888,7.9,-888888888,12.6,36659,36659,36659,36659,77185,60796,78.8,3937,5.1,29507,47.0,33226,53.0,Loveland,Colorado
"Surprise city, Arizona",4,71510,55339.0,6304.0,13313.0,56158.0,56158.0,63753.0,63753.0,95371.0,94.0,32695.0,32.2,118550,118550,55339,78411,96641,42173,85152,104790,36114,13166,49731,60956,-888888888,5.1,-888888888,7.2,62261,62261,62261,62261,149191,109509,73.4,8402,5.6,53675,46.7,61173,53.3,Surprise,Arizona
"Decatur city, Illinois",17,18823,32087.0,7482.0,11800.0,26996.0,26996.0,32321.0,32321.0,44768.0,89.9,8146.0,16.4,58136,58136,32087,40368,57950,16619,60471,78741,26402,15468,29514,34994,-888888888,16.8,-888888888,23.8,36518,36518,36518,36518,70676,53458,75.6,4765,6.7,26059,46.0,30629,54.0,Decatur,Illinois
"El Cajon city, California",6,21712,34443.0,6425.0,11273.0,37607.0,37607.0,44307.0,44307.0,59444.0,85.9,17388.0,25.1,81291,81291,34443,61356,81420,24175,65333,82776,27819,10268,46699,70003,-888888888,16.0,-888888888,19.5,34992,34992,34992,34992,105431,75957,72.0,4703,4.5,36269,45.9,42824,54.1,El Cajon,California
"Palatine village, Illinois",17,57225,26402.0,3645.0,7759.0,25348.0,25348.0,27098.0,27098.0,42924.0,92.4,22153.0,47.7,51761,51761,26402,75479,105727,17920,107399,125591,41998,8482,51919,60086,-888888888,11.5,-888888888,14.4,28010,28010,28010,28010,66272,48325,72.9,3645,5.5,24275,48.4,25887,51.6,Palatine vi,Illinois
"Thornton city, Colorado",8,77290,48263.0,7514.0,9196.0,56570.0,56570.0,54998.0,54998.0,80146.0,87.5,28991.0,31.6,109180,109180,48263,93873,106078,35043,102982,113968,36320,13220,59043,77187,-888888888,6.3,-888888888,8.2,48948,48948,48948,48948,142599,100543,70.5,9287,6.5,53472,50.6,52286,49.4,Thornton,Colorado
"Garden Grove city, California",6,29000,48769.0,7680.0,13253.0,68966.0,68966.0,72119.0,72119.0,89007.0,74.2,28763.0,24.0,139086,139086,48769,74109,92981,36865,75545,94554,28109,11904,48109,65566,-888888888,13.8,-888888888,15.3,50253,50253,50253,50253,170492,128028,75.1,11275,6.6,65709,48.9,68753,51.1,Garden Grove,California
"Rogers city, Arkansas",5,60410,25872.0,3456.0,6270.0,26827.0,26827.0,28583.0,28583.0,40770.0,86.5,16453.0,34.9,54133,54133,25872,67408,98486,19671,75490,110798,36446,6201,42643,51181,-888888888,8.7,-888888888,11.4,29356,29356,29356,29356,71114,50661,71.2,3859,5.4,25984,48.9,27169,51.1,Rogers,Arkansas
"Glendale city, California",6,30000,70831.0,11803.0,18899.0,77152.0,77152.0,84532.0,84532.0,127828.0,90.5,67925.0,48.1,159720,159720,70831,79633,111295,48139,92284,127511,41791,22692,50781,73187,-888888888,9.3,-888888888,12.9,76220,76220,76220,76220,192376,149599,77.8,10790,5.6,73600,47.5,81471,52.5,Glendale,California
"Nampa city, Idaho",16,56260,37666.0,6465.0,6776.0,42705.0,42705.0,41342.0,41342.0,61856.0,88.6,15652.0,22.4,83203,83203,37666,63471,84094,26495,79416,89416,30300,11171,37263,65320,-888888888,8.8,-888888888,10.1,38826,38826,38826,38826,106186,76771,72.3,6609,6.2,41009,51.3,38926,48.7,Nampa,Idaho
"Tuscaloosa city, Alabama",1,77256,39266.0,10101.0,14827.0,41209.0,41209.0,43761.0,43761.0,52157.0,91.6,21911.0,38.5,83826,83826,39266,41770,70595,21952,64250,86314,29062,17314,31220,48747,-888888888,16.8,-888888888,20.8,50913,50913,50913,50913,100606,69247,68.8,11057,11.0,39639,48.4,42328,51.6,Tuscaloosa,Alabama
"Hawthorne city, California",6,32548,30039.0,6215.0,10630.0,33260.0,33260.0,37003.0,37003.0,44529.0,76.4,13657.0,23.4,69122,69122,30039,70122,82295,19427,71622,87358,29555,10612,42450,63327,-888888888,13.9,-888888888,16.7,31161,31161,31161,31161,86093,63126,73.3,5325,6.2,31663,47.3,35254,52.7,Hawthorne,California
"Hayward city, California",6,33000,48619.0,8363.0,11094.0,66840.0,66840.0,64612.0,64612.0,92640.0,81.1,36516.0,32.0,129071,129071,48619,96386,120442,35340,101774,131002,39334,13279,56910,80757,-888888888,6.6,-888888888,9.7,50777,50777,50777,50777,159839,120231,75.2,9274,5.8,63687,50.7,62013,49.3,Hayward,California
"Ann Arbor city, Michigan",26,3000,51238.0,12998.0,17377.0,53095.0,53095.0,54798.0,54798.0,67806.0,97.7,52406.0,75.5,107211,107211,51238,68864,104424,21922,117567,160512,46956,29316,43453,61708,-888888888,5.7,-888888888,20.5,54874,54874,54874,54874,121541,86788,71.4,14280,11.7,51969,49.1,53847,50.9,Ann Arbor,Michigan
"Ontario city, California",6,53896,55819.0,10130.0,13409.0,71093.0,71093.0,71887.0,71887.0,88375.0,75.6,23602.0,20.2,140790,140790,55819,73872,89988,43471,77445,93939,28662,12348,46118,61745,-888888888,11.0,-888888888,13.2,57356,57356,57356,57356,177961,127564,71.7,12739,7.2,66673,49.4,68304,50.6,Ontario,California
"Orange city, California",6,53980,43291.0,6527.0,12013.0,55432.0,55432.0,57261.0,57261.0,80793.0,86.8,33240.0,35.7,111311,111311,43291,103045,130184,31687,110653,139221,41925,11604,69070,90720,-888888888,5.8,-888888888,9.3,45377,45377,45377,45377,137287,100925,73.5,9771,7.1,51649,48.2,55532,51.8,Orange,California
"Roseville city, California",6,62938,57569.0,8600.0,13805.0,58819.0,58819.0,63188.0,63188.0,100980.0,95.3,47361.0,44.7,119610,119610,57569,107714,129371,40469,121844,147093,49304,17100,58395,80326,-888888888,3.7,-888888888,5.8,59392,59392,59392,59392,151902,111868,73.6,9127,6.0,55795,48.0,60488,52.0,Roseville,California
"Glen Burnie CDP, Maryland",24,32650,27700.0,5648.0,8337.0,26837.0,26837.0,29776.0,29776.0,45172.0,92.3,11533.0,23.6,55881,55881,27700,83577,97609,18016,97197,111227,37664,9684,51855,63962,-888888888,4.8,-888888888,6.0,28452,28452,28452,28452,71019,52371,73.7,3606,5.1,25857,48.1,27888,51.9,Glen Burni,Maryland
"Simi Valley city, California",6,72016,45308.0,7355.0,10466.0,55116.0,55116.0,53682.0,53682.0,82420.0,90.4,32284.0,35.4,106850,106850,45308,101621,125206,30926,125079,144732,46068,14382,62755,74257,-888888888,4.3,-888888888,6.6,46277,46277,46277,46277,125967,98530,78.2,8371,6.6,52348,50.4,51584,49.6,Simi Valley,California
"Kalamazoo city, Michigan",26,42160,29853.0,7793.0,12231.0,29567.0,29567.0,31239.0,31239.0,34952.0,91.0,14279.0,37.2,60120,60120,29853,40227,59550,11063,59445,84913,25365,18790,28829,42348,-888888888,16.5,-888888888,30.9,33160,33160,33160,33160,73255,50552,69.0,7012,9.6,28837,48.8,30266,51.2,Kalamazoo,Michigan
"Torrance city, California",6,80000,57584.0,9934.0,14009.0,58729.0,58729.0,59200.0,59200.0,100872.0,94.8,58619.0,55.1,116828,116828,57584,100392,129493,38039,121574,148032,52528,19545,63038,90380,-888888888,6.7,-888888888,7.5,60220,60220,60220,60220,143589,111083,77.4,6051,4.2,56103,49.3,57596,50.7,Torrance,California
"Lakeville city, Minnesota",27,35180,23868.0,1918.0,3283.0,28253.0,28253.0,26689.0,26689.0,45823.0,97.2,21881.0,46.4,54386,54386,23868,131125,153156,20362,137679,162779,51136,3506,76875,80658,-888888888,1.8,-888888888,1.7,25337,25337,25337,25337,72805,50208,69.0,3665,5.0,27058,51.3,25667,48.7,Lakeville,Minnesota
"North Port city, Florida",12,49675,30622.0,3215.0,8044.0,33919.0,33919.0,36430.0,36430.0,54645.0,90.8,17534.0,29.1,69365,69365,30622,68583,80802,22340,85645,93706,31935,8282,36944,38231,-888888888,6.7,-888888888,6.9,35149,35149,35149,35149,80027,63717,79.6,4902,6.1,32075,48.1,34618,51.9,North Port,Florida
"Avondale city, Arizona",4,4720,26611.0,2994.0,7113.0,31353.0,31353.0,35470.0,35470.0,44089.0,85.2,11388.0,22.0,65382,65382,26611,71423,82221,21194,78138,87869,24715,5417,46120,49342,-888888888,11.4,-888888888,12.3,27650,27650,27650,27650,90562,57976,64.0,7707,8.5,29088,46.8,33115,53.2,Avondale,Arizona
"Berkeley city, California",6,6000,43893.0,10976.0,13658.0,51672.0,51672.0,53852.0,53852.0,72963.0,96.9,55497.0,73.7,104883,104883,43893,101048,152028,18877,170750,218996,59752,25016,63831,96333,-888888888,3.7,-888888888,15.5,50228,50228,50228,50228,117147,89897,76.7,9880,8.4,50295,49.1,52095,50.9,Berkeley,California
"San Tan Valley CDP, Arizona",4,64210,31781.0,4694.0,5573.0,38331.0,38331.0,38882.0,38882.0,62129.0,94.3,14256.0,21.6,75604,75604,31781,81956,92998,25663,98522,97129,29505,6118,44403,66566,-888888888,6.0,-888888888,7.1,35927,35927,35927,35927,103399,70357,68.0,5954,5.8,37164,50.8,35923,49.2,San Tan Valle,Arizona
"Pueblo city, Colorado",8,62000,47901.0,11324.0,16904.0,45353.0,45353.0,46867.0,46867.0,67648.0,88.4,18507.0,24.2,90585,90585,47901,49598,65115,27447,64136,84950,28413,20454,25540,35573,-888888888,15.4,-888888888,19.2,50106,50106,50106,50106,112358,83202,74.1,7498,6.7,43328,49.3,44543,50.7,Pueblo,Colorado
"Peoria city, Illinois",17,59000,50176.0,9698.0,18890.0,40772.0,40772.0,48545.0,48545.0,66113.0,90.5,28269.0,38.7,87480,87480,50176,47287,76035,27609,68189,101156,33434,22567,30655,41834,-888888888,15.2,-888888888,22.8,53890,53890,53890,53890,110915,79804,72.0,8408,7.6,38199,45.1,46537,54.9,Peoria,Illinois
"Hemet city, California",6,33182,33486.0,6303.0,10784.0,36155.0,36155.0,37713.0,37713.0,54447.0,82.4,9043.0,13.7,72473,72473,33486,45042,72150,22652,52065,83974,27863,10834,25015,39593,-888888888,17.1,-888888888,23.7,36642,36642,36642,36642,90446,68520,75.8,4789,5.3,34035,48.2,36633,51.8,Hemet,California
"Hesperia city, California",6,33434,29237.0,5009.0,5839.0,39899.0,39899.0,36248.0,36248.0,46265.0,77.1,8241.0,13.7,75144,75144,29237,67950,80426,23105,69152,82155,23696,6132,42253,59091,-888888888,16.9,-888888888,18.8,29886,29886,29886,29886,100959,66000,65.4,8627,8.5,37373,53.0,33139,47.0,Hesperia,California
"Olathe city, Kansas",20,52575,53285.0,6959.0,10766.0,56556.0,56556.0,59936.0,59936.0,90678.0,94.7,47895.0,50.0,114185,114185,53285,99631,119113,39570,113940,135943,44990,13715,53299,67587,-888888888,5.7,-888888888,7.7,54720,54720,54720,54720,143006,101398,70.9,13104,9.2,52930,48.7,55715,51.3,Olathe,Kansas
"Overland Park city, Kansas",20,53775,82593.0,14316.0,20244.0,78814.0,78814.0,80654.0,80654.0,131736.0,96.8,86877.0,63.9,156748,156748,82593,89280,119603,51511,118889,147511,50828,31082,57571,70675,-888888888,3.6,-888888888,5.8,85708,85708,85708,85708,197113,147961,75.1,10737,5.4,74868,49.4,76725,50.6,Overland Park,Kansas
"Oxnard city, California",6,54652,50611.0,7227.0,11975.0,78297.0,78297.0,77978.0,77978.0,87913.0,68.1,26136.0,20.2,153506,153506,50611,88268,103741,40423,81955,99812,27431,10188,78524,89089,-888888888,6.8,-888888888,9.1,53778,53778,53778,53778,201898,139777,69.2,13964,6.9,74244,50.3,73222,49.7,Oxnard,California
"Fall River city, Massachusetts",25,23000,40521.0,8843.0,14305.0,35667.0,35667.0,41005.0,41005.0,48461.0,74.1,10341.0,15.8,75691,75691,40521,46672,63388,25001,58051,74805,27235,15520,31564,40840,-888888888,20.8,-888888888,24.0,43230,43230,43230,43230,93883,70470,75.1,5349,5.7,34122,46.5,39254,53.5,Fall River,Massachusetts
"Palmdale city, California",6,55156,46650.0,5756.0,11500.0,61919.0,61919.0,64723.0,64723.0,79258.0,75.5,17852.0,17.0,124008,124008,46650,73417,89660,38680,75832,94561,25895,7970,37645,52222,-888888888,9.6,-888888888,13.1,47738,47738,47738,47738,165795,112567,67.9,12044,7.3,57658,48.5,61167,51.5,Palmdale,California
"Sacramento city, California",6,64000,202093.0,41855.0,60376.0,212647.0,212647.0,228425.0,228425.0,320218.0,86.2,136989.0,36.9,434705,434705,202093,75311,97415,116203,90755,109698,37916,85890,53331,77091,-888888888,9.6,-888888888,14.7,210715,210715,210715,210715,525028,402218,76.6,34044,6.5,203964,48.5,216589,51.5,Sacramento,California
"Salinas city, California",6,64224,41871.0,4790.0,10100.0,61502.0,61502.0,59551.0,59551.0,55407.0,57.7,12000.0,12.5,118724,118724,41871,80154,92029,34016,79567,92054,23544,7855,43411,59250,-888888888,11.0,-888888888,13.3,43045,43045,43045,43045,162780,105778,65.0,13127,8.1,57266,50.5,56183,49.5,Salinas,California
"Somerville city, Massachusetts",25,62535,35015.0,8243.0,10726.0,35982.0,35982.0,36973.0,36973.0,55060.0,89.9,38312.0,62.6,72757,72757,35015,107651,137861,14743,122917,156302,60342,20272,100442,118646,-888888888,3.8,-888888888,8.8,37251,37251,37251,37251,79819,68332,85.6,3561,4.5,35521,49.3,36587,50.7,Somerville,Massachusetts
"Tracy city, California",6,80238,28353.0,2346.0,5108.0,34500.0,34500.0,37168.0,37168.0,51017.0,85.1,16331.0,27.2,70183,70183,28353,102263,114235,23626,115443,122164,34610,4727,52342,65342,-888888888,5.4,-888888888,8.0,29262,29262,29262,29262,95384,63883,67.0,7011,7.4,32340,47.9,35136,52.1,Tracy,California
"Orlando city, Florida",12,53000,130037.0,30041.0,40972.0,123753.0,123753.0,137224.0,137224.0,209134.0,92.6,89743.0,39.7,258748,258748,130037,54167,83264,70260,62424,94111,36370,59777,44560,60696,-888888888,13.9,-888888888,16.2,149940,149940,149940,149940,309193,242580,78.5,14799,4.8,119103,47.3,132441,52.7,Orlando,Florida
"Palm Bay city, Florida",12,54000,45145.0,7438.0,13699.0,49661.0,49661.0,51259.0,51259.0,74746.0,88.9,18485.0,22.0,99653,99653,45145,54746,88668,31736,63478,101093,33908,13409,30524,47159,-888888888,11.5,-888888888,15.1,50159,50159,50159,50159,122932,90442,73.6,9045,7.4,46166,49.1,47777,50.9,Palm Bay,Florida
"Palm Coast city, Florida",12,54200,36896.0,4014.0,9553.0,39174.0,39174.0,41925.0,41925.0,66896.0,93.9,21193.0,29.8,80084,80084,36896,60648,77357,27164,71097,81152,31297,9732,36898,63188,-888888888,9.0,-888888888,12.2,43228,43228,43228,43228,93845,74367,79.2,6280,6.7,36274,46.9,41091,53.1,Palm Coast,Florida
"Aurora city, Colorado",8,4000,140003.0,29239.0,38293.0,155500.0,155500.0,156530.0,156530.0,220664.0,84.9,87917.0,33.8,306401,306401,140003,71647,93309,89015,90117,108159,35054,50988,46209,61527,-888888888,6.9,-888888888,11.2,149636,149636,149636,149636,389675,282405,72.5,24601,6.3,147646,49.9,148338,50.1,Aurora,Colorado
"Auburn city, Alabama",1,3076,29136.0,6299.0,7808.0,30228.0,30228.0,34776.0,34776.0,41682.0,97.2,27026.0,63.0,64443,64443,29136,48531,79325,17404,85330,112512,29770,11732,15266,29073,-888888888,11.5,-888888888,24.8,35161,35161,35161,35161,78552,53188,67.7,8484,10.8,29121,46.8,33148,53.2,Auburn,Alabama
"Norwalk city, Connecticut",9,55990,36847.0,7009.0,10211.0,36809.0,36809.0,37651.0,37651.0,57768.0,87.4,31200.0,47.2,73424,73424,36847,89047,127482,22037,106020,150691,52219,14810,61508,87088,-888888888,9.9,-888888888,10.8,39560,39560,39560,39560,91203,69522,76.2,3838,4.2,35168,49.1,36393,50.9,Norwalk,Connecticut
"Denver city, Colorado",8,20000,326634.0,86470.0,97588.0,301634.0,301634.0,298132.0,298132.0,473939.0,90.9,286847.0,55.0,592643,592643,326634,81630,115122,152927,105365,145483,52690,173707,63720,85674,-888888888,8.2,-888888888,11.6,351829,351829,351829,351829,711463,558313,78.5,35211,4.9,291170,50.3,287833,49.7,Denver,Colorado
"Compton city, California",6,15044,28820.0,7019.0,10311.0,36837.0,36837.0,39093.0,39093.0,41996.0,67.5,7391.0,11.9,74624,74624,28820,62050,72370,20306,76198,82537,23059,8514,30488,42857,-888888888,14.6,-888888888,15.8,29793,29793,29793,29793,93584,67679,72.3,7412,7.9,35123,48.7,37026,51.3,Compton,California
"Concord city, California",6,16000,46375.0,8073.0,12075.0,49977.0,49977.0,52314.0,52314.0,79900.0,89.1,32736.0,36.5,101576,101576,46375,96961,123084,30984,111541,139609,46157,15391,62402,81842,-888888888,6.6,-888888888,11.0,47251,47251,47251,47251,124091,94740,76.3,6478,5.2,48095,48.8,50363,51.2,Concord,California
"Corona city, California",6,16350,48905.0,6254.0,10070.0,63309.0,63309.0,64954.0,64954.0,87990.0,83.5,31105.0,29.5,126487,126487,48905,92606,112030,38667,101658,120719,35675,10238,54091,70996,-888888888,5.5,-888888888,6.9,50613,50613,50613,50613,159749,115287,72.2,10939,6.8,59824,49.1,62065,50.9,Corona,California
"Roswell city, Georgia",13,67284,37044.0,4932.0,8744.0,36234.0,36234.0,38654.0,38654.0,59753.0,96.0,42829.0,68.8,72890,72890,37044,104825,143077,24682,130104,167367,55638,12362,70056,90544,-888888888,6.0,-888888888,8.8,38653,38653,38653,38653,92532,65000,70.2,9359,10.1,32987,48.4,35150,51.6,Roswell,Georgia
"Sandy Springs city, Georgia",13,68516,52487.0,9384.0,17384.0,43478.0,43478.0,48610.0,48610.0,77590.0,96.8,56349.0,70.3,91332,91332,52487,94456,158424,27882,143476,215010,76437,24605,67751,93501,-888888888,9.9,-888888888,8.9,54061,54061,54061,54061,107179,84898,79.2,6728,6.3,40990,46.7,46709,53.3,Sandy Springs,Georgia
"Elgin city, Illinois",17,23074,40585.0,7282.0,8131.0,49114.0,49114.0,47781.0,47781.0,63313.0,80.8,19530.0,24.9,93858,93858,40585,79120,94082,29269,85471,104084,32055,11316,43087,60168,-888888888,7.5,-888888888,10.3,41458,41458,41458,41458,117850,85358,72.4,9887,8.4,45865,50.6,44756,49.4,Elgin,Illinois
"Evanston city, Illinois",17,24582,31157.0,5430.0,10283.0,32429.0,32429.0,35013.0,35013.0,49466.0,96.8,36375.0,71.2,65901,65901,31157,82154,140388,17075,136560,195816,57379,14082,48439,64205,-888888888,7.2,-888888888,15.2,34093,34093,34093,34093,77532,56034,72.3,8645,11.2,30915,48.1,33397,51.9,Evanston,Illinois
"Bloomington city, Indiana",18,5860,31711.0,11016.0,10224.0,36244.0,36244.0,35957.0,35957.0,34808.0,93.7,22582.0,60.8,71752,71752,31711,37734,67644,11080,77441,124343,27870,20631,25329,35698,-888888888,16.8,-888888888,34.3,35873,35873,35873,35873,78988,51004,64.6,16596,21.0,34923,49.4,35813,50.6,Bloomington,Indiana
"Lynwood city, California",6,44574,16079.0,2936.0,4571.0,24612.0,24612.0,27306.0,27306.0,26276.0,63.2,3778.0,9.1,50250,50250,16079,61695,75921,13288,62267,79123,19612,-999999999,14594,-999999999,-888888888,14.8,-888888888,18.1,16429,16429,16429,16429,65502,46014,70.2,4627,7.1,22677,46.4,26186,53.6,Lynwood,California
"Metairie CDP, Louisiana",22,50115,62315.0,11750.0,17197.0,57750.0,57750.0,61204.0,61204.0,96259.0,91.8,41952.0,40.0,117623,117623,62315,66074,93952,40120,84728,111140,40666,22195,44799,55785,-888888888,10.8,-888888888,12.5,66619,66619,66619,66619,144999,111285,76.7,5375,3.7,55560,48.4,59290,51.6,Metairi,Louisiana
"Lexington-Fayette urban county, Kentucky",21,46027,139303.0,31819.0,42127.0,129938.0,129938.0,136519.0,136519.0,192707.0,91.8,97228.0,46.3,263438,263438,139303,60942,85770,74977,83918,109859,37011,64326,38505,55471,-888888888,8.8,-888888888,14.4,147590,147590,147590,147590,321793,235175,73.1,24459,7.6,123811,48.5,131245,51.5,Lexington-Fayette urban c,Kentucky
