NAME,state,place,households_total,households_total_male,households_total_female,marital_status__male_15_over,marital_status__male_15_over_percent,marital_status__female_15_over,marital_status__female_15_over_percent,edu_high_school_over,edu_high_school_over.1,edu_bach_degree_over,edu_bach_degree_over_percent,employment_status_percent,employment_status,income_household,income_household_median,income_household_mean,income_family,income_family_median,income_family_mean,income_per_capita,income_nonfamily,income_nonfamily_median,income_nonfamily_mean,income_below_poverty_family,income_below_poverty_percent_family,income_below_poverty,income_below_poverty_percent,housing_occupancy,housing_occupancy_percent,housing_in_structure,housing_in_structure_percent,population_total,population_over_21,population_over_21_percent,population_15_to_19,population_15_to_19_percent,population_male_over_18,population_male_over_18_percent,population_female_over_18,population_female_over_18_percent,City,State
"Camden city, New Jersey",34,10000,24276.0,4591.0,12928.0,23721.0,23721.0,30392.0,30392.0,29146.0,68.5,4224.0,9.9,52899,52899,24276,39654,53145,16031,40333,54584,18184,8245,21463,36957,-888888888,26.9,-888888888,30.1,28066,28066,28066,28066,71771,46553,64.9,6629,9.2,22020,43.7,28398,56.3,Camden,New Jersey
"Akron city, Ohio",39,1000,84914.0,21103.0,33799.0,74188.0,74188.0,82901.0,82901.0,114488.0,86.8,30319.0,23.0,155107,155107,84914,41628,54788,43397,58886,70051,25307,41517,29376,37424,-888888888,15.3,-888888888,20.5,93546,93546,93546,93546,189343,142410,75.2,10977,5.8,71717,47.5,79309,52.5,Akron,Ohio
"Plymouth city, Minnesota",27,51730,32923.0,4543.0,9169.0,30141.0,30141.0,33005.0,33005.0,54539.0,98.3,35307.0,63.6,62292,62292,32923,106962,150702,21640,146603,184862,62474,11283,59145,79374,-888888888,2.7,-888888888,4.1,34281,34281,34281,34281,79833,58625,73.4,4264,5.3,29060,48.0,31527,52.0,Plymouth,Minnesota
"Jersey City city, New Jersey",34,36000,119158.0,26277.0,36445.0,118487.0,118487.0,116123.0,116123.0,188959.0,91.1,107589.0,51.9,232176,232176,119158,81958,123545,66960,93528,139450,51119,52198,67261,100011,-888888888,14.7,-888888888,17.5,131609,131609,131609,131609,283943,220283,77.6,11857,4.2,114003,50.3,112833,49.7,Jersey City,New Jersey
"St. Charles city, Missouri",29,64082,29992.0,5212.0,8731.0,28840.0,28840.0,31517.0,31517.0,47909.0,95.8,22778.0,45.5,59179,59179,29992,76340,100214,18590,107052,126623,42858,11402,44707,55204,-888888888,2.0,-888888888,5.5,32822,32822,32822,32822,70832,54390,76.8,4813,6.8,27526,47.8,30062,52.2,St. Charles,Missouri
"Clifton city, New Jersey",34,13690,32408.0,5735.0,7848.0,37739.0,37739.0,39083.0,39083.0,57396.0,87.7,22643.0,34.6,75083,75083,32408,81857,109810,22810,97350,124091,40603,9598,50570,67726,-888888888,6.7,-888888888,7.3,34132,34132,34132,34132,89382,69743,78.0,5867,6.6,35938,48.5,38115,51.5,Clifton,New Jersey
"Troy city, Michigan",26,80700,33822.0,4353.0,7089.0,36417.0,36417.0,36231.0,36231.0,59076.0,96.5,36662.0,59.9,71415,71415,33822,98170,127521,24300,125907,150929,49939,9522,55171,65867,-888888888,5.3,-888888888,7.1,34953,34953,34953,34953,86837,65596,75.5,6277,7.2,34665,50.3,34216,49.7,Troy,Michigan
"Fayetteville city, North Carolina",37,22920,83147.0,18122.0,28545.0,83726.0,83726.0,82104.0,82104.0,122166.0,93.9,38074.0,29.3,163632,163632,83147,51629,65110,48483,62591,77789,27983,34664,34630,44292,-888888888,13.1,-888888888,16.6,91054,91054,91054,91054,208792,149437,71.6,12050,5.8,80124,50.4,78788,49.6,Fayetteville,North Carolina
"St. Joseph city, Missouri",29,64550,29750.0,5453.0,10012.0,30653.0,30653.0,30413.0,30413.0,45063.0,88.2,12275.0,24.0,59992,59992,29750,46089,70629,16231,60874,82408,28448,13519,36346,51368,-888888888,16.3,-888888888,22.1,33734,33734,33734,33734,75763,54694,72.2,5523,7.3,29340,50.1,29252,49.9,St. Joseph,Missouri
"Manchester city, New Hampshire",33,45140,48649.0,11224.0,12750.0,48004.0,48004.0,48881.0,48881.0,75702.0,90.7,27975.0,33.5,95871,95871,48649,73639,84659,26747,82780,96113,36020,21902,58768,65577,-888888888,9.2,-888888888,11.3,50479,50479,50479,50479,115470,90858,78.7,4874,4.2,46326,49.3,47630,50.7,Manchester,New Hampshire
"Lakewood CDP, New Jersey",34,38580,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,23148.0,90.5,8451.0,33.1,35659,35659,13701,40338,76923,11501,48361,85298,16542,-999999999,-999999999,-999999999,-888888888,-999999999.0,-888888888,40.5,14210,14210,14210,14210,66405,29009,43.7,6958,10.5,16082,49.9,16175,50.1,Lakewoo,New Jersey
"Coral Springs city, Florida",12,14400,44417.0,5408.0,11924.0,50905.0,50905.0,55279.0,55279.0,83116.0,93.5,32221.0,36.2,103922,103922,44417,81067,103266,34585,84618,112972,35321,9832,46288,59570,-888888888,5.7,-888888888,7.3,46687,46687,46687,46687,132822,95840,72.2,9032,6.8,47409,47.4,52701,52.6,Coral Springs,Florida
"Bridgeport city, Connecticut",9,8000,57732.0,13022.0,21587.0,58821.0,58821.0,65663.0,65663.0,84762.0,82.2,24467.0,23.7,122308,122308,57732,46445,72284,34312,66571,85696,28975,23420,33345,46441,-888888888,14.8,-888888888,19.1,61494,61494,61494,61494,148345,113420,76.5,9378,6.3,55948,47.3,62265,52.7,Bridgeport,Connecticut
"Davie town, Florida",12,16475,39061.0,6073.0,9460.0,40427.0,40427.0,43233.0,43233.0,67164.0,92.4,31722.0,43.7,82553,82553,39061,73332,97959,26972,90017,111733,37127,12089,45721,62945,-888888888,7.3,-888888888,11.2,41953,41953,41953,41953,104873,77087,73.5,5786,5.5,38860,47.8,42385,52.2,Davie,Florida
"Daytona Beach city, Florida",12,16525,34721.0,9954.0,10775.0,33863.0,33863.0,32032.0,32032.0,47565.0,89.4,13646.0,25.6,65532,65532,34721,43864,63598,15850,59725,83593,30463,18871,32521,44022,-888888888,18.7,-888888888,25.7,40465,40465,40465,40465,74435,60907,81.8,3721,5.0,33209,51.5,31226,48.5,Daytona Beach,Florida
"Deerfield Beach city, Florida",12,16725,39934.0,9231.0,14612.0,34259.0,34259.0,41100.0,41100.0,58305.0,86.7,19208.0,28.6,74777,74777,39934,49865,70404,20583,63332,89509,33150,19351,35654,48433,-888888888,7.9,-888888888,13.7,50429,50429,50429,50429,86355,71242,82.5,2612,3.0,33223,45.2,40344,54.8,Deerfield Beach,Florida
"Delray Beach city, Florida",12,17100,30472.0,6719.0,11136.0,26154.0,26154.0,31250.0,31250.0,48484.0,92.2,23555.0,44.8,56711,56711,30472,64730,103693,14229,93706,129135,48760,16243,46984,79497,-888888888,6.4,-888888888,10.9,38037,38037,38037,38037,66579,54803,82.3,2441,3.7,25652,46.0,30079,54.0,Delray Beach,Florida
"Deltona city, Florida",12,17200,35384.0,6784.0,7745.0,40167.0,40167.0,40592.0,40592.0,62149.0,91.2,12887.0,18.9,79214,79214,35384,63727,75710,25728,66997,82740,28370,9656,47339,50470,-888888888,8.4,-888888888,10.2,36713,36713,36713,36713,95771,71744,74.9,7174,7.5,37561,49.2,38745,50.8,Deltona,Florida
"Doral city, Florida",12,17935,25419.0,3823.0,4939.0,30628.0,30628.0,31219.0,31219.0,44843.0,88.5,29091.0,57.4,61093,61093,25419,84956,108117,20696,90054,116141,37037,4723,61414,64397,-888888888,5.8,-888888888,7.2,27139,27139,27139,27139,75954,54126,71.3,6786,8.9,28531,49.6,29027,50.4,Doral,Florida
"Fort Lauderdale city, Florida",12,24000,83021.0,25038.0,22175.0,83972.0,83972.0,74060.0,74060.0,126804.0,91.4,57683.0,41.6,156138,156138,83021,64912,110548,40884,80243,142854,51519,42137,52726,77230,-888888888,9.8,-888888888,13.8,102567,102567,102567,102567,181666,147012,80.9,9649,5.3,81449,53.6,70641,46.4,Fort Lauderdale,Florida
"Fort Myers city, Florida",12,24125,37323.0,7502.0,12759.0,38918.0,38918.0,38513.0,38513.0,55931.0,82.1,20276.0,29.8,75375,75375,37323,53583,80777,22400,66256,101635,34135,14923,31368,47362,-888888888,14.7,-888888888,18.2,48488,48488,48488,48488,92244,70893,76.9,6218,6.7,36651,50.1,36528,49.9,Fort Myers,Florida
"Washington city, District of Columbia",11,50000,319565.0,83924.0,133240.0,263114.0,263114.0,296559.0,296559.0,444233.0,92.8,301852.0,63.0,553437,553437,319565,90088,138856,128733,136184,192346,65808,190832,76236,100084,-888888888,12.8,-888888888,16.5,357482,357482,357482,357482,670050,515012,76.9,35516,5.3,255085,46.9,289236,53.1,Washington,District of Columbia
"Anchorage municipality, Alaska",2,3000,109584.0,23061.0,27288.0,117839.0,117839.0,112052.0,112052.0,181525.0,94.5,73511.0,38.3,225620,225620,109584,86654,110358,68583,109002,131091,43165,41001,50173,70338,-888888888,5.9,-888888888,9.1,119808,119808,119808,119808,288121,206777,71.8,18904,6.6,112101,51.1,107242,48.9,Anchorage municip,Alaska
