City_ID,NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64
144,"Carlsbad city, California",06,11194,115291,56167,59124,46.3,42.9,49.9,81039,7288,11615,9421,9146,10706
145,"Carmichael CDP, California",06,11390,81039,38899,42140,39.7,37.7,41.0,93526,7716,12208,13332,10800,12074
146,"Carson city, California",06,11530,93526,47052,46474,40.6,38.5,41.8,20605,1295,2053,1999,2936,3147
147,"Casa de Oro-Mount Helix CDP, California",06,11691,20605,9741,10864,50.1,50.1,50.0,66408,3201,6976,9842,8626,9333
148,"Castro Valley CDP, California",06,11964,66408,29901,36507,42.8,43.9,41.6,52228,3683,6810,7388,6320,8282
149,"Cathedral City city, California",06,12048,52228,27451,24777,39.5,38.8,40.8,49285,4527,8050,6831,4725,5052
150,"Ceres city, California",06,12524,49285,25784,23501,32.3,31.9,33.0,48398,3172,4601,5350,6892,7246
151,"Cerritos city, California",06,12552,48398,25223,23175,46.2,43.2,48.6,102340,21017,13891,13092,9803,9672
152,"Chico city, California",06,13014,102340,50688,51652,31.7,30.0,33.1,92988,6744,13536,13844,12506,12240
153,"Chino city, California",06,13210,92988,47266,45722,37.7,36.6,38.5,78675,6503,13728,9689,13498,10001
154,"Chino Hills city, California",06,13214,78675,39785,38890,38.0,36.9,39.4,20356,2900,3017,3789,2011,2041
155,"Chowchilla city, California",06,13294,20356,10174,10182,34.2,40.5,29.8,277211,23854,41156,41292,33317,34337
156,"Chula Vista city, California",06,13392,277211,139638,137573,36.7,36.4,36.8,87411,7500,14518,10917,9789,13519
157,"Citrus Heights city, California",06,13588,87411,41975,45436,40.1,38.8,41.5,35698,6054,2490,5118,5229,3926
158,"Claremont city, California",06,13756,35698,16048,19650,43.2,44.6,40.6,122985,9381,16404,17325,12484,14186
159,"Clovis city, California",06,14218,122985,58759,64226,33.7,34.1,32.8,42564,4312,8637,5877,5676,4577
160,"Coachella city, California",06,14260,42564,21788,20776,32.9,34.0,32.1,54286,5646,9270,7599,6653,5892
161,"Colton city, California",06,14890,54286,26659,27627,35.3,36.8,33.5,93584,9924,12950,12313,13594,11033
162,"Compton city, California",06,15044,93584,44933,48651,37.3,37.7,36.8,124091,8738,17614,21685,13508,16248
163,"Concord city, California",06,16000,124091,62092,61999,39.1,37.7,41.0,23324,2836,4456,3893,3332,2850
164,"Corcoran city, California",06,16224,23324,16253,7071,36.2,37.3,29.8,159749,16525,19610,20955,24788,20041
165,"Corona city, California",06,16350,159749,79654,80095,38.3,37.8,38.8,19458,2752,2473,1506,2436,2493
166,"Coronado city, California",06,16378,19458,10271,9187,37.2,28.2,45.2,110750,8284,21963,16438,13075,13813
167,"Costa Mesa city, California",06,16532,110750,54741,56009,37.1,37.4,36.8,50416,4817,8265,6602,6240,7099
168,"Covina city, California",06,16742,50416,24724,25692,36.5,31.5,41.2,21247,2622,3026,3207,2747,2578
169,"Cudahy city, California",06,17498,21247,10713,10534,34.9,31.8,37.4,39979,1711,6491,6530,4994,5000
170,"Culver City city, California",06,17568,39979,19350,20629,38.7,38.3,39.9,58625,5147,8210,8421,8560,8016
171,"Cupertino city, California",06,17610,58625,30719,27906,40.2,39.3,42.3,49923,4791,6543,6513,7557,5924
172,"Cypress city, California",06,17750,49923,24502,25421,38.7,36.4,40.8,101221,10611,14234,13075,13846,13073
173,"Daly City city, California",06,17918,101221,52302,48919,44.4,42.3,46.5,32810,2346,4845,3947,4119,5387
174,"Dana Point city, California",06,17946,32810,17037,15773,44.1,38.7,49.3,43240,2697,2882,4485,7567,6199
175,"Danville town, California",06,17988,43240,22235,21005,46.3,43.7,47.9,66798,22053,9141,6421,6990,4998
176,"Davis city, California",06,18100,66798,32582,34216,26.0,25.2,27.1,52173,4886,10310,8380,6499,5572
177,"Delano city, California",06,18394,52173,31151,21022,33.4,32.5,35.0,32721,3858,4106,2768,4054,3824
178,"Desert Hot Springs city, California",06,18996,32721,16292,16429,34.3,37.2,30.0,53859,3694,6072,6298,7357,8531
179,"Diamond Bar city, California",06,19192,53859,24694,29165,46.1,47.1,45.7,25143,3003,3389,3499,1866,2704
180,"Dinuba city, California",06,19318,25143,13163,11980,31.4,29.8,32.6,21000,1692,1955,2648,3728,4057
181,"Dixon city, California",06,19402,21000,10949,10051,42.0,39.8,46.3,111637,10061,16537,13336,14827,15641
182,"Downey city, California",06,19766,111637,54968,56669,40.3,36.3,42.8,22383,972,3269,2589,3077,2935
183,"Duarte city, California",06,19990,22383,10643,11740,38.6,36.7,41.8,71680,3276,9412,15913,11068,5383
184,"Dublin city, California",06,20018,71680,35721,35959,37.8,37.7,37.9,30251,3081,2479,4147,3925,3051
185,"Eastern Goleta Valley CDP, California",06,20574,30251,15970,14281,42.4,40.3,44.7,20757,1891,3457,3443,1917,2133
186,"East Hemet CDP, California",06,20697,20757,10644,10113,32.4,32.5,32.2,115803,11742,17923,15373,16948,14258
187,"East Los Angeles CDP, California",06,20802,115803,60212,55591,35.5,34.0,37.1,27672,2784,3958,3465,3625,4108
188,"East Niles CDP, California",06,20903,27672,15003,12669,35.0,31.4,40.0,28853,2661,5249,3798,3864,3470
189,"East Palo Alto city, California",06,20956,28853,14394,14459,35.8,33.8,38.2,22956,2293,2519,2169,3981,3336
