NAME,state,place,K200101_001E,K200101_002E,K200101_003E,K200103_001E,K200103_002E,K200103_003E,K200104_001E,K200104_003E,K200104_004E,K200104_005E,K200104_006E,K200104_007E
"Southgate city, Michigan",26,74960,29887,14726,15161,42.4,39.2,44.7,133256,10481,19778,13939,17168,18281
"Sterling Heights city, Michigan",26,76460,133256,65434,67822,41.6,39.3,44.0,62570,5437,8330,6443,8245,7918
"Taylor city, Michigan",26,79000,62570,30617,31953,35.8,36.4,35.5,86837,7649,9124,10047,14023,10891
"Troy city, Michigan",26,80700,86837,43839,42998,43.9,41.7,45.7,25162,2825,4848,3460,2913,3011
"Walker city, Michigan",26,82960,25162,13813,11349,31.6,36.1,30.4,138142,9047,24675,17305,16762,19811
"Warren city, Michigan",26,84000,138142,67133,71009,40.9,39.9,41.7,25347,2084,4384,3062,2704,3627
"Waverly CDP, Michigan",26,84800,25347,10746,14601,40.5,40.5,40.2,84528,6676,12773,11369,11273,12458
"Westland city, Michigan",26,86000,84528,40458,44070,41.9,38.7,44.8,24678,2076,3634,2666,3106,3732
"Wyandotte city, Michigan",26,88900,24678,12475,12203,45.1,44.6,45.7,76747,6527,12228,9177,9467,8031
"Wyoming city, Michigan",26,88940,76747,38284,38463,31.8,30.9,33.4,21169,5434,3364,3145,1591,1400
"Ypsilanti city, Michigan",26,89140,21169,11103,10066,28.3,28.9,27.3,32933,2933,2737,3779,5110,5134
"Andover city, Minnesota",27,01486,32933,16559,16374,42.8,43.5,42.1,55653,3704,6644,8166,6921,6639
"Apple Valley city, Minnesota",27,01900,55653,25958,29695,39.4,37.3,40.5,26569,2182,4574,2716,2668,3516
"Austin city, Minnesota",27,02908,26569,13714,12855,34.2,34.0,36.1,70953,5043,7656,10567,9929,8124
"Blaine city, Minnesota",27,06382,70953,35257,35696,36.4,36.4,36.3,89308,5426,12140,11631,11607,10962
"Bloomington city, Minnesota",27,06616,89308,42854,46454,42.3,39.9,45.6,32882,1330,4278,5189,2620,3991
"Brooklyn Center city, Minnesota",27,07948,32882,16654,16228,33.7,30.3,35.4,84533,4326,15162,13169,9498,10890
"Brooklyn Park city, Minnesota",27,07966,84533,41729,42804,35.5,33.1,36.5,63945,5901,10325,8370,6055,8227
"Burnsville city, Minnesota",27,08794,63945,30443,33502,36.4,35.9,37.5,27463,1933,2268,4011,2817,4523
"Champlin city, Minnesota",27,10846,27463,12013,15450,39.6,41.7,36.7,26036,2111,2256,3362,3292,4861
"Chanhassen city, Minnesota",27,10918,26036,13585,12451,43.9,39.4,48.7,28047,2562,2322,4130,4568,3249
"Chaska city, Minnesota",27,10972,28047,12886,15161,38.0,37.7,39.1,22482,3278,4563,2562,3181,1926
"Columbia Heights city, Minnesota",27,12700,22482,11268,11214,33.1,31.9,35.7,63380,5980,8382,8227,8435,8471
"Coon Rapids city, Minnesota",27,13114,63380,31649,31731,40.3,37.7,44.0,39925,3773,5697,5082,5911,5266
"Cottage Grove city, Minnesota",27,13456,39925,19647,20278,35.0,35.3,34.7,23646,1321,4223,3579,2156,4004
"Crystal city, Minnesota",27,14158,23646,12375,11271,39.1,36.4,42.4,86373,18495,11481,9830,8482,9052
"Duluth city, Minnesota",27,17000,86373,43205,43168,32.9,32.3,33.7,68646,4010,11080,9340,7859,10454
"Eagan city, Minnesota",27,17288,68646,35133,33513,36.5,35.8,38.1,63158,4009,6524,8571,9764,10045
"Eden Prairie city, Minnesota",27,18116,63158,31322,31836,42.5,42.7,42.4,53321,2586,5497,6813,6422,7915
"Edina city, Minnesota",27,18188,53321,25853,27468,45.0,43.8,48.1,26205,2200,5504,4137,2289,4204
"Elk River city, Minnesota",27,18674,26205,13332,12873,38.6,36.9,39.7,24414,1921,3640,3721,3412,2503
"Faribault city, Minnesota",27,20546,24414,13599,10815,39.7,36.7,42.4,19829,1668,2494,3370,2910,1981
"Farmington city, Minnesota",27,20618,19829,9836,9993,36.8,34.9,39.4,21782,1200,1852,2988,2477,3599
"Forest Lake city, Minnesota",27,21770,21782,10323,11459,42.0,41.6,42.4,30311,1888,4601,4774,3412,3755
"Fridley city, Minnesota",27,22814,30311,15368,14943,39.2,39.5,38.9,21829,1389,3406,2531,2417,3047
"Golden Valley city, Minnesota",27,24308,21829,10557,11272,44.9,44.2,45.9,24244,2011,2650,4048,3275,3285
"Hastings city, Minnesota",27,27530,24244,12204,12040,40.5,41.3,38.7,35538,2452,3237,5156,3991,5356
"Inver Grove Heights city, Minnesota",27,31076,35538,17085,18453,40.4,39.3,41.6,72805,5558,8249,11290,10621,9705
"Lakeville city, Minnesota",27,35180,72805,37958,34847,36.8,34.9,38.4,20170,1138,2431,2933,2402,3972
"Lino Lakes city, Minnesota",27,37322,20170,10474,9696,42.0,41.9,42.3,44691,13336,6366,4766,3745,2857
"Mankato city, Minnesota",27,39878,44691,22758,21933,27.5,26.3,28.2,70730,4138,9581,9610,11276,10059
"Maple Grove city, Minnesota",27,40166,70730,34687,36043,40.3,39.0,41.4,40939,3515,4239,5622,3745,6193
"Maplewood city, Minnesota",27,40382,40939,19014,21925,39.8,40.6,39.1,425338,58135,90405,65209,45219,42218
"Minneapolis city, Minnesota",27,43000,425338,216404,208934,33.5,33.6,33.3,53266,2171,8243,5233,6167,8094
"Minnetonka city, Minnesota",27,43252,53266,27767,25499,44.9,40.6,48.6,42094,7791,5703,5401,4364,4084
"Moorhead city, Minnesota",27,43864,42094,22341,19753,31.1,29.4,32.6,23254,1256,3156,3874,2440,3063
"New Brighton city, Minnesota",27,45430,23254,11895,11359,39.3,37.3,42.5,22952,1886,2779,2780,2691,3537
"New Hope city, Minnesota",27,45628,22952,10865,12087,43.4,44.2,43.1,21375,6431,1047,2085,2387,2326
"Northfield city, Minnesota",27,46924,21375,10297,11078,35.1,37.2,34.7,27966,1473,3849,1726,3509,5485
"Oakdale city, Minnesota",27,47680,27966,13229,14737,50.6,48.7,51.2,22476,730,3164,3622,2470,2911
"Otsego city, Minnesota",27,49138,22476,10697,11779,37.2,32.8,38.3,25318,1933,2940,3188,3553,3413
"Owatonna city, Minnesota",27,49300,25318,12613,12705,40.8,39.3,42.0,79833,5082,8866,12772,10509,11217
"Plymouth city, Minnesota",27,51730,79833,38058,41775,40.7,40.5,40.9,28082,2090,3314,4067,4065,3831
"Prior Lake city, Minnesota",27,52594,28082,13735,14347,38.1,37.2,39.1,28185,1314,4291,3838,2703,4386
"Ramsey city, Minnesota",27,53026,28185,13706,14479,35.3,34.7,35.6,36519,2585,5738,6446,3088,3528
"Richfield city, Minnesota",27,54214,36519,18180,18339,37.9,38.3,37.6,121471,12588,16761,16455,13540,14553
"Rochester city, Minnesota",27,54880,121471,58112,63359,37.0,36.4,37.5,26628,2073,2185,4782,3626,3812
"Rosemount city, Minnesota",27,55726,26628,12919,13709,39.9,39.6,40.1,35870,4246,4598,4568,3120,5053
"Roseville city, Minnesota",27,55852,35870,16493,19377,39.1,39.0,39.3,69809,13785,9978,7637,7295,7901
"St. Cloud city, Minnesota",27,56896,69809,35647,34162,32.6,32.6,32.5,49158,3267,11533,7581,4362,4235
"St. Louis Park city, Minnesota",27,57220,49158,24007,25151,34.0,34.6,33.4,307176,31723,57624,41346,31977,32079
"St. Paul city, Minnesota",27,58000,307176,150594,156582,33.2,33.2,33.2,23038,1368,2799,3673,2638,1454
"Sartell city, Minnesota",27,58612,23038,10906,12132,27.3,30.2,27.2,32971,2794,5147,4926,3910,4496
"Savage city, Minnesota",27,58738,32971,17321,15650,36.6,32.8,40.2,44562,4000,7117,6031,7172,4945
"Shakopee city, Minnesota",27,59350,44562,22628,21934,35.0,35.0,34.9,26677,2062,3440,3239,4033,3450
"Shoreview city, Minnesota",27,59998,26677,13543,13134,41.4,40.3,45.1,21279,1861,2904,3405,2534,3372
"South St. Paul city, Minnesota",27,61492,21279,10870,10409,38.8,38.8,38.9,20378,1737,1599,2930,2423,3419
"Stillwater city, Minnesota",27,62824,20378,10781,9597,43.1,39.0,45.3,19579,2380,2976,1629,2436,2467
"West St. Paul city, Minnesota",27,69700,19579,9631,9948,42.8,37.4,50.2,24461,1371,3056,3153,2413,4021
"White Bear Lake city, Minnesota",27,69970,24461,12289,12172,39.3,36.4,47.0,20800,1107,3014,1819,2277,2516
"Willmar city, Minnesota",27,70420,20800,10366,10434,39.2,35.7,39.9,23582,7810,2153,2287,1544,2548
"Winona city, Minnesota",27,71032,23582,10615,12967,30.8,30.2,31.2,76994,6317,9932,13035,9658,7182
"Woodbury city, Minnesota",27,71428,76994,38367,38627,36.3,36.0,37.7,49253,4658,6418,5860,6808,5699
"Biloxi city, Mississippi",28,06220,49253,23362,25891,38.5,37.0,38.9,25366,593,3304,4601,3224,2047
"Brandon city, Mississippi",28,08300,25366,12035,13331,36.8,38.2,36.4,27448,2739,2837,3421,3190,2750
"Clinton city, Mississippi",28,14420,27448,13613,13835,35.8,27.2,39.5,20505,2288,3101,1593,1826,2805
"Columbus city, Mississippi",28,15380,20505,9074,11431,39.0,31.7,43.0,21956,1192,3879,1618,3681,3155
"Gautier city, Mississippi",28,26860,21956,9855,12101,41.9,37.1,44.7,31363,2876,3268,4504,3320,4164
"Greenville city, Mississippi",28,29180,31363,15209,16154,37.9,34.8,40.6,72096,6912,10341,9683,8242,9787
"Gulfport city, Mississippi",28,29700,72096,35421,36675,36.7,37.7,36.5,45704,10889,7407,4210,3648,4855
"Hattiesburg city, Mississippi",28,31020,45704,21170,24534,29.7,32.1,27.5,20436,2277,1593,2602,3793,2876
"Hernando city, Mississippi",28,31780,20436,8712,11724,43.1,40.0,44.8,26740,3559,3420,4016,3600,3318
"Horn Lake city, Mississippi",28,33700,26740,12194,14546,33.6,30.4,35.6,149813,17141,23878,17584,15685,18100
"Jackson city, Mississippi",28,36000,149813,69597,80216,34.0,32.0,37.0,27715,1744,1750,4741,3196,4074
"Madison city, Mississippi",28,44520,27715,14530,13185,44.0,43.1,47.9,34425,2549,3425,5369,2956,4836
"Meridian city, Mississippi",28,46640,34425,16929,17496,41.0,38.9,43.8,40276,3449,4233,6310,4258,4800
"Olive Branch city, Mississippi",28,54040,40276,18344,21932,39.3,38.7,39.6,26430,4515,5118,4463,1531,1528
"Oxford city, Mississippi",28,54840,26430,11928,14502,29.7,27.8,30.3,25358,2189,2965,3103,3799,2844
"Pascagoula city, Mississippi",28,55360,25358,11480,13878,36.9,40.4,36.2,27253,1951,3840,4147,2627,3829
"Pearl city, Mississippi",28,55760,27253,13318,13935,37.0,34.9,39.6,24055,2021,4237,3072,4533,3275
"Ridgeland city, Mississippi",28,62520,24055,11264,12791,40.0,39.4,42.1,55434,3466,9972,8130,5976,6213
"Southaven city, Mississippi",28,69280,55434,26090,29344,35.4,32.7,37.2,24652,6657,4104,3739,1475,1479
"Starkville city, Mississippi",28,70240,24652,11709,12943,27.2,24.3,31.4,37671,2435,4079,5580,4217,3920
"Tupelo city, Mississippi",28,74840,37671,16907,20764,37.7,37.8,37.4,22832,3142,2340,3740,1963,2742
"Vicksburg city, Mississippi",28,76720,22832,11003,11829,36.5,35.2,39.1,23999,1749,4873,2479,2126,3881
"Arnold city, Missouri",29,01972,23999,11483,12516,34.5,34.0,35.5,30875,2161,2762,3777,3710,5811
"Ballwin city, Missouri",29,03160,30875,15923,14952,44.5,44.0,44.8,24198,2230,4151,2770,2719,2588
"Belton city, Missouri",29,04384,24198,11003,13195,37.6,39.4,33.9,59434,5233,7028,8897,8321,6292
"Blue Springs city, Missouri",29,06652,59434,29655,29779,37.4,34.7,40.2,39820,8413,4797,5020,2661,3803
"Cape Girardeau city, Missouri",29,11242,39820,18277,21543,33.3,33.7,33.0,49709,2721,4550,6741,7677,5665
"Chesterfield city, Missouri",29,13600,49709,24508,25201,43.6,41.3,45.2,126850,28689,21287,18279,9951,9225
"Columbia city, Missouri",29,15670,126850,61539,65311,29.4,29.2,29.6,51999,4482,5975,7627,4744,8432
"Florissant city, Missouri",29,24778,51999,24735,27264,39.5,36.8,41.9,27011,1727,5036,3025,2884,3732
"Gladstone city, Missouri",29,27190,27011,13673,13338,39.8,36.4,40.8,25845,1770,2646,4725,2721,2435
"Grandview city, Missouri",29,28324,25845,12256,13589,36.8,37.0,36.8,25243,2334,3857,3496,1918,3887
"Hazelwood city, Missouri",29,31276,25243,10072,15171,35.2,34.2,39.1,122083,9215,15123,12079,15955,19285
"Independence city, Missouri",29,35000,122083,59554,62529,43.7,40.5,46.8,42760,4280,6447,6375,4162,5183
"Jefferson City city, Missouri",29,37000,42760,23125,19635,37.9,36.8,40.1,48979,5493,7073,6121,6088,5070
"Joplin city, Missouri",29,37592,48979,22633,26346,37.9,35.7,39.0,508415,44725,95281,71268,54852,58420
"Kansas City city, Missouri",29,38000,508415,241879,266536,35.1,34.7,35.5,29380,1232,2600,4505,3651,3179
"Kirkwood city, Missouri",29,39044,29380,14573,14807,42.2,38.4,45.9,21008,3642,846,2705,2498,3172
"Lake St. Louis city, Missouri",29,40043,21008,10901,10107,40.4,36.6,45.4,102506,7018,10407,15423,11925,13561
"Lee's Summit city, Missouri",29,41348,102506,52686,49820,38.0,36.0,38.9,30379,2729,3110,5075,2972,4171
"Liberty city, Missouri",29,42032,30379,14564,15815,38.3,37.3,40.2,21599,1221,4344,2480,1574,2331
"Manchester city, Missouri",29,45668,21599,11290,10309,31.1,28.7,35.0,28023,2878,5912,3831,2781,3547
"Maryland Heights city, Missouri",29,46586,28023,14704,13319,34.8,34.4,35.3,27904,2647,4037,3348,3038,4313
"Mehlville CDP, Missouri",29,47180,27904,12947,14957,46.1,44.5,47.0,24142,1458,2706,4158,2131,3178
"Nixa city, Missouri",29,52616,24142,10418,13724,39.3,40.5,37.2,35183,2343,4855,4039,3962,4747
"Oakville CDP, Missouri",29,53876,35183,17653,17530,41.7,39.0,44.1,93651,7436,13420,13046,12875,11683
"O'Fallon city, Missouri",29,54074,93651,44211,49440,35.8,36.3,35.4,24505,2340,2944,2222,3360,3803
"Old Jamestown CDP, Missouri",29,54352,24505,11588,12917,41.7,30.7,49.7,21507,2384,3322,3609,1741,1375
"Ozark city, Missouri",29,55766,21507,10910,10597,32.3,28.1,35.7,24163,1734,1576,3865,2483,3374
"Raymore city, Missouri",29,60752,24163,12715,11448,39.6,35.3,42.0,29570,2149,4087,3553,3677,3952
"Raytown city, Missouri",29,60788,29570,14286,15284,43.8,43.8,43.7,70832,7563,12168,8721,7122,8824
"St. Charles city, Missouri",29,64082,70832,33838,36994,37.0,36.0,38.4,75763,7480,10762,10492,7961,9847
"St. Joseph city, Missouri",29,64550,75763,38448,37315,37.6,37.1,38.8,293310,25016,58546,42272,31960,37498
"St. Louis city, Missouri",29,65000,293310,143041,150269,36.8,36.0,37.7,58131,3086,7839,8876,5167,9842
"St. Peters city, Missouri",29,65126,58131,28430,29701,42.5,40.9,44.5,21183,1704,2895,3057,2298,2282
"Sedalia city, Missouri",29,66440,21183,10635,10548,37.6,32.6,42.1,169850,31132,27667,20574,16425,15934
"Springfield city, Missouri",29,70000,169850,82867,86983,32.8,32.4,33.3,34626,4359,5291,4921,2933,5299
"University City city, Missouri",29,75220,34626,15061,19565,37.2,37.8,36.6,24905,2582,2073,3923,3336,2796
"Webster Groves city, Missouri",29,78154,24905,11153,13752,38.6,33.5,40.6,45452,3516,4844,7992,7247,3298
"Wentzville city, Missouri",29,78442,45452,23755,21697,36.4,34.8,38.2,35256,2335,1916,5443,5588,5281
"Wildwood city, Missouri",29,79820,35256,17854,17402,42.5,42.2,42.7,117453,9366,17122,15042,13326,13399
"Billings city, Montana",30,06550,117453,57371,60082,37.5,38.2,36.8,54545,13018,11181,6770,6543,2759
"Bozeman city, Montana",30,08950,54545,29777,24768,29.0,29.4,28.5,34477,3840,3978,4443,3160,5315
"Butte-Silver Bow (balance), Montana",30,11397,34477,17250,17227,41.0,40.7,41.5,60399,4891,9095,7354,6400,8356
"Great Falls city, Montana",30,32800,60399,30364,30035,40.5,37.5,44.4,33118,2736,5144,4663,3673,4174
"Helena city, Montana",30,35600,33118,16143,16975,39.6,37.4,44.7,26114,1954,4896,3431,1856,2357
"Kalispell city, Montana",30,40075,26114,13029,13085,34.4,33.7,35.2,74834,11327,13654,11210,8089,6462
"Missoula city, Montana",30,50200,74834,36389,38445,34.7,34.6,34.8,63739,5542,9259,9531,6253,8076
"Bellevue city, Nebraska",31,03950,63739,33242,30497,37.2,34.7,40.4,24769,1558,2823,3898,2207,3266
"Columbus city, Nebraska",31,10110,24769,11710,13059,38.9,38.4,39.4,26642,2815,3004,3752,2388,3210
"Fremont city, Nebraska",31,17670,26642,12919,13723,36.4,34.4,37.1,51882,4096,7006,6411,6225,5759
"Grand Island city, Nebraska",31,19595,51882,25602,26280,35.7,34.9,37.8,24885,2764,3393,2680,2164,3721
"Hastings city, Nebraska",31,21415,24885,11721,13164,36.9,37.8,36.7,32419,5331,4638,4730,2806,3153
"Kearney city, Nebraska",31,25055,32419,16424,15995,33.9,32.9,35.1,292648,47063,41278,36672,29590,30951
"Lincoln city, Nebraska",31,28000,292648,147855,144793,33.3,32.6,34.0,23398,2488,3316,3171,2075,3309
"Norfolk city, Nebraska",31,34615,23398,11349,12049,37.0,36.0,38.9,22157,1974,2606,3106,2300,2917
"North Platte city, Nebraska",31,35000,22157,9884,12273,41.1,39.8,41.4,487299,48003,74585,65122,56218,56866
"Omaha city, Nebraska",31,37000,487299,242649,244650,35.6,34.8,36.2,24105,1944,2296,2971,3859,3864
"Papillion city, Nebraska",31,38295,24105,12177,11928,44.7,43.9,44.9,58993,4479,6791,7664,7464,8429
"Carson City, Nevada",32,09700,58993,29786,29207,43.3,43.5,42.7,22319,1954,3067,2921,1714,3025
"Elko city, Nevada",32,22500,22319,11632,10687,34.3,32.6,35.3,245286,21414,41105,40374,32299,25914
"Enterprise CDP, Nevada",32,23770,245286,125568,119718,35.7,35.3,36.2,22905,1055,3130,4923,3109,2054
"Fernley city, Nevada",32,24900,22905,12265,10640,39.0,37.9,39.6,322202,17999,36793,48459,39928,40564
"Henderson city, Nevada",32,31900,322202,158108,164094,40.7,41.0,40.5,646776,51900,91261,86607,88855,83526
"Las Vegas city, Nevada",32,40000,646776,325837,320939,39.6,39.0,40.0,19959,364,1585,716,2076,2477
"Mesquite city, Nevada",32,46000,19959,10191,9768,65.0,62.2,65.8,274146,26240,44445,39731,32504,29763
"North Las Vegas city, Nevada",32,51800,274146,136286,137860,33.7,31.8,35.6,46567,1569,4903,5354,4936,7848
"Pahrump CDP, Nevada",32,53800,46567,24070,22497,52.1,53.9,50.3,185849,18840,29569,26946,25807,23177
"Paradise CDP, Nevada",32,54600,185849,93354,92495,38.1,39.3,36.8,268843,27890,44188,38325,26533,31858
"Reno city, Nevada",32,60600,268843,135308,133535,36.3,36.0,36.6,109788,8751,17476,12462,15382,13199
"Sparks city, Nevada",32,68400,109788,56847,52941,39.7,38.0,40.0,213552,15461,36770,32865,29287,23254
"Spring Valley CDP, Nevada",32,68585,213552,102056,111496,37.9,37.1,39.1,32535,1371,2109,4864,5163,4313
"Summerlin South CDP, Nevada",32,70900,32535,16702,15833,47.0,41.9,51.0,196147,20527,29708,22468,25299,22161
"Sunrise Manor CDP, Nevada",32,71400,196147,98223,97924,33.1,33.3,32.4,22682,1618,4470,1888,3034,2389
"Sun Valley CDP, Nevada",32,71600,22682,11881,10801,30.0,30.7,29.2,47928,3351,7839,6738,4301,4638
"Whitney CDP, Nevada",32,83800,47928,24482,23446,33.3,33.8,33.0,37336,3605,5642,5278,4225,3836
"Winchester CDP, Nevada",32,84600,37336,19633,17703,36.4,35.6,39.6,44013,3712,8097,5708,5591,6507
"Concord city, New Hampshire",33,14200,44013,22500,21513,40.8,39.1,43.7,21872,1465,4686,2486,2635,3912
"Derry CDP, New Hampshire",33,17860,21872,9977,11895,40.0,40.2,39.8,33172,4600,7069,4594,3216,3262
"Dover city, New Hampshire",33,18820,33172,15745,17427,33.8,33.4,34.0,21908,3539,3456,1888,3191,2129
"Keene city, New Hampshire",33,39300,21908,10813,11095,42.8,44.0,40.4,115470,10483,22786,16668,11733,16390
"Manchester city, New Hampshire",33,45140,115470,56797,58673,36.6,36.3,36.7,91122,8634,14163,11400,11849,11147
"Nashua city, New Hampshire",33,50260,91122,46166,44956,40.6,39.4,41.7,20536,1582,3591,3077,2192,2855
"Portsmouth city, New Hampshire",33,62900,20536,9753,10783,42.8,43.6,42.5,32859,2797,4925,3802,5046,5908
"Rochester city, New Hampshire",33,65140,32859,18039,14820,44.5,39.8,50.1,38467,3018,3624,4229,4513,5949
"Atlantic City city, New Jersey",34,02080,38467,19617,18850,41.9,39.0,43.1,69195,3768,11002,9521,8130,9569
"Bayonne city, New Jersey",34,03580,69195,34795,34400,38.3,38.0,38.5,28204,2875,3318,3947,3123,4413
"Bergenfield borough, New Jersey",34,05170,28204,14136,14068,42.9,39.3,44.0,26611,1116,5243,4973,2939,2219
"Bridgeton city, New Jersey",34,07600,26611,15853,10758,32.4,33.3,29.3,71771,7856,10482,8641,8106,7291
"Camden city, New Jersey",34,10000,71771,32500,39271,32.2,31.3,33.2,25152,2554,2446,3725,2992,3444
"Carteret borough, New Jersey",34,10750,25152,11872,13280,40.8,41.9,38.1,25606,1530,4146,4581,3105,2224
"Cliffside Park borough, New Jersey",34,13570,25606,11281,14325,39.0,37.9,39.1,89382,8600,12295,11725,10908,13615
"Clifton city, New Jersey",34,13690,89382,44938,44444,42.3,40.8,43.7,68893,3549,10616,9017,9599,8969
"East Orange city, New Jersey",34,19390,68893,29484,39409,37.5,35.3,39.5,135405,12245,17371,22247,17656,15247
"Elizabeth city, New Jersey",34,21000,135405,64328,71077,36.0,35.9,36.3,20579,1311,2612,2520,2915,2720
"Elmwood Park borough, New Jersey",34,21300,20579,10802,9777,44.3,44.2,44.4,29111,2095,5004,1777,4085,5125
"Englewood city, New Jersey",34,21480,29111,13944,15167,48.2,45.8,50.2,35153,2751,4095,4422,4370,4500
"Fair Lawn borough, New Jersey",34,22470,35153,16991,18162,36.7,34.9,37.7,39864,1110,5121,5667,5983,5281
"Fort Lee borough, New Jersey",34,24420,39864,18128,21736,44.7,43.5,45.4,32471,3034,4590,6254,3852,3280
"Garfield city, New Jersey",34,25770,32471,16309,16162,38.9,38.8,39.3,21081,6322,2408,1633,2831,1864
"Glassboro borough, New Jersey",34,26340,21081,10013,11068,27.4,24.8,34.2,45642,1957,8245,5715,8489,6849
"Hackensack city, New Jersey",34,28680,45642,23330,22312,45.6,43.9,46.0,20753,814,2462,3827,3397,3158
"Hillsborough CDP, New Jersey",34,31880,20753,10078,10675,43.4,39.6,46.3,58687,4446,21995,12010,4363,3978
"Hoboken city, New Jersey",34,32250,58687,28564,30123,31.6,32.7,30.7,21206,2052,2104,4346,2208,2208
"Iselin CDP, New Jersey",34,34470,21206,10758,10448,39.5,37.8,39.9,283943,19443,63270,49313,31306,27851
"Jersey City city, New Jersey",34,36000,283943,144767,139176,35.4,34.3,36.4,40380,2623,5625,6138,7055,6456
"Kearny town, New Jersey",34,36510,40380,22244,18136,42.8,41.7,44.1,66405,6692,8252,6676,4490,2376
"Lakewood CDP, New Jersey",34,38580,66405,33842,32563,17.3,16.8,17.9,43595,4603,6301,6216,6148,6664
"Linden city, New Jersey",34,40350,43595,21343,22252,40.0,37.5,40.7,25962,1807,3686,3134,4308,3934
"Lodi borough, New Jersey",34,41100,25962,13066,12896,40.0,43.3,38.4,32383,4144,4253,3748,3491,3401
"Long Branch city, New Jersey",34,41310,32383,14750,17633,34.9,35.2,34.7,27643,1692,3499,3342,3274,3626
"Millville city, New Jersey",34,46680,27643,13975,13668,35.8,30.9,39.7,307216,31568,46581,46012,38892,34227
"Newark city, New Jersey",34,51000,307216,150211,157005,35.1,33.9,36.2,55707,15742,8198,6983,5304,4154
"New Brunswick city, New Jersey",34,51210,55707,27856,27851,25.6,25.9,25.2,27225,2590,3481,4309,3082,3291
"North Plainfield borough, New Jersey",34,53280,27225,13336,13889,34.9,37.3,31.9,28617,2378,4617,4732,2866,3514
"Old Bridge CDP, New Jersey",34,54690,28617,13787,14830,36.6,37.0,36.5,19350,664,2745,2762,2997,3068
"Palisades Park borough, New Jersey",34,55770,19350,9565,9785,48.1,48.1,48.0,26419,2101,1515,2962,3355,3942
"Paramus borough, New Jersey",34,55950,26419,13526,12893,48.5,48.1,50.4,22393,2059,2574,3969,1886,3292
"Parsippany CDP, New Jersey",34,56430,22393,11310,11083,41.8,41.1,42.8,69637,8535,8880,9968,9269,6747
"Passaic city, New Jersey",34,56550,69637,31852,37785,30.8,31.5,29.9,157783,13878,24299,21698,19712,16848
"Paterson city, New Jersey",34,57000,157783,79125,78658,33.6,32.2,35.2,55296,5619,8186,8169,6835,5866
"Perth Amboy city, New Jersey",34,58200,55296,26327,28969,36.1,34.1,38.5,54933,4727,9157,7355,5983,8450
"Plainfield city, New Jersey",34,59190,54933,29928,25005,35.8,34.0,38.7,21213,2521,3376,3152,2824,2681
"Pleasantville city, New Jersey",34,59640,21213,9827,11386,38.2,36.8,39.4,20524,1832,1846,2148,1743,2700
"Preakness CDP, New Jersey",34,60810,20524,9740,10784,34.9,31.4,39.7,30870,8274,2562,3255,3425,3096
"Princeton, New Jersey",34,60900,30870,14107,16763,28.9,31.1,26.8,29909,1957,5169,3742,5164,3115
"Rahway city, New Jersey",34,61530,29909,13483,16426,39.5,36.6,41.0,26202,2349,1315,3223,4654,3945
"Ridgewood village, New Jersey",34,63000,26202,12405,13797,41.7,40.9,42.3,22141,2465,3091,3365,3777,2264
"Roselle borough, New Jersey",34,64620,22141,10555,11586,36.6,36.9,36.3,21352,3271,1915,2643,3799,2507
"Rutherford borough, New Jersey",34,65280,21352,10769,10583,39.3,38.3,44.2,45085,3812,6366,5990,6567,6491
"Sayreville borough, New Jersey",34,65790,45085,23200,21885,40.6,41.0,40.1,24246,754,5256,4022,2695,2694
"Secaucus town, New Jersey",34,66570,24246,11845,12401,34.6,32.8,37.6,48089,3560,6282,6715,6728,7047
"Sicklerville CDP, New Jersey",34,67470,48089,22866,25223,38.9,36.9,41.2,25648,2646,3841,4116,2804,3308
"Somerset CDP, New Jersey",34,68370,25648,12588,13060,41.1,36.4,43.1,24238,1747,3077,2351,4436,4177
"South Plainfield borough, New Jersey",34,69390,24238,11132,13106,45.7,43.5,48.5,22901,1954,2688,3078,3576,2106
"Summit city, New Jersey",34,71430,22901,11214,11687,38.5,35.4,39.5,93947,7739,11648,11986,12203,12344
"Toms River CDP, New Jersey",34,73110,93947,43795,50152,40.8,40.1,42.3,90458,6052,12882,13249,11450,12185
"Trenton city, New Jersey",34,74000,90458,47114,43344,38.3,37.6,39.0,65639,7503,9123,9595,9434,7884
"Union City city, New Jersey",34,74630,65639,33539,32100,35.8,33.8,39.0,61159,6406,6679,6457,7236,8286
"Vineland city, New Jersey",34,76070,61159,28075,33084,41.3,38.3,44.8,30753,2324,2233,3640,5226,3207
"Westfield town, New Jersey",34,79040,30753,15712,15041,38.6,35.6,40.4,52239,4207,7913,9592,7084,5737
"West New York town, New Jersey",34,79610,52239,26275,25964,37.5,36.3,40.3,22610,1465,1782,4744,3833,3786
"Woodbridge CDP, New Jersey",34,81950,22610,11994,10616,43.5,41.4,44.6,31656,2428,4152,4683,3427,2921
"Alamogordo city, New Mexico",35,01780,31656,18291,13365,38.9,35.9,41.8,562591,53320,84048,78305,67885,68518
"Albuquerque city, New Mexico",35,02000,562591,278377,284214,38.9,37.5,40.3,31890,1692,6001,3695,4705,3630
"Carlsbad city, New Mexico",35,12150,31890,16866,15024,37.2,31.3,42.2,34144,4131,3612,4631,4394,4060
"Clovis city, New Mexico",35,16420,34144,16209,17935,37.7,36.2,39.2,46427,4035,6177,7004,4947,5596
