NAME,state,place,total_population
"Oakdale city, Minnesota",27,47680,27966
"Otsego city, Minnesota",27,49138,22476
"Owatonna city, Minnesota",27,49300,25318
"Plymouth city, Minnesota",27,51730,79833
"Prior Lake city, Minnesota",27,52594,28082
"Ramsey city, Minnesota",27,53026,28185
"Richfield city, Minnesota",27,54214,36519
"Rochester city, Minnesota",27,54880,121471
"Rosemount city, Minnesota",27,55726,26628
"Roseville city, Minnesota",27,55852,35870
"St. Cloud city, Minnesota",27,56896,69809
"St. Louis Park city, Minnesota",27,57220,49158
"St. Paul city, Minnesota",27,58000,307176
"Sartell city, Minnesota",27,58612,23038
"Savage city, Minnesota",27,58738,32971
"Shakopee city, Minnesota",27,59350,44562
"Shoreview city, Minnesota",27,59998,26677
"South St. Paul city, Minnesota",27,61492,21279
"Stillwater city, Minnesota",27,62824,20378
"West St. Paul city, Minnesota",27,69700,19579
"White Bear Lake city, Minnesota",27,69970,24461
"Willmar city, Minnesota",27,70420,20800
"Winona city, Minnesota",27,71032,23582
"Woodbury city, Minnesota",27,71428,76994
"Biloxi city, Mississippi",28,06220,49253
"Brandon city, Mississippi",28,08300,25366
"Clinton city, Mississippi",28,14420,27448
"Columbus city, Mississippi",28,15380,20505
"Gautier city, Mississippi",28,26860,21956
"Greenville city, Mississippi",28,29180,31363
"Gulfport city, Mississippi",28,29700,72096
"Hattiesburg city, Mississippi",28,31020,45704
"Hernando city, Mississippi",28,31780,20436
"Horn Lake city, Mississippi",28,33700,26740
"Jackson city, Mississippi",28,36000,149813
"Madison city, Mississippi",28,44520,27715
"Meridian city, Mississippi",28,46640,34425
"Olive Branch city, Mississippi",28,54040,40276
"Oxford city, Mississippi",28,54840,26430
"Pascagoula city, Mississippi",28,55360,25358
"Pearl city, Mississippi",28,55760,27253
"Ridgeland city, Mississippi",28,62520,24055
"Southaven city, Mississippi",28,69280,55434
"Starkville city, Mississippi",28,70240,24652
"Tupelo city, Mississippi",28,74840,37671
"Vicksburg city, Mississippi",28,76720,22832
"Arnold city, Missouri",29,01972,23999
"Ballwin city, Missouri",29,03160,30875
"Belton city, Missouri",29,04384,24198
"Blue Springs city, Missouri",29,06652,59434
"Cape Girardeau city, Missouri",29,11242,39820
"Chesterfield city, Missouri",29,13600,49709
"Columbia city, Missouri",29,15670,126850
"Florissant city, Missouri",29,24778,51999
"Gladstone city, Missouri",29,27190,27011
"Grandview city, Missouri",29,28324,25845
"Hazelwood city, Missouri",29,31276,25243
"Independence city, Missouri",29,35000,122083
"Jefferson City city, Missouri",29,37000,42760
"Joplin city, Missouri",29,37592,48979
"Kansas City city, Missouri",29,38000,508415
"Kirkwood city, Missouri",29,39044,29380
"Lake St. Louis city, Missouri",29,40043,21008
"Lee's Summit city, Missouri",29,41348,102506
"Liberty city, Missouri",29,42032,30379
"Manchester city, Missouri",29,45668,21599
"Maryland Heights city, Missouri",29,46586,28023
"Mehlville CDP, Missouri",29,47180,27904
"Nixa city, Missouri",29,52616,24142
"Oakville CDP, Missouri",29,53876,35183
"O'Fallon city, Missouri",29,54074,93651
"Old Jamestown CDP, Missouri",29,54352,24505
"Ozark city, Missouri",29,55766,21507
"Raymore city, Missouri",29,60752,24163
"Raytown city, Missouri",29,60788,29570
"St. Charles city, Missouri",29,64082,70832
"St. Joseph city, Missouri",29,64550,75763
"St. Louis city, Missouri",29,65000,293310
"St. Peters city, Missouri",29,65126,58131
"Sedalia city, Missouri",29,66440,21183
"Springfield city, Missouri",29,70000,169850
"University City city, Missouri",29,75220,34626
"Webster Groves city, Missouri",29,78154,24905
"Wentzville city, Missouri",29,78442,45452
"Wildwood city, Missouri",29,79820,35256
"Billings city, Montana",30,06550,117453
"Bozeman city, Montana",30,08950,54545
"Butte-Silver Bow (balance), Montana",30,11397,34477
"Great Falls city, Montana",30,32800,60399
"Helena city, Montana",30,35600,33118
"Kalispell city, Montana",30,40075,26114
"Missoula city, Montana",30,50200,74834
"Bellevue city, Nebraska",31,03950,63739
"Columbus city, Nebraska",31,10110,24769
"Fremont city, Nebraska",31,17670,26642
"Grand Island city, Nebraska",31,19595,51882
"Hastings city, Nebraska",31,21415,24885
"Kearney city, Nebraska",31,25055,32419
"Lincoln city, Nebraska",31,28000,292648
"Norfolk city, Nebraska",31,34615,23398
"North Platte city, Nebraska",31,35000,22157
"Omaha city, Nebraska",31,37000,487299
"Papillion city, Nebraska",31,38295,24105
"Carson City, Nevada",32,09700,58993
"Elko city, Nevada",32,22500,22319
"Enterprise CDP, Nevada",32,23770,245286
"Fernley city, Nevada",32,24900,22905
"Henderson city, Nevada",32,31900,322202
"Las Vegas city, Nevada",32,40000,646776
"Mesquite city, Nevada",32,46000,19959
"North Las Vegas city, Nevada",32,51800,274146
"Pahrump CDP, Nevada",32,53800,46567
"Paradise CDP, Nevada",32,54600,185849
"Reno city, Nevada",32,60600,268843
"Sparks city, Nevada",32,68400,109788
"Spring Valley CDP, Nevada",32,68585,213552
"Summerlin South CDP, Nevada",32,70900,32535
"Sunrise Manor CDP, Nevada",32,71400,196147
"Sun Valley CDP, Nevada",32,71600,22682
"Whitney CDP, Nevada",32,83800,47928
"Winchester CDP, Nevada",32,84600,37336
"Concord city, New Hampshire",33,14200,44013
"Derry CDP, New Hampshire",33,17860,21872
"Dover city, New Hampshire",33,18820,33172
"Keene city, New Hampshire",33,39300,21908
"Manchester city, New Hampshire",33,45140,115470
"Nashua city, New Hampshire",33,50260,91122
"Portsmouth city, New Hampshire",33,62900,20536
"Rochester city, New Hampshire",33,65140,32859
"Atlantic City city, New Jersey",34,02080,38467
"Bayonne city, New Jersey",34,03580,69195
"Bergenfield borough, New Jersey",34,05170,28204
"Bridgeton city, New Jersey",34,07600,26611
"Camden city, New Jersey",34,10000,71771
"Carteret borough, New Jersey",34,10750,25152
"Cliffside Park borough, New Jersey",34,13570,25606
"Clifton city, New Jersey",34,13690,89382
"East Orange city, New Jersey",34,19390,68893
"Elizabeth city, New Jersey",34,21000,135405
"Elmwood Park borough, New Jersey",34,21300,20579
"Englewood city, New Jersey",34,21480,29111
"Fair Lawn borough, New Jersey",34,22470,35153
"Fort Lee borough, New Jersey",34,24420,39864
"Garfield city, New Jersey",34,25770,32471
"Glassboro borough, New Jersey",34,26340,21081
"Hackensack city, New Jersey",34,28680,45642
"Hillsborough CDP, New Jersey",34,31880,20753
"Hoboken city, New Jersey",34,32250,58687
"Iselin CDP, New Jersey",34,34470,21206
"Jersey City city, New Jersey",34,36000,283943
"Kearny town, New Jersey",34,36510,40380
"Lakewood CDP, New Jersey",34,38580,66405
"Linden city, New Jersey",34,40350,43595
"Lodi borough, New Jersey",34,41100,25962
"Long Branch city, New Jersey",34,41310,32383
"Millville city, New Jersey",34,46680,27643
"Newark city, New Jersey",34,51000,307216
"New Brunswick city, New Jersey",34,51210,55707
"North Plainfield borough, New Jersey",34,53280,27225
"Old Bridge CDP, New Jersey",34,54690,28617
"Palisades Park borough, New Jersey",34,55770,19350
"Paramus borough, New Jersey",34,55950,26419
"Parsippany CDP, New Jersey",34,56430,22393
"Passaic city, New Jersey",34,56550,69637
"Paterson city, New Jersey",34,57000,157783
"Perth Amboy city, New Jersey",34,58200,55296
"Plainfield city, New Jersey",34,59190,54933
"Pleasantville city, New Jersey",34,59640,21213
"Preakness CDP, New Jersey",34,60810,20524
"Princeton, New Jersey",34,60900,30870
"Rahway city, New Jersey",34,61530,29909
"Ridgewood village, New Jersey",34,63000,26202
"Roselle borough, New Jersey",34,64620,22141
"Rutherford borough, New Jersey",34,65280,21352
"Sayreville borough, New Jersey",34,65790,45085
"Secaucus town, New Jersey",34,66570,24246
"Sicklerville CDP, New Jersey",34,67470,48089
"Somerset CDP, New Jersey",34,68370,25648
"South Plainfield borough, New Jersey",34,69390,24238
"Summit city, New Jersey",34,71430,22901
"Toms River CDP, New Jersey",34,73110,93947
"Trenton city, New Jersey",34,74000,90458
"Union City city, New Jersey",34,74630,65639
"Vineland city, New Jersey",34,76070,61159
"Westfield town, New Jersey",34,79040,30753
"West New York town, New Jersey",34,79610,52239
"Woodbridge CDP, New Jersey",34,81950,22610
"Alamogordo city, New Mexico",35,01780,31656
"Albuquerque city, New Mexico",35,02000,562591
"Carlsbad city, New Mexico",35,12150,31890
"Clovis city, New Mexico",35,16420,34144
"Farmington city, New Mexico",35,25800,46427
"Gallup city, New Mexico",35,28460,21857
"Hobbs city, New Mexico",35,32520,39771
"Las Cruces city, New Mexico",35,39380,112907
"Rio Rancho city, New Mexico",35,63460,105839
"Roswell city, New Mexico",35,64930,49332
"Santa Fe city, New Mexico",35,70500,88196
"South Valley CDP, New Mexico",35,74520,34287
"Albany city, New York",36,01000,98624
"Auburn city, New York",36,03078,26663
"Baldwin CDP, New York",36,04143,33988
"Bay Shore CDP, New York",36,04935,26430
"Binghamton city, New York",36,06607,47569
"Brentwood CDP, New York",36,08026,61452
"Brighton CDP, New York",36,08257,36695
"Buffalo city, New York",36,11000,276804
"Centereach CDP, New York",36,13376,34737
"Central Islip CDP, New York",36,13552,40324
"Cheektowaga CDP, New York",36,15000,76676
"Cohoes city, New York",36,16749,20448
"Commack CDP, New York",36,17530,36805
"Copiague CDP, New York",36,18146,22973
"Coram CDP, New York",36,18157,36427
"Deer Park CDP, New York",36,19972,27095
"Dix Hills CDP, New York",36,20687,28700
"Eastchester CDP, New York",36,21809,20715
"East Meadow CDP, New York",36,22502,36182
"East Patchogue CDP, New York",36,22733,22558
"Elmira city, New York",36,24229,26307
"Elmont CDP, New York",36,24273,34961
"Franklin Square CDP, New York",36,27309,34873
"Freeport village, New York",36,27485,44192
"Garden City village, New York",36,28178,22086
"Glen Cove city, New York",36,29113,28127
"Harrison village, New York",36,32402,28776
"Hempstead village, New York",36,33139,58741
"Hicksville CDP, New York",36,34374,43928
"Holbrook CDP, New York",36,35056,25361
"Holtsville CDP, New York",36,35254,20075
"Huntington Station CDP, New York",36,37044,31824
"Irondequoit CDP, New York",36,37737,50556
"Islip CDP, New York",36,37869,21643
"Ithaca city, New York",36,38077,31710
"Jamestown city, New York",36,38264,28394
"Kingston city, New York",36,39727,24098
"Kiryas Joel village, New York",36,39853,36220
"Lackawanna city, New York",36,40189,20810
"Levittown CDP, New York",36,42081,52036
"Lindenhurst village, New York",36,42554,27133
"Lockport city, New York",36,43082,21359
"Long Beach city, New York",36,43335,34783
"Lynbrook village, New York",36,43874,20396
"Mamaroneck village, New York",36,44831,20876
"Massapequa CDP, New York",36,45986,21231
"Medford CDP, New York",36,46404,24878
"Merrick CDP, New York",36,46668,21255
"Middletown city, New York",36,47042,30467
"Mineola village, New York",36,47636,21799
"Monsey CDP, New York",36,48010,26733
"Mount Vernon city, New York",36,49121,72584
"Nanuet CDP, New York",36,49407,23514
"Newburgh city, New York",36,50034,28830
"New City CDP, New York",36,50100,32992
"New Rochelle city, New York",36,50617,81590
"New York city, New York",36,51000,8467513
"Niagara Falls city, New York",36,51055,48364
"North Amityville CDP, New York",36,51396,30911
"North Babylon CDP, New York",36,51440,20209
"North Bellmore CDP, New York",36,51517,21786
"North Tonawanda city, New York",36,53682,30409
"North Valley Stream CDP, New York",36,53748,20797
"Oceanside CDP, New York",36,54441,31994
"Ossining village, New York",36,55530,27226
"Peekskill city, New York",36,56979,25743
"Plainview CDP, New York",36,58442,23649
"Plattsburgh city, New York",36,58574,20345
"Port Chester village, New York",36,59223,28450
"Port Washington CDP, New York",36,59520,21258
"Poughkeepsie city, New York",36,59641,31855
"Rochester city, New York",36,63000,210594
"Rockville Centre village, New York",36,63264,25813
"Rome city, New York",36,63418,31993
"Ronkonkoma CDP, New York",36,63473,22333
"Roosevelt CDP, New York",36,63506,20860
"Rotterdam CDP, New York",36,63924,24975
"Saratoga Springs city, New York",36,65255,28303
"Schenectady city, New York",36,65508,66985
"Selden CDP, New York",36,66212,20817
"Shirley CDP, New York",36,67070,27497
"Smithtown CDP, New York",36,67851,22407
"Spring Valley village, New York",36,70420,30972
"Syracuse city, New York",36,73000,146124
"Tonawanda Town CDP, New York",36,75021,56344
"Troy city, New York",36,75484,50394
"Uniondale CDP, New York",36,76089,26356
"Utica city, New York",36,76540,64497
"Valley Stream village, New York",36,76705,40421
"Watertown city, New York",36,78608,24580
"West Babylon CDP, New York",36,79246,40402
"West Hempstead CDP, New York",36,80225,20948
"West Islip CDP, New York",36,80302,27492
"West Seneca CDP, New York",36,80907,45279
"White Plains city, New York",36,81677,59538
"Yonkers city, New York",36,84000,209506
"Apex town, North Carolina",37,01520,62904
"Asheboro city, North Carolina",37,02080,27126
"Asheville city, North Carolina",37,02140,94070
"Boone town, North Carolina",37,07080,20620
"Burlington city, North Carolina",37,09060,57763
"Carrboro town, North Carolina",37,10620,20053
"Cary town, North Carolina",37,10740,178508
"Chapel Hill town, North Carolina",37,11800,61151
"Charlotte city, North Carolina",37,12000,879697
"Clayton town, North Carolina",37,12860,28309
"Clemmons village, North Carolina",37,12960,19500
"Concord city, North Carolina",37,14100,107688
"Cornelius town, North Carolina",37,14700,31646
"Durham city, North Carolina",37,19000,285439
"Elizabeth City city, North Carolina",37,20580,20213
"Fayetteville city, North Carolina",37,22920,208792
"Fuquay-Varina town, North Carolina",37,25300,36721
"Garner town, North Carolina",37,25480,31930
"Gastonia city, North Carolina",37,25580,81159
"Goldsboro city, North Carolina",37,26880,32749
"Greensboro city, North Carolina",37,28000,298250
"Greenville city, North Carolina",37,28080,88733
"Harrisburg town, North Carolina",37,29800,22162
"Havelock city, North Carolina",37,30120,22170
"Hickory city, North Carolina",37,31060,43423
"High Point city, North Carolina",37,31400,115287
"Holly Springs town, North Carolina",37,32260,43529
"Huntersville town, North Carolina",37,33120,61844
"Indian Trail town, North Carolina",37,33560,40941
"Jacksonville city, North Carolina",37,34200,72881
"Kannapolis city, North Carolina",37,35200,52131
"Kernersville town, North Carolina",37,35600,27665
"Leland town, North Carolina",37,37680,25962
"Lenoir city, North Carolina",37,37760,20829
"Lexington city, North Carolina",37,38060,24686
"Lumberton city, North Carolina",37,39700,19333
"Matthews town, North Carolina",37,41960,29626
"Mebane city, North Carolina",37,42240,20083
"Mint Hill town, North Carolina",37,43480,26629
"Monroe city, North Carolina",37,43920,34891
"Mooresville town, North Carolina",37,44220,51596
"Morganton city, North Carolina",37,44400,19765
"Morrisville town, North Carolina",37,44520,31172
"Murraysville CDP, North Carolina",37,45720,19007
"New Bern city, North Carolina",37,46340,31339
"Raleigh city, North Carolina",37,55000,469502
"Rocky Mount city, North Carolina",37,57500,54551
"Salisbury city, North Carolina",37,58860,35763
"Sanford city, North Carolina",37,59280,30678
"Shelby city, North Carolina",37,61200,20373
"Statesville city, North Carolina",37,64740,28836
"Thomasville city, North Carolina",37,67420,27591
"Wake Forest town, North Carolina",37,70540,49299
"Waxhaw town, North Carolina",37,71460,24236
"Wilmington city, North Carolina",37,74440,117642
"Wilson city, North Carolina",37,74540,47731
"Winston-Salem city, North Carolina",37,75000,250337
"Bismarck city, North Dakota",38,07200,74141
"Dickinson city, North Dakota",38,19620,24731
"Fargo city, North Dakota",38,25700,124843
"Grand Forks city, North Dakota",38,32060,58985
"Mandan city, North Dakota",38,49900,22068
"Minot city, North Dakota",38,53380,46613
"West Fargo city, North Dakota",38,84780,39483
"Williston city, North Dakota",38,86220,24584
"Akron city, Ohio",39,01000,189343
"Alliance city, Ohio",39,01420,21865
"Ashland city, Ohio",39,02568,20334
"Athens city, Ohio",39,02736,23043
"Austintown CDP, Ohio",39,03184,29788
"Avon city, Ohio",39,03352,25270
"Avon Lake city, Ohio",39,03464,25592
"Barberton city, Ohio",39,03828,24981
"Beavercreek city, Ohio",39,04720,47588
"Berea city, Ohio",39,05690,20808
"Bowling Green city, Ohio",39,07972,30674
"Broadview Heights city, Ohio",39,09064,20271
"Brunswick city, Ohio",39,09680,35351
"Canton city, Ohio",39,12000,70438
"Centerville city, Ohio",39,13190,24728
"Chillicothe city, Ohio",39,14184,22671
"Cincinnati city, Ohio",39,15000,308913
"Cleveland city, Ohio",39,16000,368006
"Cleveland Heights city, Ohio",39,16014,44660
"Columbus city, Ohio",39,18000,907310
"Cuyahoga Falls city, Ohio",39,19778,50818
"Dayton city, Ohio",39,21000,137581
"Delaware city, Ohio",39,21434,44423
"Dublin city, Ohio",39,22694,49660
"Elyria city, Ohio",39,25256,52805
"Euclid city, Ohio",39,25704,48919
"Fairborn city, Ohio",39,25914,33615
"Fairfield city, Ohio",39,25970,44550
"Findlay city, Ohio",39,27048,39946
"Forest Park city, Ohio",39,27706,20272
"Gahanna city, Ohio",39,29106,35306
"Garfield Heights city, Ohio",39,29428,29376
"Green city, Ohio",39,31860,27339
"Grove City city, Ohio",39,32592,41322
"Hamilton city, Ohio",39,33012,62943
"Hilliard city, Ohio",39,35476,37195
"Huber Heights city, Ohio",39,36610,43807
"Hudson city, Ohio",39,36651,23103
"Kent city, Ohio",39,39872,27749
"Kettering city, Ohio",39,40040,57619
"Lakewood city, Ohio",39,41664,50109
"Lancaster city, Ohio",39,41720,41075
"Lebanon city, Ohio",39,42364,24360
"Lima city, Ohio",39,43554,35863
"Lorain city, Ohio",39,44856,65440
"Mansfield city, Ohio",39,47138,47668
"Maple Heights city, Ohio",39,47306,20880
"Marion city, Ohio",39,47754,35842
"Marysville city, Ohio",39,48160,25218
"Mason city, Ohio",39,48188,35087
"Massillon city, Ohio",39,48244,32241
"Medina city, Ohio",39,48790,25909
"Mentor city, Ohio",39,49056,47230
"Miamisburg city, Ohio",39,49434,20347
"Middletown city, Ohio",39,49840,50589
"Newark city, Ohio",39,54040,50392
"North Olmsted city, Ohio",39,56882,31995
"North Ridgeville city, Ohio",39,56966,36238
"North Royalton city, Ohio",39,57008,30961
"Norwood city, Ohio",39,57386,20409
"Oxford city, Ohio",39,59234,21730
"Parma city, Ohio",39,61000,79984
"Parma Heights city, Ohio",39,61028,21602
"Pataskala city, Ohio",39,61112,20751
"Perrysburg city, Ohio",39,62148,25113
"Pickerington city, Ohio",39,62498,23402
"Piqua city, Ohio",39,62848,20904
"Portsmouth city, Ohio",39,64304,20446
"Reynoldsburg city, Ohio",39,66390,38976
"Riverside city, Ohio",39,67468,24347
"Rocky River city, Ohio",39,68056,23395
"Sandusky city, Ohio",39,70380,24751
"Shaker Heights city, Ohio",39,71682,28963
"Sidney city, Ohio",39,72424,21171
"Solon city, Ohio",39,72928,23117
"South Euclid city, Ohio",39,73264,20853
"Springboro city, Ohio",39,74076,20563
"Springfield city, Ohio",39,74118,58769
"Stow city, Ohio",39,74944,34339
"Strongsville city, Ohio",39,75098,46040
"Toledo city, Ohio",39,77000,268504
"Trotwood city, Ohio",39,77504,24127
"Troy city, Ohio",39,77588,27175
"Upper Arlington city, Ohio",39,79002,36286
"Wadsworth city, Ohio",39,80304,24267
"Warren city, Ohio",39,80892,39024
"Westerville city, Ohio",39,83342,39830
"Westlake city, Ohio",39,83622,33979
"Whitehall city, Ohio",39,84742,20357
"White Oak CDP, Ohio",39,84812,21291
"Willoughby city, Ohio",39,85484,24168
"Wooster city, Ohio",39,86548,26756
"Xenia city, Ohio",39,86772,25460
"Youngstown city, Ohio",39,88000,60271
"Zanesville city, Ohio",39,88084,24719
"Ardmore city, Oklahoma",40,02600,25555
"Bartlesville city, Oklahoma",40,04450,38717
"Bethany city, Oklahoma",40,05700,21517
"Bixby city, Oklahoma",40,06400,29201
"Broken Arrow city, Oklahoma",40,09050,117775
"Del City city, Oklahoma",40,19900,21488
"Duncan city, Oklahoma",40,21900,23092
"Edmond city, Oklahoma",40,23200,95334
"Enid city, Oklahoma",40,23950,48526
"Jenks city, Oklahoma",40,37800,26669
"Lawton city, Oklahoma",40,41850,91058
"Midwest City city, Oklahoma",40,48350,58142
"Moore city, Oklahoma",40,49200,63460
"Muskogee city, Oklahoma",40,50050,36787
"Mustang city, Oklahoma",40,50100,20350
"Norman city, Oklahoma",40,52500,128087
"Oklahoma City city, Oklahoma",40,55000,687691
"Owasso city, Oklahoma",40,56650,39259
"Ponca City city, Oklahoma",40,59850,25709
"Sand Springs city, Oklahoma",40,65300,21782
"Sapulpa city, Oklahoma",40,65400,23116
"Shawnee city, Oklahoma",40,66800,31569
"Stillwater city, Oklahoma",40,70300,48136
"Tulsa city, Oklahoma",40,75000,411905
"Yukon city, Oklahoma",40,82950,24626
"Albany city, Oregon",41,01000,56007
"Aloha CDP, Oregon",41,01650,50941
"Ashland city, Oregon",41,03050,24434
"Beaverton city, Oregon",41,05350,98204
"Bend city, Oregon",41,05800,102079
"Bethany CDP, Oregon",41,05950,32768
"Corvallis city, Oregon",41,15800,59863
"Eugene city, Oregon",41,23850,175102
"Forest Grove city, Oregon",41,26200,26091
"Grants Pass city, Oregon",41,30550,39364
"Gresham city, Oregon",41,31250,113106
"Happy Valley city, Oregon",41,32050,25670
"Hayesville CDP, Oregon",41,32850,20812
"Hillsboro city, Oregon",41,34100,106651
"Keizer city, Oregon",41,38500,39155
"Klamath Falls city, Oregon",41,39700,21454
"Lake Oswego city, Oregon",41,40550,40708
"Lebanon city, Oregon",41,41650,20895
"McMinnville city, Oregon",41,45000,34669
"Medford city, Oregon",41,47000,86374
"Milwaukie city, Oregon",41,48650,21993
"Newberg city, Oregon",41,52100,25483
"Oregon City city, Oregon",41,55200,37424
"Portland city, Oregon",41,59000,642218
"Redmond city, Oregon",41,61200,35579
"Roseburg city, Oregon",41,63650,25877
"Salem city, Oregon",41,64900,177727
"Sherwood city, Oregon",41,67100,24409
"Springfield city, Oregon",41,69600,62250
"Tigard city, Oregon",41,73650,55762
"Tualatin city, Oregon",41,74950,26969
"West Linn city, Oregon",41,80150,27104
"Wilsonville city, Oregon",41,82800,26531
"Woodburn city, Oregon",41,83750,26061
"Allentown city, Pennsylvania",42,02000,125934
"Allison Park CDP, Pennsylvania",42,02056,21053
"Altoona city, Pennsylvania",42,02184,43528
"Baldwin borough, Pennsylvania",42,03928,23367
"Bethel Park municipality, Pennsylvania",42,06064,33123
"Bethlehem city, Pennsylvania",42,06088,75134
"Chambersburg borough, Pennsylvania",42,12536,20860
"Chester city, Pennsylvania",42,13208,32534
"Drexel Hill CDP, Pennsylvania",42,19920,29024
"Easton city, Pennsylvania",42,21648,28047
"Erie city, Pennsylvania",42,24000,94013
"Harrisburg city, Pennsylvania",42,32800,50128
"Hazleton city, Pennsylvania",42,33408,29973
"King of Prussia CDP, Pennsylvania",42,39736,25092
"Lancaster city, Pennsylvania",42,41216,57494
"Lebanon city, Pennsylvania",42,42168,26586
"Levittown CDP, Pennsylvania",42,42928,54726
"Monroeville municipality, Pennsylvania",42,50528,28334
"Murrysville municipality, Pennsylvania",42,52432,20993
"New Castle city, Pennsylvania",42,53368,19201
"Norristown borough, Pennsylvania",42,54656,35830
"Philadelphia city, Pennsylvania",42,60000,1576251
"Pittsburgh city, Pennsylvania",42,61000,300454
"Plum borough, Pennsylvania",42,61536,26866
"Pottstown borough, Pennsylvania",42,62416,24157
"Reading city, Pennsylvania",42,63624,94834
"Scranton city, Pennsylvania",42,69000,75867
"State College borough, Pennsylvania",42,73808,39526
"Wilkes-Barre city, Pennsylvania",42,85152,44472
"Williamsport city, Pennsylvania",42,85312,27613
"York city, Pennsylvania",42,87048,44842
"Cranston city, Rhode Island",44,19180,82568
"East Providence city, Rhode Island",44,22960,46925
"Newport city, Rhode Island",44,49960,25150
"Pawtucket city, Rhode Island",44,54640,75379
"Providence city, Rhode Island",44,59000,189697
"Warwick city, Rhode Island",44,74300,83014
"Woonsocket city, Rhode Island",44,80780,43116
"Aiken city, South Carolina",45,00550,31907
"Anderson city, South Carolina",45,01360,29290
"Bluffton town, South Carolina",45,07210,32201
"Carolina Forest CDP, South Carolina",45,11833,22572
"Charleston city, South Carolina",45,13330,152046
"Columbia city, South Carolina",45,16000,137960
"Conway city, South Carolina",45,16405,25882
"Easley city, South Carolina",45,21985,22481
"Florence city, South Carolina",45,25810,39958
"Fort Mill town, South Carolina",45,26890,27994
"Goose Creek city, South Carolina",45,29815,46215
"Greenville city, South Carolina",45,30850,72103
"Greenwood city, South Carolina",45,30895,19337
"Greer city, South Carolina",45,30985,38429
"Hanahan city, South Carolina",45,32065,19220
"Hilton Head Island town, South Carolina",45,34045,38073
"Lexington town, South Carolina",45,41335,24214
"Mauldin city, South Carolina",45,45115,25642
"Mount Pleasant town, South Carolina",45,48535,92398
"Myrtle Beach city, South Carolina",45,49075,37109
"North Augusta city, South Carolina",45,50695,24406
"North Charleston city, South Carolina",45,50875,117463
"North Myrtle Beach city, South Carolina",45,51280,19727
"Rock Hill city, South Carolina",45,61405,74107
"St. Andrews CDP, South Carolina",45,62395,22737
"Simpsonville city, South Carolina",45,66580,24694
"Socastee CDP, South Carolina",45,67390,24999
"Spartanburg city, South Carolina",45,68290,38400
"Summerville town, South Carolina",45,70270,52769
"Sumter city, South Carolina",45,70405,42980
"Taylors CDP, South Carolina",45,71395,24197
"Wade Hampton CDP, South Carolina",45,73870,21373
"West Columbia city, South Carolina",45,75850,20059
"Aberdeen city, South Dakota",46,00100,28594
"Brookings city, South Dakota",46,07580,23806
"Rapid City city, South Dakota",46,52980,76173
"Sioux Falls city, South Dakota",46,59020,196528
"Watertown city, South Dakota",46,69300,22925
"Bartlett city, Tennessee",47,03440,57328
"Brentwood city, Tennessee",47,08280,45496
"Bristol city, Tennessee",47,08540,27528
"Chattanooga city, Tennessee",47,14000,182111
"Clarksville city, Tennessee",47,15160,170966
"Cleveland city, Tennessee",47,15400,47958
"Collierville town, Tennessee",47,16420,51345
"Columbia city, Tennessee",47,16540,43342
"Cookeville city, Tennessee",47,16920,35141
"East Ridge city, Tennessee",47,22720,22913
"Farragut town, Tennessee",47,25760,24419
"Franklin city, Tennessee",47,27740,85473
"Gallatin city, Tennessee",47,28540,46918
"Germantown city, Tennessee",47,28960,41030
"Hendersonville city, Tennessee",47,33280,62256
"Jackson city, Tennessee",47,37640,68114
"Johnson City city, Tennessee",47,38320,70889
"Kingsport city, Tennessee",47,39560,54245
"Knoxville city, Tennessee",47,40000,192657
"La Vergne city, Tennessee",47,41200,39089
"Lebanon city, Tennessee",47,41520,40901
"Maryville city, Tennessee",47,46380,32265
"Memphis city, Tennessee",47,48000,628118
"Morristown city, Tennessee",47,50280,30766
"Mount Juliet city, Tennessee",47,50780,40769
"Murfreesboro city, Tennessee",47,51560,157509
"Nashville-Davidson metropolitan government (balance), Tennessee",47,52006,678845
"Oak Ridge city, Tennessee",47,55120,33896
"Sevierville city, Tennessee",47,67120,19577
"Shelbyville city, Tennessee",47,67760,23068
"Smyrna town, Tennessee",47,69420,55517
"Spring Hill city, Tennessee",47,70580,56647
"Tullahoma city, Tennessee",47,75320,23770
"Abilene city, Texas",48,01000,129601
"Alamo city, Texas",48,01576,21939
"Allen city, Texas",48,01924,106868
"Alton city, Texas",48,02212,24202
"Alvin city, Texas",48,02272,27578
"Amarillo city, Texas",48,03000,198781
"Arlington city, Texas",48,04000,392802
"Atascocita CDP, Texas",48,04462,85808
"Austin city, Texas",48,05000,964000
"Balch Springs city, Texas",48,05372,27154
"Bay City city, Texas",48,05984,21327
"Baytown city, Texas",48,06128,79676
"Beaumont city, Texas",48,07000,112559
"Bedford city, Texas",48,07132,49184
"Belton city, Texas",48,07492,24727
"Benbrook city, Texas",48,07552,24606
"Big Spring city, Texas",48,08236,26657
"Brownsville city, Texas",48,10768,187840
"Brushy Creek CDP, Texas",48,10897,24505
"Bryan city, Texas",48,10912,86851
"Burleson city, Texas",48,11428,52013
"Canyon Lake CDP, Texas",48,12580,36864
"Carrollton city, Texas",48,13024,132569
"Cedar Hill city, Texas",48,13492,48421
"Cedar Park city, Texas",48,13552,78326
"Channelview CDP, Texas",48,14236,39472
"Cibolo city, Texas",48,14920,33475
"Cleburne city, Texas",48,15364,31996
