City_ID,NAME,DP02_0001E,state,place,DP02_0025E
475,"Portland city, Maine",32523,23,60545,28501
476,"Lafayette city, Louisiana",51150,22,40735,50261
477,"Lake Charles city, Louisiana",28683,22,41155,31796
478,"Brockton city, Massachusetts",37554,25,09000,40164
479,"Cambridge city, Massachusetts",52487,25,11000,52480
480,"Oceanside city, California",59683,06,53322,69602
481,"Germantown CDP, Maryland",30985,24,32025,32398
482,"Jackson city, Mississippi",62140,28,36000,54061
483,"Las Vegas city, Nevada",250350,32,40000,266452
484,"Thousand Oaks city, California",45081,06,78582,50249
485,"Melbourne city, Florida",36651,12,43975,36075
486,"Miami city, Florida",192219,12,45000,196272
487,"Miami Beach city, Florida",40788,12,45025,35997
488,"Miami Gardens city, Florida",34332,12,45060,41056
489,"Miramar city, Florida",42707,12,45975,54609
490,"New Britain city, Connecticut",28450,09,50370,27155
491,"Colorado Springs city, Colorado",197542,08,16000,198538
492,"New Haven city, Connecticut",56373,09,52000,54055
493,"Bellflower city, California",24327,06,04982,28768
494,"Longmont city, Colorado",43519,08,45970,42399
495,"Clovis city, California",38762,06,14218,43420
496,"Loveland city, Colorado",35803,08,46465,30879
497,"Surprise city, Arizona",55339,04,71510,56158
498,"Decatur city, Illinois",32087,17,18823,26996
499,"El Cajon city, California",34443,06,21712,37607
500,"Palatine village, Illinois",26402,17,57225,25348
501,"Thornton city, Colorado",48263,08,77290,56570
502,"Garden Grove city, California",48769,06,29000,68966
503,"Rogers city, Arkansas",25872,05,60410,26827
504,"Glendale city, California",70831,06,30000,77152
505,"Nampa city, Idaho",37666,16,56260,42705
506,"Tuscaloosa city, Alabama",39266,01,77256,41209
