name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code,brewery_id,Incomplete,Population  , Population Density per km2 , Population Density per mile2 , Target population percentage  , TOTAL Brew Population Age Bracket population  ,male_brew_age,Median Income 12 mths ,Total: - white households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households:
49th State Brewing Co,micro,248.4 Parks Hwy 5 Mile,Healy,Alaska,99743,-149.017877,63.864759,Alaska,99743,118,,949,0,0,26%,394,248,34762,299,6,11,134
49th State Brewing Co - Anchorage,brewpub,717 W 3rd Ave,Anchorage,Alaska,99501-2104,-149.8958196,61.2197366,Alaska,99501,119,,"18,590",944,365,25%,7789,4636,34714,5004,243,251,2985
4B's Brewery,brewpub,215 W Main St,Cedaredge,Colorado,81413-3339,-107.925782,38.900614,Colorado,81413,120,,"5,271",15,6,13%,1518,661,24983,2202,57,212,836
4kd Crick Brewery,brewpub,211 Carpenter Rd,Defiance,Ohio,43512-1718,-84.341647,41.296252,Ohio,43512,122,,"28,208",51,20,19%,10174,5319,33067,10599,499,961,3435
Rio Bravo Brewing Company,brewpub,1912 2nd Street NW,Albuquerque,New Mexico,87102,-106.6454774,35.10343814,New Mexico,87102,5870,INCOMPLETE,,"1,128",435,,,,,,,,
5 Alarm Brewing Co,micro,211 W Main St,Lake Mills,Iowa,50450,-93.53398788,43.41926615,Iowa,50450,124,,"2,827",14,5,21%,1044,580,32739,1199,35,120,432
Sidetrack Brewing Company,micro,413 2nd St SW,Albuquerque,New Mexico,87102-3307,-106.6500567,35.0807893,New Mexico,87102,6337,INCOMPLETE,,"1,128",435,,,,,,,,
5 North Brewing Company,brewpub,6501 N Cedar Rd,Spokane,Washington,99208,-117.4328496,47.71758683,Washington,99208,127,,"58,531",456,176,18%,20889,10717,34652,20252,859,1870,6843
Tractor Brewing Co,micro,1800 4th St NW,Albuquerque,New Mexico,87102-1426,-106.6478962,35.1022749,New Mexico,87102,7253,INCOMPLETE,,"1,128",435,,,,,,,,
5 Rights Brewing Co,micro,1514 3rd St,Marysville,Washington,98270,-122.1762906,48.05156015,Washington,98270,129,,"51,969","1,428",552,22%,22348,11675,39928,15821,620,1982,4711
5 Rivers Brewing LLC,planning,,Spanish Fort,Alabama,36527-3161,-87.9152724,30.6749127,Alabama,36527,130,,"18,034",156,60,18%,6387,3287,44757,5231,174,310,1590
5 Seasons Brewing Co - Prado,brewpub,5600 Roswell Rd,Sandy Springs,Georgia,30342-1150,-84.3796711,33.9078086,Georgia,30342,131,,"32,494","1,399",540,27%,17415,8734,57543,11442,257,720,5279
5 Stones Artisan Brewery,micro,11335 Farm To Market Road 1863,New Braunfels,Texas,78132,-98.232345,29.711365,Texas,78132,133,,"37,475",79,30,18%,13693,6923,52522,11274,261,541,1854
515 Brewing Co,micro,7700 University Ave,Clive,Iowa,50325-1271,-93.7228408,41.599992,Iowa,50325,134,,"18,619",916,354,22%,7758,4182,55952,5984,130,246,1770
5150 Brewing At The Brass Tap Rocklin,micro,5150 Commons Dr Ste 101,Rocklin,California,95677-3925,-121.207331,38.8047402,California,95677,135,,"28,351","1,128",436,22%,11470,6103,41944,8304,282,934,2525
51st State Brewing Company,brewpub,115 Harding Ave,Kingsford,Michigan,49802-3815,-88.08819,45.808408,Michigan,49802,136,,"6,197",297,115,16%,1973,1016,30132,2551,142,368,959
51st Ward Beer Company,contract,323 N Washington St,Westmont,Illinois,60559-1512,-87.981157,41.804494,Illinois,60559,137,,"24,363","2,032",784,20%,10038,4908,42903,7567,326,736,2884
54-40 Brewing Company,brewpub,3801 S Truman Rd Ste 1,Washougal,Washington,98671-2589,-122.3269349,45.56577849,Washington,98671,138,,"24,857",113,44,20%,9827,4927,42272,7914,508,729,2041
550 Brewing,proprietor,119 E Chuska St,Aztec,New Mexico,87410-2110,-107.9950235,36.8213739,New Mexico,87410,139,,"16,064",22,8,18%,5574,2870,28060,4973,374,551,1796
559 Local Brewing,micro,608 4th St,Clovis,California,93612-1183,-119.7017487,36.82517171,California,93612,140,,"37,368","2,107",814,20%,14825,7468,29616,9143,676,1821,3705
5770 Brewery,micro,303A W Main St,Teutopolis,Illinois,62467-1355,-88.47806652,39.13142194,Illinois,62467,142,,"3,764",26,10,21%,1452,782,37249,1535,43,100,397
5th Line Brewing Co,micro,1015 E Lincoln Ave Ste 106,Yakima,Washington,98901,-120.4930458,46.61136701,Washington,98901,144,,"32,351",67,26,21%,12600,6653,26237,8069,335,1288,2699
6 & 40 Brewery/Taproom,planning,,Lakewood,Colorado,80215-5548,-105.1100582,39.6311085,Colorado,80215,146,,"19,908","1,364",527,19%,7304,3712,42762,7511,266,593,3378
6 Degrees of Separation,brewpub,35 Main St,Ossining,New York,10562-4662,-73.86768188,41.15866213,New York,10562,149,,"34,252",967,373,24%,14708,8351,40390,8293,264,609,2758
612 Brew,micro,945 Broadway St NE,Minneapolis,Minnesota,55413-1471,-93.2062058,45.000631,Minnesota,55413,152,,"13,914","1,760",679,33%,7860,4537,40280,5533,205,261,3397
6th and La Brea,brewpub,600 South La Brea Ave,Los Angeles,California,90036,-118.3440213,34.0730485,California,90036,153,,"39,549","5,911",2282,26%,21349,10453,55759,12545,356,430,8216
Bow and Arrow Brewing Co.,micro,608 McKnight Ave NW,Albuquerque,New Mexico,87102-1237,-106.6482659,35.08635101,New Mexico,87102,1180,INCOMPLETE,,"1,128",435,,,,,,,,
7 Hills Brewing Company,brewpub,1085 Washington St,Dubuque,Iowa,52001-4932,-90.6635263,42.5045556,Iowa,52001,156,,"43,572",645,249,19%,15308,8070,30662,16406,635,1787,7015
Wheatland Spring Brewery,planning,,Alexandria,Virginia,22314-4308,-77.05266226,38.80914977,Virginia,22314,7697,INCOMPLETE,,"3,696",1427,,,,,,,,
7 Sins Brewery,micro,10593 W Main Rd,Ripley,New York,14775-9746,-79.7497349,42.24869073,New York,14775,160,,"2,402",18,7,22%,886,530,23605,951,72,50,326
7 Sisters Brewing Co,brewpub,181 Tank Farm Rd Ste 110,San Luis Obispo,California,93401-7082,-120.6706375,35.2467278,California,93401,161,,"29,877",172,67,19%,10760,5777,42263,10837,325,926,5122
"718BrewCafe, LLP",brewpub,718 Market St,Metropolis,Illinois,62960-1634,-88.73129158,37.15373334,Illinois,62960,162,,"10,792",37,14,18%,3838,1988,26916,3815,68,319,1211
734 Brewing Company,micro,15 E Cross St,Ypsilanti,Michigan,48198,-83.61103475,42.24586784,Michigan,48198,163,,"40,067",466,180,21%,16633,8359,30408,9934,589,1006,4663
7th Settlement Brewery,brewpub,47 Washington St,Dover,New Hampshire,03820-3877,-70.8728379,43.1953787,New Hampshire,3820,164,,"32,800",462,179,23%,14378,7599,43623,13471,460,847,6158
8 Bit Brewing Company,brewpub,26755 Jefferson Ave Ste F,Murrieta,California,92562-6941,-117.1762542,33.53033448,California,92562,168,,"64,270",224,86,19%,23876,11944,40728,15063,560,1576,3284
841 Brewhouse,brewpub,841 E Milwaukee St,Whitewater,Wisconsin,53190-2126,-88.71427344,42.8323014,Wisconsin,53190,171,,"19,459",56,22,13%,4498,2483,15216,5578,386,353,2785
8one8 Brewing Company,micro,8951 de Soto Ave,Canoga Park,California,91304-5901,-118.5885323,34.2218019,California,91304,172,,"52,386","2,155",832,22%,22569,11396,33046,9629,380,1039,3389
8th Street Ale Haus,brewpub,1132 N 8th St,Sheboygan,Wisconsin,53081-3402,-87.71305702,43.75674392,Wisconsin,53081,173,,"43,465",724,279,21%,17114,8975,32740,16332,725,1286,7922
8th Wonder Brewery,micro,2202 Dallas St,Houston,Texas,77003-3519,-95.3559402,29.7487783,Texas,77003,175,,"11,874","1,411",545,29%,6151,3477,52753,2971,102,139,1958
903 Brewers,micro,1718 S Elm St,Sherman,Texas,75090-8725,-96.60698055,33.61788732,Texas,75090,176,,"25,002",122,47,18%,8831,4610,28470,6617,295,1081,1995
