name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code,brewery_id,Incomplete,Population  , Population Density per km2 , Population Density per mile2 , Target population percentage  , TOTAL Brew Population Age Bracket population  ,male_brew_age,Median Income 12 mths ,Total: - white households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households:
Lolo Peak Brewing Company,micro,6201 Brewery Way,Lolo,Montana,59847-9375,-114.1460862,46.74894302,Montana,59847,4285,,"6,112",8,3,26%,2734,1561,32717,2491,33,214,787
Lonesome Pine Brewing Co.,micro,12262 US Highway 19,Lebanon,Virginia,24266,-82.08604486,36.89547333,Virginia,24266,4294,,"8,705",27,10,21%,3162,1803,23848,3496,165,419,1454
Northish Beer Company,micro,,Tacoma,Washington,98444,-122.439074,47.14523012,Washington,98444,5033,INCOMPLETE,,"1,950",753,,,,,,,,
Long Branch Brewery,planning,,Long Branch,New Jersey,7740,-73.99058287,40.29820488,New Jersey,7740,4297,,"31,905","2,332",900,19%,11644,5947,32600,9188,428,1122,4066
Long Lot Farm Brewery,micro,153 Johnson Rd,Chester,New York,10918,-74.26890976,41.35195531,New York,10918,4301,,"12,547",151,58,22%,5251,2709,47382,3441,24,368,1203
Long Trail Brewing Co,regional,5520 US Route 4 Jct. Route 4 & 100A,Bridgewater Corners,Vermont,5035,-72.68126054,43.59697285,Vermont,5035,4303,,641,7,3,19%,202,124,30104,315,15,21,129
Long Way Brewing,planning,,Radford,Virginia,24141-1403,-80.56442229,37.12111525,Virginia,24141,4305,,"20,308",125,48,18%,7394,3717,27734,8109,158,849,3770
Loose Ends Brewing Company,planning,,Knoxville,Tennessee,37938-2162,-83.94442882,36.10092788,Tennessee,37938,4317,,"18,207",203,78,16%,5871,2984,38270,6488,269,514,1541
"Loose Shoe Brewing Company, LLC",micro,198 Ambriar Plz,Amherst,Virginia,24521-,-79.06579554,37.59021005,Virginia,24521,4320,,"9,902",17,6,18%,3297,1805,34635,3154,124,287,1130
Lopez Island Brewing Co,closed,4817 Center Rd,Lopez Island,Washington,98261-8653,-122.9245952,48.48193726,Washington,98261,4322,,"2,752",39,15,13%,768,365,35316,1378,45,91,498
Lorelei Brewing Co,micro,520 N A. S Dr,Corpus Christi,Texas,78418-3254,-97.2765668,27.63437906,Texas,78418,4324,,"31,787",158,61,20%,11336,6229,39770,9909,426,1034,3307
Proof Brewing Co,micro,644 McDonnell Dr,Tallahassee,Florida,32310-4808,-84.29116011,30.43293512,Florida,32310,5612,INCOMPLETE,,59,23,,,,,,,,
Lost Highway Brewing,micro,12741 E Caley Ave Ste 140,Centennial,Colorado,80111-6407,-104.8787018,39.61453781,Colorado,80111,4337,,"32,672","1,139",440,22%,13434,7044,60388,10666,330,735,3540
Lost Hiker Brewing Company,micro,26394 E Hwy 70 Unit 6,Ruidoso Downs,New Mexico,88346,-105.5809076,33.3423309,New Mexico,88346,4338,,"3,128",21,8,20%,949,627,23171,729,0,162,261
Lost Nation Brewing,brewpub,87 Old Creamery Rd,Morrisville,Vermont,05661-6152,-72.60491345,44.56067755,Vermont,5661,4340,,"5,881",36,14,24%,2520,1440,36712,2563,142,248,916
"Lost Province Brewing Company, LLC",brewpub,130 N. Depot Street PO Box 614,Boone,North Carolina,28607-3603,-81.6644744,36.21194813,North Carolina,28607,4341,,"35,495",128,50,12%,8394,4357,15488,11078,327,590,5807
Lost Shirt Brewing Company,micro,7025 Industrial Rd Unit B,West Melbourne,Florida,32904-1616,-80.67076211,28.07627633,Florida,32904,4343,,"35,399",62,24,18%,12353,6207,35322,11222,537,1031,4414
Lost Viking Brewing Company,planning,,Harwinton,Connecticut,6013,-72.94817145,41.75630653,Connecticut,6013,4347,,"9,519",124,48,22%,3836,2100,60324,3142,164,151,547
Loud Brewing Company,planning,,Duncannon,Pennsylvania,17020-1201,-77.03587261,40.39376916,Pennsylvania,17020,4352,,"8,587",57,22,21%,3354,1770,39663,3377,215,183,1035
Hidden Springs Ale Works,micro,1631 N Franklin St,Tampa,Florida,33602-2621,-82.46008537,27.95878231,Florida,33602,3436,INCOMPLETE,,"2,390",923,,,,,,,,
Low Tide Brewing,micro,2863 Maybank Hwy,Johns Island,South Carolina,29455-4808,-80.08837768,32.68968132,South Carolina,29455,4359,,"28,344",94,36,15%,8624,4242,43541,8926,147,279,3042
Lowdown Brewery + Kitchen,brewpub,800 N Lincoln St Unit 2,Denver,Colorado,80203-2710,-104.983316,39.73080909,Colorado,80203,4360,,"22,883","7,410",2861,37%,15121,8359,50049,12469,46,184,10897
LTD Brewery,micro,725 Mainstreet,Hopkins,Minnesota,55343-7624,-93.41275141,44.91745426,Minnesota,55343,4364,,"26,307","1,328",513,26%,12291,6870,45651,9860,399,532,5857
Lucky City Brewing Co.,planning,,Reidsville,North Carolina,27320-3810,-79.67624345,36.34555292,North Carolina,27320,4369,,"37,843",59,23,18%,13362,6714,26854,11219,420,1255,3636
Lucky Girl Brewing Co Crossroads,brewpub,34016 M 43,Paw Paw,Michigan,49079-8464,-85.89578513,42.22824097,Michigan,49079,4372,,"13,766",61,23,18%,4699,2456,33192,4516,273,671,1179
"Lucky Hare Brewing Company, Inc.",micro,6085 Beckhorn Road,Hector,New York,14841,-76.86796783,42.51606941,New York,14841,4373,,809,12,5,22%,252,179,32313,278,4,3,101
"Lucky Monk Burger, Pizza & Beer Co",brewpub,105 Hollywood Blvd,South Barrington,Illinois,60010-7121,-88.14861721,42.16591589,Illinois,60010,4377,,"46,365",246,95,15%,14764,7038,63928,14501,392,1232,2927
Lucky Owl Brewing,micro,8660 Tamarack Trl,Chagrin Falls,Ohio,44023-1876,-81.3335574,41.3974411,Ohio,44023,4378,,"19,075",141,54,17%,6418,3235,52200,6930,174,392,1788
Lucky Pigeon Brewing,planning,,Gorham,Maine,04038-2371,-70.45177434,43.69459904,Maine,4038,4379,,"18,336",138,53,17%,6699,3166,38155,5634,102,459,1559
Ludlam Island Brewery,micro,9 Stoney Ct Unit 3,Ocean View,New Jersey,08230-1041,-74.7147834,39.20745388,New Jersey,8230,4384,,"5,908",113,44,17%,1850,976,48467,2025,98,116,425
Lumber Barons Brewery,brewpub,804 E Midland St,Bay City,Michigan,48706-4953,-83.92174448,43.61193635,Michigan,48706,4385,,"39,381",228,88,18%,13647,7157,30554,16156,890,2178,5964
Lunacy Brewing Company,micro,1500 Kings Hwy,Haddon Heights,New Jersey,8035,-75.06376512,39.87933927,New Jersey,8035,4391,,"7,556","1,865",720,20%,2869,1489,57100,3044,99,213,1112
Lunkenheimer Craft Brewing Co. LLC,micro,"PO Box 539 8920 N Seneca St,",Weedsport,New York,13166-0539,-76.5456238,43.04927651,New York,13166,4393,,"5,398",52,20,21%,2055,1131,35549,2313,148,236,848
LuPine Brewing Co,micro,248 River St N,Delano,Minnesota,55328-8264,-93.79703708,45.03908339,Minnesota,55328,4394,,"9,729",82,32,20%,3553,1976,46750,3390,213,257,960
Lupulin Brewing,micro,570 Humboldt Dr Ste 107,Big Lake,Minnesota,55309-4868,-93.72813228,45.35063352,Minnesota,55309,4395,,"20,387",125,48,22%,8628,4406,47709,6649,592,727,1155
Ulele Spring Brewery,brewpub,1810 N Highland Ave,Tampa,Florida,33602-2605,-82.46281904,27.9599097,Florida,33602,7421,INCOMPLETE,,"2,390",923,,,,,,,,
Perkiomen Valley Brewery,planning,,Telford,Pennsylvania,18969-1615,-75.34747652,40.32476127,Pennsylvania,18969,5431,INCOMPLETE,,365,141,,,,,,,,
Sleepy Dog Brewing Co,micro,1920 E University Dr,Tempe,Arizona,85281-4608,-111.9041833,33.422606,Arizona,85281,6402,INCOMPLETE,,"1,944",751,,,,,,,,
The Shop Beer Co.,micro,922 W 1st St,Tempe,Arizona,85281-2674,-111.9514292,33.42917384,Arizona,85281,7071,INCOMPLETE,,"1,944",751,,,,,,,,
Mad Mole Brewing LLC,micro,6309 Boathouse Rd Ste C,Wilmington,North Carolina,28403-3576,-77.88360108,34.22171775,North Carolina,28403,4429,,"38,134","1,094",422,19%,14005,7356,26004,14564,340,600,9148
Mad Mouse Brewery,contract,,Chicago,Illinois,60607-5017,-87.6523331,41.87740109,Illinois,60607,4430,,"31,816","5,005",1933,28%,16931,8971,65801,8354,305,463,5262
Mad Pecker Brewing,brewpub,6025 Tezel Rd Ste 122,San Antonio,Texas,78250-4180,-98.66615977,29.5061908,Texas,78250,4431,,"54,933","2,464",951,24%,25277,13045,35855,13933,835,2183,3385
Mad Science Brewing Company,micro,1619 Buckeystown Pike,Adamstown,Maryland,21710,-77.44422327,39.30789217,Maryland,21710,4434,,"4,769",65,25,22%,1744,1046,56438,1550,39,51,423
Mad-K Brewery,micro,298 Mountain Top Rd,Howard,Pennsylvania,16841-2627,-77.65737075,41.02270335,Pennsylvania,16841,4436,,"5,601",21,8,26%,2682,1482,33372,2398,151,150,764
Madison River Brewing Co,micro,20900 Frontage Rd Ste B,Belgrade,Montana,59714-8558,-111.1762927,45.77544533,Montana,59714,4442,,"22,333",21,8,24%,9746,5363,38086,8439,176,654,2825
Magnify Brewing Company,micro,1275 Bloomfield Ave Ste 7 Unit 40C,Fairfield,New Jersey,07004-2736,-74.29467646,40.87783062,New Jersey,7004,4449,,"7,872",296,114,19%,2663,1481,56102,2863,209,139,669
Maidens Brewery,brewpub,209 North Wabash Avenue of Flags,Evansville,Indiana,47712,-87.64827962,37.97182592,Indiana,47712,4455,,"24,895",158,61,18%,8454,4425,30908,9286,248,815,3935
Main & Six Brewing Company,micro,1636 N Main St,Jacksonville,Florida,32206-4402,-81.65246708,30.34836016,Florida,32206,4456,,"18,283","1,016",392,16%,6169,2921,21330,1674,106,198,737
Main Line Brewery,micro,1603 Ownby Ln,Richmond,Virginia,23220,-77.45832291,37.55035802,Virginia,23220,4459,,"36,942","2,712",1047,20%,14239,7567,25784,9082,327,183,6414
Main Sail Brewery / Atwood Yacht Club,micro,2637 Lodge Rd SW,Sherrodsville,Ohio,44675-9719,-81.24139102,40.51557146,Ohio,44675,4460,,"1,890",27,10,15%,649,289,36250,830,14,64,326
Blasted Barley Beer Company,brewpub,404 S Mill Ave Ste 101,Tempe,Arizona,85281-2879,-111.928246,33.4434534,Arizona,85281,1020,INCOMPLETE,,"1,944",751,,,,,,,,
Mainely Brews Restaurant and Brewhouse,contract,1 Post Office Sq Ste 302,Waterville,Maine,04901-6651,-69.62127306,44.54891074,Maine,4901,4466,,"26,491",130,50,15%,8430,4106,24689,10611,605,1198,4587
Makai Brewing Company,micro,5850 Ocean Hwy W,Ocean Isle Beach,North Carolina,28469-3510,-78.45222088,33.90710273,North Carolina,28469,4469,,"8,171",113,44,11%,1573,907,33050,3395,55,80,938
Elevate Your Passion Brewing,micro,2209 W 1st St # A107,Tempe,Arizona,85281-7245,-111.928246,33.4434534,Arizona,85281,2421,INCOMPLETE,,"1,944",751,,,,,,,,
Malai Fort Worth,brewpub,5289 Monahans Ave,Fort Worth,Texas,76109,-97.38071158,32.70186475,Texas,76109,4471,,"25,373","1,164",449,16%,8263,4017,42952,8195,82,479,3573
Mallory Brewing,planning,,Houston,Texas,77018,-95.42418463,29.82524249,Texas,77018,4472,,"27,870","1,621",626,26%,13337,7260,54367,8296,331,504,2873
Maltese Brewing Company,micro,11047 Pierson Dr Ste B,Fredericksburg,Virginia,22408-2062,-77.46465691,38.24481968,Virginia,22408,4473,,"32,043",249,96,22%,13564,7012,46959,7801,344,646,2077
ManaFirkin,micro,450 East Bay Ave Ste 2,Manahawkin,New Jersey,8050,-74.25816649,39.70562445,New Jersey,8050,4476,,"26,507",333,129,20%,10299,5231,42173,10137,372,1256,2994
Mancos Brewing Company,brewpub,484 E. Frontage Rd,Mancos,Colorado,81328-9079,-108.3986271,37.36512436,Colorado,81328,4478,,"4,387",3,1,16%,1203,705,32168,1632,16,57,533
Mandatory Fun Brewing,planning,,Marietta,Georgia,30064,-84.60700046,33.9398899,Georgia,30064,4479,,"50,568",618,239,18%,18147,9136,45837,12807,427,849,3521
Manor Hill Brewing,micro,4411 Manor Ln,Ellicott City,Maryland,21042-6111,-76.85698808,39.27575984,Maryland,21042,4484,,"43,147",448,173,18%,15310,7656,71166,9697,293,465,2313
Maple Branch Craft Brewery,planning,,Fort Worth,Texas,76133-1226,-97.37669306,32.65113637,Texas,76133,4489,,"51,811","2,244",866,19%,20035,9673,35703,12046,678,1503,4333
March First Brewing,brewpub,7885 E Kemper Rd,Cincinnati,Ohio,45249-1622,-84.3232396,39.2777988,Ohio,45249,4496,,"14,005",802,310,20%,5184,2824,58655,4488,96,300,1541
March Hare Brewing,planning,,Parker,Colorado,80134-3627,-104.7631572,39.49711756,Colorado,80134,4497,,"76,369",493,190,21%,31976,16274,56010,22490,929,1613,5101
Marshall Wharf Brewing Co,micro,40 Marshall Wharf,Belfast,Maine,04915-6835,-69.01547817,44.43240472,Maine,4915,4512,,"9,110",48,18,16%,2725,1472,30073,3905,106,524,1370
Martin House Brewing Company,micro,220 S Sylvania Ave Ste 209,Fort Worth,Texas,76111-2232,-97.30155053,32.77850199,Texas,76111,4516,,"22,512","1,124",434,23%,8838,5211,28663,4370,417,529,1354
Marzoni's Brick Oven and Brewery,brewpub,165 Patch Way Rd,Duncansville,Pennsylvania,16635-8431,-78.44775113,40.42034218,Pennsylvania,16635,4518,,"11,661",84,32,20%,4271,2316,33869,5114,197,483,1898
Mascher Brewing Co.,planning,,Aurora,Colorado,80014-8226,-104.8449881,39.66659913,Colorado,80014,4519,,"41,711","2,110",815,21%,16707,8920,38251,13439,364,1244,7466
Four Peaks Brewing Co,large,1340 E 8th St Ste 104,Tempe,Arizona,85281-4396,-111.928246,33.4434534,Arizona,85281,2818,INCOMPLETE,,"1,944",751,,,,,,,,
MashCraft Brewing,micro,1140 N State Road 135 Ste M,Greenwood,Indiana,46142-1016,-86.1570358,39.62001295,Indiana,46142,4525,,"32,052",904,349,22%,13998,7166,39107,12250,635,663,3569
Gordon Biersch Brewery Restaurant - Tempe,brewpub,420 S Mill Ave Ste 201,Tempe,Arizona,85281-2870,-111.928246,33.4434534,Arizona,85281,3067,INCOMPLETE,,"1,944",751,,,,,,,,
Matchstick Brewing Company,closed,,Coeur D Alene,Idaho,83815,-116.7959227,47.71507388,Idaho,83815,4539,,"39,412",914,353,19%,14403,7503,31507,13480,535,956,5094
Pedal Haus Brewery,brewpub,730 S Mill Ave. Suite 102,Tempe,Arizona,85281-3618,-111.928246,33.4434534,Arizona,85281,5402,INCOMPLETE,,"1,944",751,,,,,,,,
Maverick Ales & Lager,planning,,Chicago,Illinois,60612,-87.68582872,41.87948412,Illinois,60612,4547,,"34,402","3,521",1359,23%,15771,7890,30974,4505,48,316,2624
Mayday Brewery,micro,521 Old Salem Rd Ste C,Murfreesboro,Tennessee,37129-5305,-86.4221887,35.90172932,Tennessee,37129,4551,,"60,494",286,110,21%,24090,12617,38058,16796,733,1270,4391
Mudbug Brewery,micro,1878 LA Hwy 3185,Thibodaux,Louisiana,70302-1077,-83.4226396,10.1072706,Louisiana,70302,4842,INCOMPLETE,,,,,,,,,,,
McFate's Tap + Barrel,brewpub,7337 E Shea Blvd Ste 105,Scottsdale,Arizona,85260-6465,-111.8838344,33.60271856,Arizona,85260,4561,,"37,967","1,039",401,19%,14923,7201,53860,16020,582,1739,7396
McFleshman's Public House,planning,,Appleton,Wisconsin,54911-5840,-88.397717,44.27361762,Wisconsin,54911,4562,,"26,964","1,174",453,19%,9359,5150,30859,9437,550,891,4186
Tarantula Hill Brewing Company,planning,,Thousand Oaks,California,91360,-118.9105877,34.17142715,California,91360,6862,INCOMPLETE,,"1,080",417,,,,,,,,
McHenry Brewing Company,planning,,McHenry,Illinois,60050,-88.28506572,42.33999222,Illinois,60050,4566,,"31,854",464,179,21%,12991,6647,39898,12186,432,1049,4135
McIntosh Orchards,micro,6431 107th Ave,South Haven,Michigan,49090-9369,-86.25294773,42.40774144,Michigan,49090,4567,,"13,286",66,25,14%,3724,1913,31006,4982,116,426,1939
McIntyre Brewing Company,planning,,Hermitage,Tennessee,37076,-86.59969978,36.18247047,Tennessee,37076,4568,,"39,326",535,207,22%,17183,8490,38189,11833,321,1075,5258
Westlake Brewing & Libation,micro,31111 Via Colinas # 200,Thousand Oaks,California,91362-3909,-118.809516,34.161542,California,91362,7684,INCOMPLETE,,744,287,,,,,,,,
McKenzie Brew House (#2),brewpub,240 Lancaster Ave,Malvern,Pennsylvania,19355-1802,-75.5332782,40.0466865,Pennsylvania,19355,4570,,"29,273",284,110,20%,11396,5864,63698,8335,232,413,2400
McKenzie Brew House (#3),brewpub,324 W Swedesford Rd,Berwyn,Pennsylvania,19312-1165,-75.44947395,40.04030663,Pennsylvania,19312,4571,,"11,848",474,183,17%,4117,2042,72705,3633,14,240,848
Three Rivers Brewing Co,micro,41763 Sierra Dr Ste B,Three Rivers,California,93271-9671,-118.9046115,36.44021714,California,93271,7157,INCOMPLETE,,6,2,,,,,,,,
"McOva Craft Beer Works, LLC",planning,,Castle Rock,Colorado,80104,-104.8512582,39.37024824,Colorado,80104,4604,,"34,727",186,72,21%,14189,7303,48064,11319,247,771,2873
Mechanistic Brewing,planning,,Clarion,Pennsylvania,16214-2018,-79.37045724,41.20283769,Pennsylvania,16214,4609,,"8,308",70,27,18%,2873,1472,21447,2996,132,233,1473
Melvin Brewing,regional,624 County Road 101,Alpine,Wyoming,83128-0314,-111.0159934,43.15335157,Wyoming,83128,4615,,"2,216",1,1,16%,604,358,48244,483,12,7,214
Memphis Filling Station,planning,,Memphis,Tennessee,38112-4938,-89.97617868,35.14874354,Tennessee,38112,4618,,"16,970","1,321",510,17%,5776,2954,25445,2645,57,138,1576
Mesquite River Brewing,micro,"13610 N Scottsdale Rd, Suite 18",Scottsdale,Arizona,85254-4037,-111.9550596,33.61895071,Arizona,85254,4622,,"46,352","1,260",486,19%,16760,8583,48051,15684,540,1367,5168
MI Brewery / Kayla Rae Cellars,micro,31 Courtland St,Rockford,Michigan,49341-1080,-85.53171684,43.11512723,Michigan,49341,4628,,"38,250",176,68,21%,15563,7921,46113,13635,347,1030,2764
Miami Brewing Co,brewpub,30205 SW 217th Ave,Homestead,Florida,33030-7601,-80.48827124,25.47882465,Florida,33030,4630,,"36,776",815,314,24%,15486,8939,19999,5455,826,1193,986
Miami Creek Brewing Company,closed,14226 NW County Road 14001,Drexel,Missouri,64742-9733,-94.56772345,38.51047882,Missouri,64742,4631,,"2,079",11,4,21%,743,437,31293,851,67,73,228
The Laird Arcade Brewery,micro,114 S Washington St Ste D,Tiffin,Ohio,44883-3915,-83.18015228,41.11547353,Ohio,44883,7015,INCOMPLETE,,67,26,,,,,,,,
Michigan Brewing Works,brewpub,3435 Dietz Rd,Williamston,Michigan,48895-9506,-84.3003133,42.68825741,Michigan,48895,4633,,"11,472",53,21,16%,3787,1882,51472,4535,66,344,1481
Middle Ages Brewing Co Ltd,micro,120 Wilkinson St Ste 3,Syracuse,New York,13204-2490,-76.17571103,43.04605041,New York,13204,4636,,"19,752","1,823",704,21%,8646,4121,24628,5197,270,802,3239
Middle James Brewing Company,planning,,Pineville,North Carolina,28134,-80.87585322,35.05688926,North Carolina,28134,4638,,"12,411",570,220,19%,5042,2318,34432,3204,111,379,1291
Middleton Brewing (MBTX),micro,101 Oakwood Loop,San Marcos,Texas,78666-1762,-97.9524733,29.86893118,Texas,78666,4639,,"86,584",168,65,18%,29172,15646,22047,24822,1522,2364,12981
Midnight Brewery,micro,2410 Granite Ridge Rd Ste B,Rockville,Virginia,23146-2234,-77.70505684,37.72597645,Virginia,23146,4642,,"3,151",40,15,24%,1277,766,51341,1110,18,35,213
Midnight Oil Brewing,micro,674 Pencader Dr,Newark,Delaware,19702,-75.70364724,39.64012206,Delaware,19702,4644,,"55,653",766,296,22%,23696,12060,40440,9788,500,864,3160
Midnight Oil Brewing Company,micro,674 Pencader Dr,Newark,Delaware,19702-3348,-75.70364724,39.64012206,Delaware,19702,4645,,"55,653",766,296,22%,23696,12060,40440,9788,500,864,3160
Midnight Pig Beer,brewpub,12337 S Route 59 Unit 155,Plainfield,Illinois,60585-4614,-88.26432205,41.64613775,Illinois,60585,4646,,"24,920",635,245,21%,10693,5208,62967,5320,150,503,539
Midriver Brewery,planning,,Cold Spring,New York,10516,-73.92988359,41.44467354,New York,10516,4649,,"5,462",69,27,19%,2016,1040,57688,2110,92,217,640
Kettlehead Brewing Company,brewpub,407 W Main St,Tilton,New Hampshire,03276-5012,-71.60013898,43.44219881,New Hampshire,3276,3954,INCOMPLETE,,86,33,,,,,,,,
Midwest Hop Producers LLC,planning,,Plattsmouth,Nebraska,68048-7233,-95.91263055,40.98572529,Nebraska,68048,4651,,"12,991",55,21,21%,5098,2753,36729,4886,158,279,1531
Mighty Miss Brewing Co.,micro,525 S Washington Ave Ste B,Greenville,Mississippi,38701-,-91.05152454,33.3821672,Mississippi,38701,4652,,"21,051",96,37,18%,7724,3788,21852,2590,73,181,892
Mikkeller Brewing NYC,brewpub,12001 Roosevelt Ave,Flushing,New York,11368-1653,-73.86062274,40.74810139,New York,11368,4660,,"117,110","17,075",6593,27%,55510,31527,27190,7800,880,1756,1749
Miles Craft Ales @ Miles Wine Cellars,contract,168 Randall Rd,Himrod,New York,14842-9715,-76.93959827,42.59509091,New York,14842,4664,,797,22,9,29%,364,234,22396,221,0,14,19
Milford Point Brewing Company,micro,230 Woodmont Rd Ste 29B,Milford,Connecticut,6460,-73.05279582,41.21237831,Connecticut,6460,4665,,"37,310","1,159",447,20%,14625,7304,47806,14381,349,1289,5973
Milkhouse Brewery at Stillpoint Farm,micro,8253 Dollyhyde Rd,Mount Airy,Maryland,21771-9404,-77.14839502,39.380246,Maryland,21771,4666,,"30,697",137,53,19%,12004,5955,53959,9648,335,588,1834
Mill House Brewing Company - Production,micro,,Poughkeepsie,New York,12601,-73.91886661,41.70208883,New York,12601,4671,,"44,264",903,349,19%,17170,8598,28712,9933,444,1045,5192
Mill River Brewing BBQ & Smokehouse,brewpub,10 Beauregard Dr,Saint Albans City,Vermont,5478,-73.10439027,44.80348461,Vermont,5478,4672,,"15,704",104,40,20%,6128,3137,35095,6096,145,643,2346
Mills River Brewery,brewpub,330 Rockwood Rd Ste 103,Arden,North Carolina,28704-8216,-82.537453,35.46038709,North Carolina,28704,4684,,"23,734",277,107,20%,9062,4849,34580,6945,113,598,2578
Mine Shaft Brewing,planning,,Park City,Utah,84098-6724,-111.5493739,40.71936803,Utah,84098,4693,,"20,573",104,40,20%,7708,4065,53414,5978,234,399,1300
Minocqua Brewing Co,brewpub,238 Lake Shore Dr,Minocqua,Wisconsin,54548-0081,-89.76131065,45.87268179,Wisconsin,54548,4700,,"5,406",22,8,17%,1614,923,36338,2274,26,103,873
Misconduct Brewing,planning,,Carmel,Indiana,46033-9414,-86.0886583,39.96808387,Indiana,46033,4703,,"39,002",886,342,20%,15749,7776,63802,12856,163,696,2111
Miscreation Brewing Company,brewpub,6 Center Sq,Hanover,Pennsylvania,17331-3001,-76.97577426,39.79415599,Pennsylvania,17331,4704,,"55,458",281,108,19%,20656,10404,35815,20121,1014,2207,6589
Mishigama Craft Brewing / Ypsi Alehouse,brewpub,124 Pearl St Ste 100,Ypsilanti,Michigan,48197-5374,-83.63804259,42.22644716,Michigan,48197,4706,,"67,895",628,242,21%,27431,14063,32894,17319,671,1343,8467
Miskatonic Brewing Company,micro,1000 N Frontage Rd Ste C,Darien,Illinois,60561-6448,-87.9808749,41.74842544,Illinois,60561,4707,,"23,139","1,362",526,19%,8605,4437,44962,7467,463,659,2153
Black Cloister Brewing Co,brewpub,619 Monroe St,Toledo,Ohio,43604-1015,-83.5399665,41.6499863,Ohio,43604,959,INCOMPLETE,,"1,345",519,,,,,,,,
Missing Links Brewery,brewpub,891 Evans City Rd,Renfrew,Pennsylvania,16053-9209,-79.9862775,40.79085312,Pennsylvania,16053,4710,,"4,028",67,26,20%,1297,802,38153,1541,134,39,476
Mobtown Brewing Co,planning,,Baltimore,Maryland,21224-4716,-76.5580899,39.28771289,Maryland,21224,4722,,"54,266","1,909",737,22%,24912,12182,46522,14105,344,1152,7565
Mocama Brewing Company,planning,,Fernandina Beach,Florida,32034,-81.46296089,30.6230008,Florida,32034,4724,,"38,167",230,89,18%,12366,6680,40675,15163,712,725,4891
Moccasin Bend Brewing Co,micro,3210 Broad St # B,Chattanooga,Tennessee,37408-3059,-85.30585497,35.03391574,Tennessee,37408,4725,,"3,353",385,149,14%,1070,457,34167,706,0,18,426
Modern Methods Brewing Company,micro,125 David Grohl Alley,Warren,Ohio,44481,-80.85240593,41.22568132,Ohio,44481,4729,,"10,258",66,25,20%,3427,2063,30307,3532,233,307,1199
Modern Romance Brewery,planning,,Durham,North Carolina,27703-5133,-78.82841631,35.96198048,North Carolina,27703,4730,,"61,539",464,179,21%,26318,12730,38123,10327,598,838,3795
Modicum Brewing,micro,3732 Spooner Ave Ste A,Altoona,Wisconsin,54720-1097,-91.4388154,44.80331704,Wisconsin,54720,4735,,"8,580",692,267,21%,3195,1824,37978,3456,130,206,1529
Maumee Bay Brewing Co,brewpub,27 Broadway St Ste A,Toledo,Ohio,43604-8701,-83.53182821,41.65424305,Ohio,43604,4546,INCOMPLETE,,"1,345",519,,,,,,,,
Monadnock Brewing Company LLC,planning,,Langdon,New Hampshire,03602-8604,-72.34661325,43.1436343,New Hampshire,3602,4746,,"2,599",15,6,19%,889,502,30944,961,14,82,314
Monkey Wrench Brewing Company LLC,planning,,Snellville,Georgia,30078-6503,-84.02084219,33.86672305,Georgia,30078,4756,,"38,350",922,356,23%,16395,8644,37563,6874,313,530,1326
Monolitch Brewing Company,micro,4915 North 120th Street,Omaha,Nebraska,68164,-96.10625589,41.29486886,Nebraska,68164,4761,,"28,314","1,295",500,23%,12335,6553,43620,9974,369,779,3935
Montana Brewing Co,brewpub,113 N Broadway,Billings,Montana,59101-2043,-108.5117793,45.77608645,Montana,59101,4762,,"41,522",27,10,20%,16320,8270,29173,14380,706,1839,6456
Montclair Brewery,planning,,Montclair,New Jersey,07042-4038,-74.21568169,40.81288946,New Jersey,7042,4765,,"27,384","2,869",1108,22%,12132,6085,60188,5888,214,536,2472
Montucky Cold Snacks,contract,123 W Lewis St,Livingston,Montana,59047-3010,-110.5624628,45.64863238,Montana,59047,4769,,"13,319",6,2,20%,5000,2648,33193,5481,298,313,2358
Monument City Brewing Co,micro,1 N Haven St Ste A,Baltimore,Maryland,21224-1614,-76.5580899,39.28771289,Maryland,21224,4770,,"54,266","1,909",737,22%,24912,12182,46522,14105,344,1152,7565
Monzula Farm Brewery / Vineyard 22,micro,83800 Monzula Rd,Cadiz,Ohio,43907,-81.01837128,40.26334308,Ohio,43907,4771,,"5,369",12,5,16%,1558,864,28603,1753,100,93,586
Moonlight Meadery/Hidden Moon Brewing,contract,23 Londonderry Rd Unit 17,Londonderry,New Hampshire,03053-3314,-71.38021788,42.86783941,New Hampshire,3053,4778,,"25,646",237,91,19%,9657,4969,49163,8731,318,910,1900
Morgan Ridge Vineyards & Brewhouse,brewpub,486 John Morgan Rd,Gold Hill,North Carolina,28071-9758,-80.32479357,35.50960943,North Carolina,28071,4789,,"3,147",23,9,20%,1029,641,33580,1152,54,29,440
Moriches Field Brewing Company,planning,,Center Moriches,New York,11934-2600,-72.79677608,40.80130915,New York,11934,4793,,"8,364",550,212,18%,2884,1484,55267,2571,170,376,658
Mosaic Brewing,planning,,Lancaster,Ohio,43130-4308,-82.60119127,39.71799136,Ohio,43130,4795,,"62,010",145,56,21%,23609,13021,31592,22904,1176,2500,7960
Moss Mill Brewing,micro,109 Pike Cir Ste D,Huntingdon Valley,Pennsylvania,19006-1630,-75.06555928,40.12569569,Pennsylvania,19006,4797,,"23,148",679,262,15%,7274,3508,44356,6857,196,484,1794
