City_ID,NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64,income_household,income_household_median,income_family_median,income_nonfamily_median,earnings_median,employment_total,employment_male,employment_female,occupancy_status_total,occupancy_status_occupied,occupancy_status_vacant
1133,"Gaithersburg city, Maryland",24,31175,69109,32849,36260,35.9,35.5,36.1,85247,7914,11364,13431,11587,11137,27700,99429,104483,68695,50325,33602,22757,23552,29266,26764,2502
1134,"Germantown CDP, Maryland",24,32025,85247,40361,44886,37.0,36.4,37.4,71019,4790,10729,9627,8926,10147,10079,91931,97197,40927,49122,21359,28054,30088,31519,30985,534
1135,"Glen Burnie CDP, Maryland",24,32650,71019,34142,36877,36.6,36.0,36.7,24557,1963,4946,2767,3528,2480,18749,83577,115945,61685,47660,16428,22258,24097,28452,27700,752
1136,"Greenbelt city, Maryland",24,34775,24557,11174,13383,33.8,31.9,33.9,43500,4196,5239,5650,6313,5345,9340,88940,52316,63075,46648,14479,7183,9065,10798,10079,719
1137,"Hagerstown city, Maryland",24,36075,43500,19871,23629,37.4,39.7,35.5,27084,1784,4233,3317,4323,4741,8291,41695,162369,72393,33691,24641,12858,14727,20214,18749,1465
1138,"Ilchester CDP, Maryland",24,41475,27084,14530,12554,37.7,33.4,40.8,22625,1112,3430,4335,2108,2546,5065,147943,80706,66320,68182,23539,10180,9027,9381,9340,41
1139,"Landover CDP, Maryland",24,45325,22625,11427,11198,33.9,34.2,33.8,20657,2264,2669,2942,2359,2245,12885,73196,65823,71376,45081,15908,7358,7143,8722,8291,431
1140,"Langley Park CDP, Maryland",24,45525,20657,12043,8614,28.4,28.1,29.4,29481,2634,6170,5186,4021,3358,10917,73457,109496,61335,25874,26462,8202,4995,5065,5065,0
1141,"Laurel city, Maryland",24,45900,29481,14358,15123,36.3,36.7,35.9,30798,1969,4113,3608,4285,4293,7801,85190,83470,31108,51708,21783,10515,11454,13638,12885,753
1142,"Lochearn CDP, Maryland",24,47450,30798,15476,15322,37.8,37.1,40.3,20372,3566,3315,3072,2748,1963,13258,70033,84857,86875,41063,25485,9705,9405,11641,10917,724
1143,"Maryland City CDP, Maryland",24,51075,20372,10070,10302,29.6,32.1,25.9,30612,3135,5255,2985,5149,3750,11352,91916,69575,73464,43611,38856,8189,6969,7801,7801,0
1144,"Middle River CDP, Maryland",24,52300,30612,13240,17372,39.9,39.2,40.5,27938,2019,3839,3028,3773,3082,11595,59288,79523,91997,36683,19304,8983,12052,13968,13258,710
1145,"Milford Mill CDP, Maryland",24,52562,27938,11188,16750,40.8,35.7,42.1,32388,2173,5063,4078,4748,4548,21246,52217,85690,46045,41015,22348,6706,9461,11722,11352,370
1146,"Montgomery Village CDP, Maryland",24,53325,32388,16594,15794,37.6,36.2,40.7,48096,2437,7840,7101,5572,5398,7944,84919,160198,41657,40020,33798,11132,10332,12259,11595,664
1147,"North Bethesda CDP, Maryland",24,56337,48096,23431,24665,40.5,38.7,42.4,25245,2105,3676,4793,3140,2271,8410,122274,152152,76341,72286,29737,14270,14564,21862,21246,616
1148,"North Laurel CDP, Maryland",24,56725,25245,12652,12593,35.1,33.3,37.3,26822,3926,1649,2272,4785,4440,17580,134013,168952,42194,51790,25253,8650,8170,8173,7944,229
1149,"North Potomac CDP, Maryland",24,56875,26822,13155,13667,46.3,47.1,46.0,42944,5474,4965,7341,5366,5201,12322,160109,144891,41805,71613,21972,8685,9078,8758,8410,348
1150,"Odenton CDP, Maryland",24,58300,42944,19998,22946,37.4,33.2,38.3,37831,2821,3027,5148,4682,5912,12779,124327,166111,31564,60473,18436,13032,16385,18372,17580,792
1151,"Olney CDP, Maryland",24,58900,37831,17087,20744,43.0,41.3,43.3,30905,3029,5626,2745,5827,4364,11956,156250,105238,31440,72965,28727,10423,12704,12626,12322,304
1152,"Owings Mills CDP, Maryland",24,59425,30905,12736,18169,40.0,40.1,38.3,25378,1705,3471,3320,3853,4870,9733,76995,85462,50453,42952,22822,9957,12307,13412,12779,633
1153,"Parkville CDP, Maryland",24,60275,25378,12528,12850,43.1,41.5,45.4,20481,1920,2365,852,3469,2562,12908,65182,97887,40565,49894,31728,9113,9252,13170,11956,1214
1154,"Parole CDP, Maryland",24,60325,20481,10564,9917,53.0,45.5,63.2,33221,3005,7563,5301,4003,5110,11575,92959,108794,43767,45977,39292,6991,4473,9733,9733,0
1155,"Pasadena CDP, Maryland",24,60475,33221,15149,18072,36.8,37.3,35.9,28032,2070,4660,2439,3549,3905,15984,108760,112114,44801,55284,31049,11619,14082,13258,12908,350
1156,"Perry Hall CDP, Maryland",24,60975,28032,13011,15021,38.8,36.1,46.3,37723,2923,6000,2778,5189,4468,17174,91626,122251,29327,51146,21447,8022,8982,12147,11575,572
1157,"Pikesville CDP, Maryland",24,61400,37723,17674,20049,45.6,42.7,48.4,48246,2627,1873,5848,7857,6161,13764,95258,222164,23677,55775,53699,10425,11798,16591,15984,607
1158,"Potomac CDP, Maryland",24,63300,48246,23265,24981,48.2,47.6,48.4,38309,4359,2113,5282,6449,5069,10394,200813,100726,46269,100907,18307,12207,14332,17388,17174,214
