NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64,income_household,income_household_median,income_family_median,income_nonfamily_median,earnings_median,employment_total,employment_male,employment_female,occupancy_status_total,occupancy_status_occupied,occupancy_status_vacant,City,State
"Pottstown borough, Pennsylvania",42,62416,24157,11825,12332,31.5,30.4,32.7,94834.0,10538.0,12184.0,12396.0,9629.0,11207.0,30096.0,54279.0,133652.0,41903.0,35838,22403.0,7496,7446,10364,9373,991,Pottstown bo,Pennsylvania
"Reading city, Pennsylvania",42,63624,94834,45533,49301,32.1,31.7,32.3,75867.0,9511.0,10059.0,9080.0,8568.0,8844.0,11379.0,46189.0,50884.0,42891.0,26305,34575.0,28588,30546,34964,32504,2460,Reading,Pennsylvania
"Scranton city, Pennsylvania",42,69000,75867,37477,38390,37.5,36.8,38.5,39526.0,25351.0,4177.0,2138.0,1427.0,1994.0,17680.0,45452.0,48048.0,62178.0,31769,69330.0,23187,24956,35098,30096,5002,Scranton,Pennsylvania
"State College borough, Pennsylvania",42,73808,39526,22018,17508,21.6,21.8,21.3,44472.0,5355.0,5038.0,7133.0,5015.0,5385.0,11784.0,47704.0,46810.0,27258.0,7074,39940.0,19794,15293,13556,11379,2177,State College bo,Pennsylvania
"Wilkes-Barre city, Pennsylvania",42,85152,44472,21558,22914,39.4,39.3,39.4,27613.0,4867.0,3493.0,3488.0,2510.0,2757.0,16766.0,44263.0,101477.0,34392.0,31042,23053.0,14937,14040,21504,17680,3824,Wilkes-Barre,Pennsylvania
"Williamsport city, Pennsylvania",42,85312,27613,13490,14123,34.3,30.2,37.1,44842.0,6861.0,5131.0,6044.0,5082.0,3959.0,33049.0,80564.0,76599.0,39361.0,31446,60761.0,8870,8754,13662,11784,1878,Williamsport,Pennsylvania
"York city, Pennsylvania",42,87048,44842,22158,22684,33.8,30.6,37.2,82568.0,6007.0,12455.0,11430.0,9575.0,14689.0,20306.0,60274.0,123345.0,35611.0,26801,153374.0,13367,14586,19299,16766,2533,York,Pennsylvania
"Cranston city, Rhode Island",44,19180,82568,41391,41177,41.3,39.6,43.0,46925.0,3940.0,4763.0,5067.0,6134.0,7266.0,11348.0,81047.0,67422.0,72801.0,50680,69923.0,29760,26454,34482,33049,1433,Cranston,Rhode Island
"East Providence city, Rhode Island",44,22960,46925,23629,23296,46.8,40.8,51.3,25150.0,4054.0,4415.0,2016.0,2948.0,3307.0,29735.0,51817.0,68136.0,40938.0,44744,34272.0,13717,15156,21979,20306,1673,East Providence,Rhode Island
"Newport city, Rhode Island",44,49960,25150,12050,13100,44.3,43.0,44.4,75379.0,7153.0,13143.0,10990.0,8356.0,9330.0,68179.0,60970.0,94742.0,32919.0,34359,26662.0,7880,9129,14111,11348,2763,Newport,Rhode Island
"Pawtucket city, Rhode Island",44,54640,75379,36799,38580,35.6,34.4,37.2,189697.0,29420.0,33808.0,26487.0,22271.0,17371.0,36595.0,72025.0,62314.0,32671.0,33116,23938.0,25584,25514,32238,29735,2503,Pawtucket,Rhode Island
"Providence city, Rhode Island",44,59000,189697,93956,95741,32.7,32.4,33.1,83014.0,7724.0,9970.0,11273.0,8057.0,14120.0,16016.0,49791.0,81543.0,69091.0,33796,26155.0,67245,66083,78329,68179,10150,Providence,Rhode Island
"Warwick city, Rhode Island",44,74300,83014,39351,43663,42.0,39.6,46.1,43116.0,4587.0,6707.0,5038.0,5295.0,5422.0,12827.0,60139.0,60378.0,53544.0,46280,18745.0,25633,27282,38375,36595,1780,Warwick,Rhode Island
"Woonsocket city, Rhode Island",44,80780,43116,21035,22081,33.8,31.5,36.0,31907.0,3509.0,3210.0,3528.0,3316.0,4131.0,11252.0,43069.0,112180.0,35367.0,32445,128193.0,12952,16023,17505,16016,1489,Woonsocket,Rhode Island
"Aiken city, South Carolina",45,550,31907,14611,17296,43.0,36.7,48.6,29290.0,4032.0,4057.0,2641.0,2763.0,3887.0,11961.0,84573.0,83865.0,50900.0,35182,114499.0,8647,9671,14644,12827,1817,Aiken,South Carolina
"Anderson city, South Carolina",45,1360,29290,13901,15389,37.0,37.2,36.9,32201.0,2798.0,4290.0,4802.0,3664.0,3587.0,8651.0,68268.0,104734.0,39977.0,26028,20552.0,8618,9687,13332,11252,2080,Anderson,South Carolina
"Bluffton town, South Carolina",45,7210,32201,16011,16190,37.3,35.3,38.0,22572.0,1182.0,3354.0,3395.0,2007.0,3191.0,63391.0,74139.0,65378.0,30492.0,35251,18462.0,10489,10172,12810,11961,849,Bluffton,South Carolina
"Carolina Forest CDP, South Carolina",45,11833,22572,9323,13249,40.6,39.8,41.0,152046.0,21153.0,27519.0,21641.0,16299.0,14937.0,51455.0,47524.0,54090.0,37209.0,36930,32503.0,5061,8740,9741,8651,1090,Carolina Fores,South Carolina
"Charleston city, South Carolina",45,13330,152046,73208,78838,35.7,34.4,37.3,137960.0,34868.0,22681.0,16041.0,10339.0,12718.0,8332.0,44836.0,86995.0,24570.0,41790,19135.0,51308,52225,75367,63391,11976,Charleston,South Carolina
"Columbia city, South Carolina",45,16000,137960,67072,70888,27.5,27.0,27.9,25882.0,4959.0,2531.0,2093.0,2265.0,3038.0,8734.0,62951.0,69954.0,32079.0,25129,38308.0,50878,49511,59270,51455,7815,Columbia,South Carolina
"Conway city, South Carolina",45,16405,25882,12155,13727,33.9,31.0,41.0,22481.0,1213.0,4028.0,1835.0,2912.0,3406.0,16051.0,45828.0,152394.0,40634.0,22468,61371.0,7342,8038,9153,8332,821,Conway,South Carolina
"Easley city, South Carolina",45,21985,22481,12058,10423,40.0,35.2,46.0,39958.0,3020.0,5992.0,5530.0,4014.0,5151.0,9289.0,141284.0,92099.0,39430.0,38514,15829.0,7958,6455,9298,8734,564,Easley,South Carolina
"Florence city, South Carolina",45,25810,39958,17733,22225,41.2,37.9,43.5,27994.0,796.0,2716.0,6635.0,3244.0,1994.0,16250.0,77538.0,81560.0,38610.0,37585,31060.0,10651,13702,18874,16051,2823,Florence,South Carolina
"Fort Mill town, South Carolina",45,26890,27994,13171,14823,36.8,38.5,35.8,46215.0,7760.0,6791.0,3861.0,6976.0,6638.0,34154.0,57253.0,60671.0,34107.0,67341,14940.0,7561,8329,9451,9289,162,Fort Mill,South Carolina
"Goose Creek city, South Carolina",45,29815,46215,24162,22053,34.3,30.1,38.6,72103.0,11027.0,13928.0,8196.0,8850.0,7815.0,7308.0,42365.0,79233.0,22664.0,32405,34537.0,18083,14885,16906,16250,656,Goose Creek,South Carolina
"Greenville city, South Carolina",45,30850,72103,33965,38138,33.9,32.1,35.3,19337.0,3037.0,2258.0,1757.0,2268.0,2690.0,17310.0,58471.0,92007.0,47189.0,40487,19546.0,23756,27588,37958,34154,3804,Greenville,South Carolina
"Greenwood city, South Carolina",45,30895,19337,7920,11417,36.8,29.5,40.3,38429.0,1930.0,7958.0,5766.0,4921.0,3611.0,7983.0,67718.0,109461.0,42128.0,34332,21261.0,5304,7287,9129,7308,1821,Greenwood,South Carolina
"Greer city, South Carolina",45,30985,38429,18538,19891,36.5,33.1,41.9,19220.0,1805.0,2976.0,2491.0,2740.0,1578.0,16657.0,83190.0,74250.0,51779.0,38159,73297.0,12557,12527,19171,17310,1861,Greer,South Carolina
