NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64,income_household,income_household_median,income_family_median,income_nonfamily_median,earnings_median,employment_total,employment_male,employment_female,occupancy_status_total,occupancy_status_occupied,occupancy_status_vacant,City,State
"Cleveland city, Tennessee",47,15400,47958,23690,24268,31.7,30.5,35.1,51345.0,4267.0,5267.0,7238.0,6829.0,8989.0,17337.0,51752.0,77917.0,48920.0,35889,19626.0,15448,14271,18788,18009,779,Cleveland,Tennessee
"Collierville town, Tennessee",47,16420,51345,25720,25625,41.7,42.5,39.2,43342.0,2739.0,6063.0,6163.0,5114.0,5814.0,15900.0,44273.0,56805.0,69040.0,63156,67966.0,17721,16866,19708,19351,357,Collierville,Tennessee
"Columbia city, Tennessee",47,16540,43342,18353,24989,36.4,36.9,34.8,35141.0,6985.0,4393.0,3887.0,3472.0,3854.0,10458.0,47214.0,141641.0,23251.0,37581,38134.0,12309,14911,18933,17337,1596,Columbia,Tennessee
"Cookeville city, Tennessee",47,16920,35141,17068,18073,34.3,32.0,36.3,22913.0,1560.0,3793.0,2613.0,2281.0,2528.0,9506.0,115875.0,129816.0,38233.0,25386,31585.0,11246,11928,16922,15900,1022,Cookeville,Tennessee
"East Ridge city, Tennessee",47,22720,22913,10322,12591,40.8,41.2,40.6,24419.0,1843.0,1184.0,3225.0,3748.0,3483.0,33275.0,104515.0,68576.0,30125.0,36872,49607.0,5972,6875,10792,10458,334,East Ridge,Tennessee
"Farragut town, Tennessee",47,25760,24419,12000,12419,45.7,46.0,45.5,85473.0,9141.0,9319.0,13400.0,13728.0,7798.0,19408.0,53442.0,164174.0,73800.0,71855,53165.0,6555,7559,9645,9506,139,Farragut,Tennessee
"Franklin city, Tennessee",47,27740,85473,40544,44929,39.5,39.5,39.5,46918.0,3659.0,6821.0,6497.0,6369.0,4878.0,15380.0,140343.0,96524.0,42720.0,53541,59433.0,26750,28720,34177,33275,902,Franklin,Tennessee
"Gallatin city, Tennessee",47,28540,46918,22482,24436,40.7,38.0,43.2,41030.0,2009.0,2984.0,5051.0,5900.0,4020.0,26052.0,70034.0,60980.0,40451.0,30166,43544.0,14864,14490,20123,19408,715,Gallatin,Tennessee
"Germantown city, Tennessee",47,28960,41030,19621,21409,44.5,44.6,44.5,62256.0,3134.0,8808.0,8552.0,8456.0,7754.0,26505.0,45651.0,75903.0,70967.0,72999,161269.0,10329,10935,16319,15380,939,Germantown,Tennessee
"Hendersonville city, Tennessee",47,33280,62256,30393,31863,40.0,39.1,40.4,68114.0,8628.0,8795.0,8822.0,6505.0,7164.0,30806.0,56248.0,54293.0,51441.0,41483,28196.0,18148,20798,27616,26052,1564,Hendersonville,Tennessee
"Jackson city, Tennessee",47,37640,68114,30570,37544,34.7,33.9,34.9,70889.0,11021.0,10195.0,8806.0,6408.0,8903.0,23260.0,42393.0,66760.0,58735.0,30419,34319.0,18962,22968,29394,26505,2889,Jackson,Tennessee
"Johnson City city, Tennessee",47,38320,70889,32908,37981,35.6,35.7,35.5,54245.0,3676.0,6577.0,6663.0,6643.0,6679.0,85151.0,45700.0,75246.0,37524.0,34753,24341.0,22092,24899,33824,30806,3018,Johnson City,Tennessee
"Kingsport city, Tennessee",47,39560,54245,27020,27225,40.3,39.9,40.9,192657.0,33225.0,31393.0,24002.0,19035.0,23626.0,12988.0,68833.0,81501.0,30857.0,30914,486563.0,15846,15956,25715,23260,2455,Kingsport,Tennessee
"Knoxville city, Tennessee",47,40000,192657,94692,97965,33.6,32.4,35.5,39089.0,3951.0,4244.0,6238.0,4847.0,3748.0,16932.0,58314.0,90666.0,80739.0,31502,23770.0,67736,67321,94457,85151,9306,Knoxville,Tennessee
"La Vergne city, Tennessee",47,41200,39089,18549,20540,31.8,28.1,35.6,40901.0,4170.0,5797.0,5954.0,5542.0,5224.0,11105.0,68996.0,53958.0,45424.0,33153,31531.0,11953,12755,13919,12988,931,La Vergne,Tennessee
"Lebanon city, Tennessee",47,41520,40901,20161,20740,41.4,36.5,42.6,32265.0,2998.0,3457.0,5250.0,3283.0,3248.0,256968.0,44317.0,53980.0,75819.0,40589,127554.0,13865,13348,18238,16932,1306,Lebanon,Tennessee
"Maryville city, Tennessee",47,46380,32265,15557,16708,37.2,37.4,37.1,628118.0,59826.0,103144.0,79640.0,67093.0,72133.0,12743.0,34651.0,105478.0,37723.0,39233,557684.0,9286,9683,11658,11105,553,Maryville,Tennessee
"Memphis city, Tennessee",47,48000,628118,296266,331852,34.3,32.9,35.7,30766.0,2396.0,4297.0,3442.0,4487.0,2613.0,14068.0,94321.0,101515.0,23772.0,32830,27447.0,187508,210266,288491,256968,31523,Memphis,Tennessee
"Morristown city, Tennessee",47,50280,30766,15119,15647,38.3,36.6,39.6,40769.0,1882.0,4649.0,6063.0,5236.0,5203.0,58371.0,77584.0,81660.0,35920.0,27908,15964.0,9164,8395,15499,12743,2756,Morristown,Tennessee
"Mount Juliet city, Tennessee",47,50780,40769,21569,19200,41.0,39.7,42.8,157509.0,23450.0,27195.0,18499.0,20726.0,16796.0,305247.0,64857.0,88086.0,43608.0,50859,17654.0,13109,11723,16310,14068,2242,Mount Juliet,Tennessee
"Murfreesboro city, Tennessee",47,51560,157509,78472,79037,32.6,31.6,33.5,678845.0,66488.0,138135.0,98711.0,76023.0,74039.0,14716.0,63218.0,59877.0,40323.0,37763,43351.0,56174,54338,67416,58371,9045,Murfreesboro,Tennessee
"Nashville-Davidson metropolitan government (balance), Tennessee",47,52006,678845,327201,351644,34.9,34.5,35.2,33896.0,2259.0,3570.0,4378.0,3687.0,4095.0,6974.0,50833.0,51449.0,11049.0,40496,39615.0,228371,240242,331262,305247,26015,Nashville-Davidson metropolitan government (bal,Tennessee
"Oak Ridge city, Tennessee",47,55120,33896,16013,17883,41.9,39.5,45.4,19577.0,2049.0,2730.0,2389.0,1904.0,2695.0,9076.0,47823.0,71962.0,37320.0,37785,17556.0,9423,10047,16739,14716,2023,Oak Ridge,Tennessee
"Sevierville city, Tennessee",47,67120,19577,9511,10066,39.9,40.5,39.7,23068.0,2541.0,2939.0,3498.0,2422.0,1934.0,19062.0,71315.0,106588.0,31233.0,26870,101229.0,5748,6185,8376,6974,1402,Sevierville,Tennessee
"Shelbyville city, Tennessee",47,67760,23068,11904,11164,30.9,30.2,37.6,55517.0,5135.0,8500.0,10192.0,6736.0,6961.0,19474.0,96189.0,64106.0,40517.0,26870,13275.0,7773,6526,9152,9076,76,Shelbyville,Tennessee
"Smyrna town, Tennessee",47,69420,55517,26627,28890,36.6,37.6,34.8,56647.0,4332.0,7954.0,11870.0,5382.0,4261.0,9139.0,55082.0,61320.0,58872.0,36328,82348.0,18788,19262,19852,19062,790,Smyrna,Tennessee
"Spring Hill city, Tennessee",47,70580,56647,29244,27403,30.1,29.0,32.7,23770.0,976.0,3810.0,3555.0,2229.0,3309.0,48398.0,51931.0,46453.0,78726.0,46891,15442.0,17588,17943,20325,19474,851,Spring Hill,Tennessee
"Tullahoma city, Tennessee",47,75320,23770,11109,12661,35.8,38.3,33.3,129601.0,18943.0,19220.0,17622.0,12102.0,13110.0,5964.0,46777.0,130058.0,64774.0,26200,23104.0,7598,7027,10023,9139,884,Tullahoma,Tennessee
"Abilene city, Texas",48,1000,129601,65590,64011,32.6,32.3,33.3,21939.0,2300.0,3121.0,2157.0,1654.0,1349.0,37461.0,107438.0,41218.0,55416.0,33619,152535.0,43269,40347,53099,48398,4701,Abilene,Texas
"Alamo city, Texas",48,1576,21939,10960,10979,23.6,23.4,24.0,106868.0,7652.0,9997.0,15517.0,18138.0,13455.0,6827.0,41110.0,72362.0,68598.0,18976,309051.0,5124,5715,7079,5964,1115,Alamo,Texas
"Allen city, Texas",48,1924,106868,51495,55373,40.8,41.0,40.5,24202.0,4016.0,3534.0,2296.0,1999.0,1316.0,10679.0,65831.0,67743.0,46111.0,62345,65639.0,33983,33250,38372,37461,911,Allen,Texas
"Alton city, Texas",48,2212,24202,12006,12196,22.4,20.5,25.1,27578.0,2252.0,2278.0,5426.0,3020.0,4436.0,82129.0,55572.0,73546.0,30595.0,22487,801564.0,6373,7346,7170,6827,343,Alton,Texas
"Alvin city, Texas",48,2272,27578,12640,14938,42.4,43.1,41.8,198781.0,19781.0,28138.0,26502.0,21644.0,22069.0,146888.0,59889.0,118341.0,31816.0,32064,19202.0,8459,10297,12309,10679,1630,Alvin,Texas
"Amarillo city, Texas",48,3000,198781,95994,102787,34.7,32.8,36.1,392802.0,39448.0,64260.0,53795.0,46713.0,45145.0,29579.0,101686.0,112625.0,72811.0,35790,17220.0,59899,64294,89810,82129,7681,Amarillo,Texas
"Arlington city, Texas",48,4000,392802,197699,195103,34.7,33.0,36.4,85808.0,5820.0,15249.0,14163.0,11517.0,7379.0,449399.0,79542.0,71245.0,-666666666.0,35594,57052.0,129981,129917,156653,146888,9765,Arlington,Texas
"Atascocita CDP, Texas",48,4462,85808,45251,40557,34.8,34.4,35.7,964000.0,94219.0,218082.0,167737.0,113916.0,93477.0,6711.0,64421.0,50911.0,25608.0,54992,86197.0,29325,26926,31181,29579,1602,Atascocit,Texas
"Austin city, Texas",48,5000,964000,490445,473555,34.4,34.2,34.6,27154.0,2035.0,2674.0,4397.0,2769.0,3115.0,9045.0,51001.0,58957.0,46952.0,50246,41193.0,364033,343670,469156,449399,19757,Austin,Texas
"Balch Springs city, Texas",48,5372,27154,13192,13962,31.1,25.0,35.3,21327.0,1447.0,5723.0,1107.0,3172.0,1364.0,28264.0,48287.0,60173.0,50992.0,36068,19832.0,7933,9197,7190,6711,479,Balch Springs,Texas
"Bay City city, Texas",48,5984,21327,10822,10505,33.4,33.4,33.4,79676.0,6705.0,12232.0,9548.0,7468.0,9073.0,46375.0,51361.0,79870.0,48105.0,26960,18382.0,6554,7226,9624,9045,579,Bay City,Texas
"Baytown city, Texas",48,6128,79676,39025,40651,31.8,32.3,31.2,112559.0,12102.0,15713.0,13519.0,10163.0,14902.0,21588.0,64190.0,72894.0,55614.0,33161,21923.0,23239,24113,30642,28264,2378,Baytown,Texas
"Beaumont city, Texas",48,7000,112559,55018,57541,35.3,34.4,36.5,49184.0,5015.0,7422.0,7434.0,6248.0,5987.0,9231.0,50387.0,80760.0,28390.0,30798,138686.0,33480,34414,54306,46375,7931,Beaumont,Texas
"Bedford city, Texas",48,7132,49184,22007,27177,38.3,38.5,37.9,24727.0,3937.0,4291.0,2492.0,2121.0,3284.0,10242.0,67011.0,76145.0,44013.0,41999,17614.0,15185,17987,23078,21588,1490,Bedford,Texas
"Belton city, Texas",48,7492,24727,11472,13255,32.2,32.1,34.1,24606.0,997.0,3220.0,3274.0,2655.0,2137.0,10028.0,64278.0,54066.0,55256.0,23320,69752.0,7582,9026,9455,9231,224,Belton,Texas
"Benbrook city, Texas",48,7552,24606,11943,12663,37.5,36.4,38.7,26657.0,2755.0,5280.0,4384.0,3251.0,2041.0,56522.0,47435.0,117423.0,25186.0,47153,38272.0,6336,6472,10968,10242,726,Benbrook,Texas
"Big Spring city, Texas",48,8236,26657,15173,11484,35.2,35.8,35.1,187840.0,23941.0,24763.0,22487.0,24210.0,14711.0,7672.0,105868.0,54240.0,21412.0,36935,29856.0,10868,7242,11067,10028,1039,Big Spring,Texas
"Brownsville city, Texas",48,10768,187840,89113,98727,29.9,28.9,31.5,24505.0,1244.0,2918.0,3454.0,4196.0,2626.0,32910.0,44017.0,92045.0,41912.0,27169,107819.0,56036,60038,62000,56522,5478,Brownsville,Texas
"Brushy Creek CDP, Texas",48,10897,24505,12441,12064,38.6,33.9,39.8,86851.0,13757.0,15393.0,11050.0,8122.0,8048.0,17566.0,89105.0,93402.0,36655.0,55968,34043.0,7279,7883,7793,7672,121,Brushy Cree,Texas
