name,brewery_type,address_1,City,State,postal_code,longitude,latitude,state_x,zip_code,brewery_id,NAME,state_y,place,households_total,households_total_male,households_total_female,marital_status__male_15_over,marital_status__male_15_over_percent,marital_status__female_15_over,marital_status__female_15_over_percent,edu_high_school_over,edu_high_school_over.1,edu_bach_degree_over,edu_bach_degree_over_percent,employment_status_percent,employment_status,income_household,income_household_median,income_household_mean,income_family,income_family_median,income_family_mean,income_per_capita,income_nonfamily,income_nonfamily_median,income_nonfamily_mean,income_below_poverty_family,income_below_poverty_percent_family,income_below_poverty,income_below_poverty_percent,housing_occupancy,housing_occupancy_percent,housing_in_structure,housing_in_structure_percent,population_total,population_over_21,population_over_21_percent,population_15_to_19,population_15_to_19_percent,population_male_over_18,population_male_over_18_percent,population_female_over_18,population_female_over_18_percent
Ferment.Drink.Repeat,micro,2636 San Bruno Ave,San Francisco,California,94134-1507,-122.4039991,37.72833678,California,94134,2607,"San Francisco city, California",6.0,67000.0,350796.0,89479.0,95377.0,367492.0,367492.0,351430.0,351430.0,577897.0,89.2,394580.0,60.9,713617.0,713617.0,350796.0,121826.0,181909.0,170287.0,150429.0,224909.0,80383.0,180509.0,91445.0,136860.0,-888888888.0,6.7,-888888888.0,11.3,412269.0,412269.0,412269.0,412269.0,815201.0,682312.0,83.7,30564.0,3.7,358628.0,51.1,342546.0,48.9
Fermentery Form,micro,161 Cecil B Moore Ave,Philadelphia,Pennsylvania,19122-3234,-75.136886,39.976092,Pennsylvania,19122,2608,"Philadelphia city, Pennsylvania",42.0,60000.0,660921.0,147154.0,270111.0,603038.0,603038.0,686165.0,686165.0,947562.0,86.9,378996.0,34.8,1270642.0,1270642.0,660921.0,52899.0,77734.0,352498.0,61775.0,91456.0,32707.0,308423.0,37802.0,58421.0,-888888888.0,18.1,-888888888.0,22.8,733015.0,733015.0,733015.0,733015.0,1576251.0,1172084.0,74.4,96020.0,6.1,576153.0,46.6,660029.0,53.4
Fernson Brewing Company,micro,1400 E Robur Dr,Sioux Falls,South Dakota,57104-0582,-96.70852613,43.60785297,South Dakota,57104,2609,"Sioux Falls city, South Dakota",46.0,59020.0,83498.0,16132.0,23192.0,77148.0,77148.0,77872.0,77872.0,120165.0,93.0,50563.0,39.1,152198.0,152198.0,83498.0,73273.0,100359.0,50543.0,88191.0,121709.0,43144.0,32955.0,48946.0,64990.0,-888888888.0,7.2,-888888888.0,9.1,86893.0,86893.0,86893.0,86893.0,196528.0,141422.0,72.0,11574.0,5.9,73675.0,50.1,73445.0,49.9
Fernson Downtown,brewpub,332 S Phillips Ave,Sioux Falls,South Dakota,57104-6319,-96.72658415,43.54377963,South Dakota,57104,2610,"Sioux Falls city, South Dakota",46.0,59020.0,83498.0,16132.0,23192.0,77148.0,77148.0,77872.0,77872.0,120165.0,93.0,50563.0,39.1,152198.0,152198.0,83498.0,73273.0,100359.0,50543.0,88191.0,121709.0,43144.0,32955.0,48946.0,64990.0,-888888888.0,7.2,-888888888.0,9.1,86893.0,86893.0,86893.0,86893.0,196528.0,141422.0,72.0,11574.0,5.9,73675.0,50.1,73445.0,49.9
FH Beerworks,micro,521 S Tejon St,Colorado Springs,Colorado,80903-3928,-104.8237318,38.8260086,Colorado,80903,2617,"Colorado Springs city, Colorado",8.0,16000.0,197542.0,39864.0,48235.0,198538.0,198538.0,197588.0,197588.0,308365.0,93.6,141004.0,42.8,390552.0,390552.0,197542.0,74579.0,96874.0,126314.0,91259.0,111747.0,39808.0,71228.0,49663.0,64679.0,-888888888.0,6.9,-888888888.0,10.5,205380.0,205380.0,205380.0,205380.0,483969.0,359735.0,74.3,31577.0,6.5,189125.0,50.0,189097.0,50.0
Fibonacci Brewing Company,micro,1445 Compton Rd,Cincinnati,Ohio,45231-3559,-84.4805528,39.218908,Ohio,45231,2619,"Cincinnati city, Ohio",39.0,15000.0,144929.0,37940.0,61503.0,117604.0,117604.0,134700.0,134700.0,180960.0,89.8,82884.0,41.1,249792.0,249792.0,144929.0,42733.0,71913.0,61170.0,61707.0,98347.0,34519.0,83759.0,32643.0,51489.0,-888888888.0,21.2,-888888888.0,27.3,160420.0,160420.0,160420.0,160420.0,308913.0,225860.0,73.1,20472.0,6.6,112574.0,46.3,130417.0,53.7
Fiction Beer Company,micro,7101 E Colfax Ave,Denver,Colorado,80220-1805,-104.8854207,39.7402188,Colorado,80220,2620,"Denver city, Colorado",8.0,20000.0,326634.0,86470.0,97588.0,301634.0,301634.0,298132.0,298132.0,473939.0,90.9,286847.0,55.0,592643.0,592643.0,326634.0,81630.0,115122.0,152927.0,105365.0,145483.0,52690.0,173707.0,63720.0,85674.0,-888888888.0,8.2,-888888888.0,11.6,351829.0,351829.0,351829.0,351829.0,711463.0,558313.0,78.5,35211.0,4.9,291170.0,50.3,287833.0,49.7
Fieldwork Brewing Co,regional,1160 6th St,Berkeley,California,94710-1247,-122.3022147,37.88157297,California,94710,2625,"Berkeley city, California",6.0,6000.0,43893.0,10976.0,13658.0,51672.0,51672.0,53852.0,53852.0,72963.0,96.9,55497.0,73.7,104883.0,104883.0,43893.0,101048.0,152028.0,18877.0,170750.0,218996.0,59752.0,25016.0,63831.0,96333.0,-888888888.0,3.7,-888888888.0,15.5,50228.0,50228.0,50228.0,50228.0,117147.0,89897.0,76.7,9880.0,8.4,50295.0,49.1,52095.0,50.9
Fifth Frame Brewing Co.,proprietor,155 Saint Paul St,Rochester,New York,14604-1144,-77.61019544,43.15996034,New York,14604,2627,"Rochester city, New York",36.0,63000.0,93263.0,24915.0,39569.0,82434.0,82434.0,92725.0,92725.0,116419.0,82.0,39985.0,28.1,172160.0,172160.0,93263.0,41980.0,58879.0,43991.0,51124.0,68942.0,26950.0,49272.0,33905.0,46789.0,-888888888.0,21.8,-888888888.0,27.8,103333.0,103333.0,103333.0,103333.0,210594.0,158443.0,75.2,13723.0,6.5,78363.0,47.1,88120.0,52.9
Fifth Street Brewpub,brewpub,1600 E 5th St,Dayton,Ohio,45403-2304,-84.1881863,39.7572259,Ohio,45403,2629,"Dayton city, Ohio",39.0,21000.0,55114.0,13671.0,24168.0,50848.0,50848.0,58536.0,58536.0,73172.0,87.3,16726.0,20.0,107339.0,107339.0,55114.0,39315.0,50971.0,28379.0,49026.0,62139.0,21484.0,26735.0,30251.0,36552.0,-888888888.0,20.0,-888888888.0,27.6,68591.0,68591.0,68591.0,68591.0,137581.0,93041.0,67.6,13588.0,9.9,48377.0,46.4,55873.0,53.6
