name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code,brewery_id
Banded Brewing Company,micro,32 Main St. Bldg 13-W Ste 102,Biddeford,Maine,04005-5145,,,Maine,04005,579
"Bandera Ale Project, LLC",micro,3540 State Highway 16 S Ste 2A,Bandera,Texas,78003-3561,,,Texas,78003,581
Bandit Brewing Co,micro,610 N 1st St Ste 5-228,Hamilton,Montana,59840-2149,,,Montana,59840,582
Bang Brewing,micro,2320 Capp Rd,Saint Paul,Minnesota,55114-1251,,,Minnesota,55114,585
Banger Brewing Co,micro,450 Fremont St Ste 135,Las Vegas,Nevada,89101-5649,,,Nevada,89101,587
Bangin' Banjo Brewing Company,micro,3200 NW 23rd Ave Ste 500,Pompano Beach,Florida,33069-5909,,,Florida,33069,588
Bangor Beer Co.,brewpub,330 Bangor Mall Blvd,Bangor,Maine,04401-3644,,,Maine,04401,589
Bangor Trust Brewing,brewpub,15 Broadway,Bangor,Pennsylvania,18013-2601,,,Pennsylvania,18013,590
Banjo Brewing,planning,,Fayetteville,West Virginia,25840,,,West Virginia,25840,591
"Bard's Brewery, LLC",proprietor,,Lees Summit,Missouri,64063-0905,,,Missouri,64063,601
Bare Hands Brewery,micro,12804 Sandy Ct,Granger,Indiana,46530-4309,,,Indiana,46530,607
Barking Duck Brewing Company,micro,4400 Morris Park Dr Ste R,Mint Hill,North Carolina,28227-9269,,,North Carolina,28227,614
Barley Boys Brewery,planning,,Omaha,Nebraska,68144-1922,,,Nebraska,68144,616
Barley Head Brewery,micro,12 Water St 1A,Mystic,Connecticut,06355,,,Connecticut,06355,621
Barley Island Brewing Co,brewpub,639 E Conner St,Noblesville,Indiana,46060-2532,,,Indiana,46060,622
Barley Johns Brewpub,brewpub,1280 Madison Ave,New Richmond,Wisconsin,54017-2236,,,Wisconsin,54017,624
Barley Naked Brewing Company,planning,,Stafford,Virginia,22554,,,Virginia,22554,625
Barley's Casino and Brewing Co,brewpub,4500 E Sunset Rd Ste 30,Henderson,Nevada,89014-2253,,,Nevada,89014,628
Barnett and Son Brewing Company,micro,18425 Pony Express Dr Unit 125,Parker,Colorado,80134-9605,,,Colorado,80134,636
Barnhouse Brewery,brewpub,43271 Spinks Ferry Rd,Leesburg,Virginia,20176-5629,,,Virginia,20176,637
Barnstar Brewing,micro,4050 North Tonto Road (Forest Service Rd.102),Skull Valley,Arizona,86338,,,Arizona,86338,640
Barrage Brewing Co,micro,32 Allen Blvd Ste E,Farmingdale,New York,11735-5625,,,New York,11735,641
Barrel Assembly,planning,,Austin,Texas,78751-3019,,,Texas,78751,644
Barrel House Z,micro,95 Woodrock Rd,Weymouth,Massachusetts,02189-2335,,,Massachusetts,02189,650
Barrel Oak Farm Taphouse,micro,3623 Grove Ln,Delaplane,Virginia,20144-2226,,,Virginia,20144,652
Barrel of Monks Brewing,micro,1141 S Rogers Cir Ste 5,Boca Raton,Florida,33487-2789,,,Florida,33487,653
Barrier Brewing Co,micro,3001 New St Ste A2,Oceanside,New York,11572-2747,,,New York,11572,658
Barrington Brewery and Restaurant,brewpub,420 Stockbridge Rd Ste 4,Great Barrington,Massachusetts,01230-9512,,,Massachusetts,01230,659
Basic City Beer Co. (Southside RVA),micro,212 W 6th St,Richmond,Virginia,23224,,,Virginia,23224,668
Bastet Brewing,planning,,Tampa,Florida,33613-1254,,,Florida,33613,671
Batch Craft Beer and Kolaches,planning,,Austin,Texas,78723,,,Texas,78723,675
Battery Steele Brewing,micro,1 Industrial Way Ste 12,Portland,Maine,04103-1072,,,Maine,04103,679
Battle BornÂ® Beer,contract,100 N Arlington Ave Ste 100,Reno,Nevada,89501-1233,,,Nevada,89501,680
Battlefield Brew Works,brewpub,248 Hunterstown Rd,Gettysburg,Pennsylvania,17325-7840,,,Pennsylvania,17325,683
Battlefield Brewing Co,brewpub,4187 Plank Rd,Fredericksburg,Virginia,22407-4896,,,Virginia,22407,684
BattleHops Brewing,planning,,Katy,Texas,77494,,,Texas,77494,685
Bay Brewing Company,planning,,Miami,Florida,33130-3488,,,Florida,33130,692
Bay State Beer Company,micro,,Sturbridge,Massachusetts,01566-1568,,,Massachusetts,01566,695
Bayonet Cider Company,planning,,Pittsburgh,Pennsylvania,15206-5111,,,Pennsylvania,15206,697
Bayou Teche Brewing,micro,1094 Bushville Hwy,Arnaudville,Louisiana,70512-3526,,,Louisiana,70512,698
BBGB Brewery And Hop Farm,brewpub,2000 Orchard Rd,North Aurora,Illinois,60542-1674,,,Illinois,60542,699
BeachFly Brewing Company,planning,,Indian Harbour Beach,Florida,32937,,,Florida,32937,705
Beale St Brewing Co,planning,,Memphis,Tennessee,38104-6826,,,Tennessee,38104,710
Bear and Bramble Brewing Company,micro,10 Payson Ave # 1,Easthampton,Massachusetts,01027-2207,,,Massachusetts,01027,712
Bear Bones Beer,micro,2 Cottage St Ste 1,Bridgton,Maine,04009-1137,,,Maine,04009,713
Bear Chase Brewing Company,planning,,Bluemont,Virginia,20135,,,Virginia,20135,715
Bear Creek Brews,micro,10538 Nc 902 Hwy,Bear Creek,North Carolina,27207-9269,,,North Carolina,27207,716
Bearded Fox Brewing Co.,micro,11729 Spring Cypress Rd Ste R,Tomball,Texas,77377-6063,,,Texas,77377,724
Bearded Owl Brewing,brewpub,112 State St Ste 1A,Peoria,Illinois,61602-5121,,,Illinois,61602,726
Beaver Creek Brewery,micro,104 W Oregon Ave,Wibaux,Montana,59353-8001,,,Montana,59353,735
Beaver Street Brewery,brewpub,11 S Beaver St Ste 1,Flagstaff,Arizona,86001-5500,,,Arizona,86001,737
Beer Army,brewpub,,New Bern,North Carolina,28564-3051,,,North Carolina,28564,744
Beer Hound Brewery,contract,201 Waters Pl Apt 102,Culpeper,Virginia,22701-3102,,,Virginia,22701,748
Beer Naked Brewery,brewpub,7678 VT-RTE 9,Marlboro,Vermont,05344,,,Vermont,05344,751
Beer Religion,planning,,Winter Park,Florida,32792-5111,,,Florida,32792,753
"Beer Research Institute, The",brewpub,1641 S Stateley Dr Ste 104,Mesa,Arizona,85204,,,Arizona,85204,754
Beer Tree Brew Co,micro,197 Rte 369,Port Crane,New York,13833,,,New York,13833,755
Beerfoot Beach Bar,micro,2816 Avenue R 1/2,Galveston,Texas,77550-7742,,,Texas,77550,758
Begyle Brewing,micro,1800 W Cuyler Ave Ste 1E,Chicago,Illinois,60613-3892,,,Illinois,60613,759
Belding Brewing Company,planning,,Belding,Michigan,48809-1678,,,Michigan,48809,763
Belford Brewing Company,micro,84 Leonardville Rd,Belford,New Jersey,07718-1144,,,New Jersey,07718,765
"Bell's Brewery, Inc",regional,8938 Krum Ave,Galesburg,Michigan,49053-9558,,,Michigan,49053,767
Bellefonte Brewing Co,micro,3605 Old Capitol Trl Unit C7/C8,Wilmington,Delaware,19808-6043,,,Delaware,19808,771
Bellport Brewing Company,proprietor,,Rocky Point,New York,11778-8986,,,New York,11778,773
Belly Up Beer Company,micro,,Western Springs,Illinois,60558,,,Illinois,60558,777
Benford Brewing Co.,micro,2271 Boxcar Rd,Lancaster,South Carolina,29720-9443,,,South Carolina,29720,788
"Bengal Brewing, LLC.",planning,,Spring Lake Park,Minnesota,55432-2802,,,Minnesota,55432,789
Benny Brewing Co.,micro,1429 Sans Souci Pkwy,Wilkes Barre,Pennsylvania,18706-6025,,,Pennsylvania,18706,792
Bent Hill Brewery,micro,1972 Bent Hill Rd,Randolph,Vermont,05060-8833,,,Vermont,05060,797
Bent Run Brewing Co,brewpub,5607 SR 957,Lander,Pennsylvania,16345,,,Pennsylvania,16345,803
Bent Water Brewing Company,micro,180 Commercial St Ste 18,Lynn,Massachusetts,01905-3058,,,Massachusetts,01905,806
Berchman's Brewing Company,closed,25 N Front St Ste 2,Yakima,Washington,98901-2648,,,Washington,98901,808
Berkley Beer Company,micro,,Berkley,Massachusetts,02779-1101,,,Massachusetts,02779,810
Berthoud Brewing Company,micro,450 S 8th St Unit B,Berthoud,Colorado,80513,,,Colorado,80513,814
Bespoke Brewing Company,brewpub,242 Gap Rd,Ronks,Pennsylvania,17572,,,Pennsylvania,17572,818
Better Half Brewing,closed,59 North Main St,Bristol,Connecticut,06010,,,Connecticut,06010,820
Beyond The Mountain Brewing Company,micro,6035 Longbow Dr Unit 109,Boulder,Colorado,80301-3203,,,Colorado,80301,823
Bias Brewing,micro,409 1st Ave E Ste B,Kalispell,Montana,59901,,,Montana,59901,825
Bier Brewery and Taproom,micro,5133 E 65th St,Indianapolis,Indiana,46220-4816,,,Indiana,46220,827
Bier Distillery,micro,5295 West River Dr NE Ste 100,Comstock Park,Michigan,49321-8030,,,Michigan,49321,828
Biere De Mac Brew Works,micro,14277 N Mackinaw Hwy,Mackinaw City,Michigan,49701-8622,,,Michigan,49701,831
Big Alice Brewing Company,micro,808 43rd Rd,Long Island City,New York,11101-6820,,,New York,11101,835
Big Ash Brewing Company,planning,,Cincinnati,Ohio,45244-3244,,,Ohio,45244,836
Big Beaver Brewing Co,micro,2707 W Eisenhower Blvd Ste 9,Loveland,Colorado,80537-3141,,,Colorado,80537,843
Big Bend Brewing Co,micro,3401 W Highway 90,Alpine,Texas,79830-4127,,,Texas,79830,844
Big Boss Brewing Co,micro,1249 Wicker Dr Ste A,Raleigh,North Carolina,27604-1683,,,North Carolina,27604,849
